,dialog
0,Adrian?
1,Come on.
2,"Zeus, I'm sorry."
3,I can't take you with me.
4,I'm sorry.
5,Shit. I'm not gonna leave you with that thing on. Okay.
6,Come here. It's okay.
7,Good boy.
8,Come here. There you go.
9,Come here.
10,Fuck!
11,"Emily, where are you?"
12,Shit.
13,"Cecilia, what is going on?"
14,Are you okay?
15,I'll explain later.
16,"Just go, Emily."
17,Go!
18,"Open the fucking door, Cecilia!"
19,What is happening?
20, Open the door!
21, No!
22,Open the fucking door!
23,Open the door!
24, Open the fucking door!
25, I'm going! I'm going!
26,Cecilia! Get back herel.
27,Jesus!
28,Get back here now! You can't do this!
29,Get back here!
30,Cee.
31,How long have you been up?
32,Few hours.
33,Can't sleep.
34,"Cee, you know, if you close your eyes and you lie down, that usually helps."
35,"Um, don't think being tired gets you out of our little deal, now."
36,I swore to your sister I'd get you to step outside my house.
37,"Hey, Cee."
38,He's not out there.
39,I promise.
40,"I'm sorry, I'm just..."
41,I'm not ready yet.
42,"Hey, it's okay, Cee."
43,That's the furthest you've gone since you've been here. Okay?
44,"So as far as I'm concerned, you just walked on the moon."
45,I can't work with this damn thing.
46,It's all right.
47,I got it.
48,I got it.
49,Do I know you?
50,Do I owe you money?
51,A Lot.
52,A Lot?
53,I told y'all about running up on me in my house.
54,"Hey. Cee, tell her she can't take you back."
55,We're keeping you.
56,"What are you doing here, Emily?"
57,"Well, it's nice to see you too, sis."
58,I'm gonna go see what Sydney's up to.
59,Just... yeah.
60,Mmm.
61,This is not fair.
62,I asked you not to come over.
63,He knows where you live.
64,He will follow you.
65,Yes.
66,"Well, I have some news..."
67,There is no news that justifies this.
68,"Okay. I have a plan, and I just..."
69,I need you to go along with it.
70,And just not be in control for one second.
71,"I'm not trying to control you, boo."
72,I'm desperately trying to tell you that you don't need to cut me off anymore.
73,Because he's dead.
74,What?
75,What?
76,Hey.
77,What did he do to you?
78,Can you talk to me?
79,It just doesn't make any sense.
80,"He was... he was in complete control of everything, you know?"
81,Including me.
82,He controlled how I looked and what I wore and what I ate.
83,And then it was controlling when I left the house and what I said.
84,"And eventually, what I thought."
85,And if...
86,If he didn't like what he assumed I was thinking...
87,He...
88, He would...
89, He'd what?
90,He would... he would hit you?
91,Amongst other things.
92,He wanted to have a baby.
93,"And I knew that if we did that, that I would never be able to get away from him, so I took birth control without him knowing it."
94,"But, um, that can only go on for so long, so I called you."
95,Hey.
96,You're here with us now.
97,And you're safe.
98,He's gone.
99,I'm not telling you to aim low.
100,"I'm just saying, explore more than one option, okay?"
101,Don't limit your choices to just one school in the whole country.
102,But that one school is my goal.
103,Parsons is my goal.
104,"Yeah, I told you to have goals. Plural."
105,"I think it's important to have goals, James."
106,Hey.
107,"Look at you, getting out into the world."
108,"Yo, by next year, you'll make it across the street."
109,Mmm. Mmmmmm.
110,"Uh, hey, Cee."
111,Something came for you.
112,No one knows I'm here.
113,"So, who is it from?"
114,Thank you both for coming in.
115,"As the appointed attorney representing my late brother's discretionary trust, I'm required to enact his final wishes."
116,And he stipulated that I do this in person.
117,He wanted me to read a prepared statement.
118,"""Cecilia,"" ""although our relationship was far from perfect,"" ""I at least thought we had built up enough trust"" ""that you would talk to me rather than running away from..."" No. No!"
119,"Sorry, you're not allowed to do that."
120,I'm required to read this.
121,She's not required to listen.
122,"Email me a copy, and we will read it."
123,You bet.
124,I'm just trying to do my job.
125,Your job is to explain the money you mentioned on the phone.
126,"I mentioned Cecilia, specifically, is named in Adrian's trust."
127,That is why we're sitting here.
128,Yes.
129,"For the same reason so many women in Adrian's life got close to him, his money."
130,"If there was a chance of physically being close to him, we would not be here for any amount of money."
131,You are physically close to him.
132,He's in that urn over there.
133,"And as per his final wishes, you're getting $5 million, estate and income tax free."
134,"Now, the money will be staggered in installments of $100,000 each month for the next Contingent, of course, on the fine print."
135,"You can't commit a crime, etcetera."
136,"Normally, I would have a but I'm gonna waive my rights in that regard."
137,"So, as soon as I have your signature and your banking information, I can start releasing the funds."
138,"Okay, you can come in now."
139,Oh. Oh.
140,Hey. Wait. Where you at?
141,Can we look now?
142,"Yes, you can look."
143,Tada! oh.
144,"Wow. Thanks, Cee."
145,"Wow, that's nice. Look at that."
146,A ladder?
147,Excuse you?
148,I know I didn't hear you just say that.
149,"I meant to say, ""thank you."" Uhhuh."
150,You're welcome.
151,"Well, I knew you needed a new one, and that one just... that has to go."
152,"That's so nice of you, Cee."
153,Thank you so much.
154,That's very sweet of you.
155,Thank you.
156,"I just... I wanted to thank you for, you know, letting me stay here and for taking such good care of me, so..."
157,And Sydney can also use ladders.
158,Don't think I'm helping you paint.
159,I wouldn't even bother to ask you.
160,"No, not for, like, painting, obviously, but just for a lot of things."
161,You climb them to get things. Like...
162,"Like, stuff like that."
163,That's so strange.
164,"God, I wish you had, like... oh, wait!"
165,You could totally use the ladder...
166,Yeah. A ladder to climb up.
167,The ladder's cool.
168,This happened to just pop up here by itself...
169,Convenient. Wow.
170,What is it?
171,It has my name on it.
172,That's weird.
173,And it looks like your handwriting.
174,I don't...
175,You sure it's weird?
176,"I just got a ladder, so I don't know what..."
177,Let's see. A cool ladder is all.
178,"It's a new bank account, um, with your name on it."
179,"And I'm gonna put $10,000 in it every month for the rest of the year."
180,"I called the account ""Parsons."" You're going to fashion school, kid."
181,"Hey, whoa, Cee..."
182,"That's... that's too much, Cee. Come on."
183,Are you sure you can do that?
184,Let me put it this way...
185,"She can probably go to grad school, too."
186,I'm going to Parsons.
187,You're going to Parsons.
188,You're going to Parsons.
189,"Oh, my god."
190,On.
191,"Wait, no. We gotta..."
192,We gotta celebrate.
193,"And I don't want TV dinners, microwave nothing. Oh!"
194,"it's like, I guess... we don't have anything at all to celebrate with."
195,I don't know why you dancing.
196,You can't have none because you're not 21.
197,"Yes, I can."
198,"Come on. Just, like, a little bit."
199,He said the other day that I was mature for my age.
200,That's right. He did.
201,A mature child.
202,I heard you say that.
203,I remember.
204,Hold up. This ain't fair.
205,Two against one.
206,I'm just an innocent man trying to do right.
207,Are you scared?
208,This is abuse. I'm a cop.
209,You realize I'm a cop?
210,I got him. Hey!
211,"Oh, no."
212,"I got him, Sydney! I got him!"
213,I'll protect you!
214,Morning.
215,You want some breakfast?
216,"No. No, I gotta go."
217,"You know, I'm a little hungover, believe it or not."
218,Oh. Me too.
219,Champagne does that to me every time.
220,"We're getting old, Cee."
221,We old.
222,These winter mornings are killing me.
223,"All right, look, I'm out of here."
224,"Um, I'll be back around 7:00."
225,Okay. All right.
226,"Oh. Uh, Cee? Hmm?"
227,You mind getting Sydney up?
228,"She's actually pretty excited, thanks to you. She, uh..."
229,She might need a little help staying focused.
230,You got it.
231,"Syd, come on, girl."
232,You're gonna be late.
233,Shit!
234,Shit! Shit! Shit!
235,"No, no, no. Don't use water."
236,Excuse me. Sorry.
237,Oh.
238,Wow.
239,You did that. Yeah.
240,You think we can salvage it?
241,No.
242,No? No. Sorry.
243,James?
244,James! James!
245,James! James!
246,Yeah. What happened?
247,What happened? What?
248,I saw something right there.
249,Right there.
250,There were footprints. I saw it!
251,You saw footprints?
252,"Yes, I saw... on the sheets!"
253,"I saw it, right there!"
254,I saw them.
255,On the sheet?
256,I saw it.
257,There's someone in here.
258,There was someone in here.
259,"Syd, put that stupid thing away."
260,You're the one who bought it for me!
261,Who you gonna spray? Who?
262,"James, I saw it."
263,I swear.
264,"Hey, Cee."
265,Adrian will haunt you if you let him.
266,Don't let him.
267,"Now, you should try and get some sleep."
268,"You have an important job interview tomorrow, and I don't want the memory of this..."
269,That...
270,This person to ruin it. Okay?
271,Okay. Sorry.
272,"After Cal poly, I worked in Paris for 6 months."
273,That was the best time of my life for sure.
274,"Except for this next phase, of course."
275,Take a seat.
276,"So, any reason you worked in Paris in particular?"
277,Is that where all the beautiful women in the world have to go as a rule?
278,"Well, I speak a little French, and I've always wanted to live there."
279,"So after I graduated, I went out there on a totally student budget."
280,"I slept in a broom closet, literally."
281,"I started this firm in a supply closet, literally."
282,There you go.
283,We both know the value of closet space. Yeah.
284,Let me see some of your work.
285,"Yes, of course."
286,Um...
287,"I don't, uh... l know that I..."
288,"I know I put them in here, so I apologize."
289,I don't know what happened. Uh...
290,It's okay.
291,"Uh, you can send it to us, whenever you get a chance."
292,Okay.
293,"So, uh, let me tell you about us."
294,"At ruler, we approach architecture on a human level."
295,First and...
296,Are you okay?
297,Um...
298,I'm sorry.
299,"Uh, I'm just not feeling..."
300,"Would you like some water, or..."
301,Cecilia?
302,Are you feeling okay?
303,Cecilia.
304,"Okay, so, uh, you probably shouldn't drive or operate any heavy machinery for the next few days."
305,"But other than that, you seem fine."
306,Either myself or my admitting will follow up with you with the results of the blood test. Okay?
307,Can you just leave a number with the nurse?
308,You guys can go home. Okay.
309,You ready?
310,Yeah.
311,Hello?
312,Is Cecilia Kass there?
313,That's me.
314,"Hi. Uh, this is Doctor Lee at St. Vincent's."
315,"So, we got the results of your blood test back, and it looks like the Diazepam was the most likely cause of you fainting."
316,"Um, sorry, what Diazepam?"
317,"Well, your blood work showed a very high amount of it."
318,That would definitely explain what happened to you.
319,"There's something else I wanted to talk to you about, but I'm not sure if we should do it over the phone, so, um..."
320,Tell him to stop.
321,Tell who to stop what?
322,Tell him to stop what he's doing.
323,Do you know what she's babbling about?
324,"Nah, she hasn't explained to me why we're here yet but."
325,"Being her very good friend, I know it's a good reason."
