,dialog
0,"Sync and corrections by explosiveskull Resync by GoldenBeard www.addic7ed.com All right, team, stay in sight of each other."
1,Let's make NASA proud today.
2,"How's it looking over there, Watney?"
3,"Well, you'll be happy to hear..."
4,"that in Grid Section 1428, the particles were predominantly coarse..."
5,"but in 29, they're much finer..."
6,and they should be ideal for chem analysis.
7,"Oh, wow. Did everybody hear that?"
8,Mark just discovered dirt.
9,Should we alert the media?
10,"Sorry, what are you doing today, Martinez?"
11,Making sure the MAV is still upright?
12,I'd like you to know that visual inspection of the equipment...
13,is imperative to mission success.
14,I also would like to report that the MAV is still upright.
15,"Watney, you keep leaving your channel open..."
16,which leads to Martinez responding...
17,which leads to all of us listening...
18,which leads to me being annoyed.
19,Roger that.
20,"Martinez, the captain would like you to please..."
21,shut your smart mouth.
22,We'd prefer to use a different adjective to describe Martinez's mouth.
23,Did Beck just insult me?
24,"""Dr. Beck."" And yes."
25,"Happy to turn the radios off from here, Commander."
26,Just say the word.
27,"Wait, Johanssen."
28,Constant communication is the hallmark...
29,Shut 'em off.
30,No.
31,No. Excuse me.
32,"I apologize for my countrymen, Vogel."
33,Accepted.
34,"How many samples do we need, Commander?"
35,Seven.
36,100 grams each.
37,We have a mission update. A storm warning.
38,"Commander, you should come inside."
39,You're gonna want to see this.
40,What is it?
41,A storm warning.
42,I saw that in this morning's briefing.
43,We'll be inside before it hits.
44,"Yeah, they upgraded their estimate."
45,The storm's gonna be a lot worse.
46,"Martinez, how does it look?"
47,Not good.
48,"""1,200 kilometers in diameter, bearing 24.41 degrees."" That's tracking right towards us."
49,"""Based on current escalation, ""estimated force of 8,600 newtons."" What's the abort force?"
50,Anything more than that and the MAV could tip.
51,Do we scrub?
52,Begin abort procedure.
53,We are estimating with a margin of error.
54,We could wait it out.
55,Let's wait it out.
56,Let's wait it out.
57,Commander?
58,Prep emergency departure.
59,Commander?
60,We're scrubbed. That's an order.
61,"Martinez, how long before takeoff?"
62,Visibility is almost zero.
63,"Anyone gets lost, hone in on my suit's telemetry."
64,You ready?
65,Ready.
66,"Commander, are you okay?"
67,I'm okay.
68,"Commander, we're at 10 degrees, and the MAV is gonna tip at 12.3."
69,Hey! We might be able to keep the MAV from tipping.
70,How?
71,Use the cables from the comms mast as guylines...
72,anchor it with the Rover's.
73,Watch out!
74,Watney!
75,Warning.
76,Suit breach detected.
77,What happened?
78,He was hit.
79,"Watney, report."
80,"Before we lost telemetry, his decompression alarm went off."
81,Where did you last see him?
82,I don't know where he is.
83,What are the vitals on his suit?
84,He's offline.
85,A complete loss of signal on Watney.
86, Beck!
87, Yeah.
88,How long can he survive decompression?
89,Less than a minute.
90,"Line up, walk west."
91,He may be prone. We don't wanna step over him.
92,Commander...
93,We're at 10.5 degrees.
94,Warning. Excessive tilt.
95,Tilting to 11 with all the gusts of wind.
96,Copy that.
97,"Everyone, hone in on Martinez's suit."
98,It'll get you to airlock.
99,"Get in, prep for launch."
100,"What about you, Commander?"
101,I'm gonna search a little longer. Get moving!
102,Go!
103,Watney!
104,"Watney, report!"
105,The MAV's at 11.6 degrees.
106,One good gust and we're tipping.
107,"If it tips, you launch."
108,You really think I'm gonna leave you behind?
109,"That's an order, Martinez."
110,Mark!
111,Mark! Can you hear me?
112,"Martinez, what about the proximity radar?"
113,Could that detect Watney's suit?
114,It's made to see the Hermes from orbit...
115,not a little piece of metal from a single suit.
116,Give it a try.
117,Roger.
118,What is she thinking? She knows the infrared can't get through a sandstorm.
119,She's grasping for anything.
120,We've got negative contact on the proximity radar.
121,Nothing?
122,No. I can barely see the Hab.
123,"Commander, I know you don't wanna hear this, but..."
124,Mark is dead.
125,Commander!
126,"Hey, what the hell is wrong with you, man?"
127,My friend just died.
128,"I don't want my commander to die, too."
129,Stability warning.
130,We're tipping!
131,"Commander, you need to get back to the ship, now!"
132,"If we pass balance, we'll never rock back."
133,"I've got one more trick left, and then I'm following orders, Commander."
134,You're firing the OMS?
135,That's right.
136,Commander!
137,On my way.
138,"Johanssen, let's go."
139,Mark!
140,We're at 11.5 and holding.
141,Ready to go on your command.
142,Ready to launch.
143,Commander.
144,I need you to verbally tell me whether or not to.
145,Launch.
146,At around 4:30 a.m.
147,Central Standard Time...
148,"our satellites detected a storm approaching the Ares At 6:45, the storm had escalated to severe..."
149,and we had no choice but to abort the mission.
150,Thanks to the quick action of Commander Lewis...
151,"astronauts Beck, Johanssen, Martinez and Vogel..."
152,were all able to reach the Mars Ascent Vehicle...
153,and perform an emergency launch at 7:28 Central Time.
154,"Unfortunately, during the evacuation..."
155,astronaut Mark Watney was struck by debris and killed.
156,Commander Lewis and the rest of her team...
157,were able to intercept safely with the Hermes and are now heading home.
158,But Mark Watney is dead.
159,Director Sanders!
160,Oxygen level critical.
161,Oxygen level critical.
162,Oxygen level...
163,Pressure stable.
164,Fuck.
165,Okay.
166,Okay.
167,"Hello, this is Mark Watney, astronaut."
168,I'm entering this log for the record...
169,in case I don't make it.
170,It is 06:53 on Sol 19...
171,and I'm alive.
172,Obviously.
173,But I'm guessing that's gonna come as a surprise to my crewmates and to NASA.
174,"And to the entire world, really, so..."
175,Surprise.
176,I did not die on Sol 18.
177,Best I can figure...
178,this length of our primary communications antenna broke off...
179,and tore through my biomonitor...
180,and ripped a hole in me as well.
181,"But the antenna and the blood, really, managed to seal the breach in my suit..."
182,"which kept me alive, even though the crew must have thought I was dead."
183,I have no way to contact NASA.
184,"And even if I could, it's gonna be four years..."
185,until a manned mission can reach me.
186,And I'm in a Hab designed to last 31 days.
187,"If the oxygenator breaks, I'm gonna suffocate."
