,dialog
0,The world of investing can be a jungle.
1,Bulls. Bears.
2,Danger at every turn.
3,That's why we at Stratton Oakmont pride ourselves on being the best.
4,Trained professionals to guide you through the financial wilderness.
5,Stratton Oakmont.
6,Stability.
7,Integrity.
8,Pride.
9,One!
10,Two!
11,Three!
12,Twentyfive grand to the first cocksucker to nail a bull'seye!
13,Come on! Let's go!
14,One!
15,Two!
16,Three!
17,My name is Jordan Belfort.
18,Not him.
19,Me. That's right.
20,"I'm a former member of the middle class raised by two accountants in a tiny apartment in Bayside, Queens."
21,"The year I turned 26, as the head of my own brokerage firm, I made $49 million, which really pissed me off because it was three shy of a million a week."
22,"No, no, no. My Ferrari was white, like Don Johnson's in Miami Vice."
23,Not red.
24,See that humongous estate down there?
25,That's my house.
26,For millionaires whose ships...
27,"My wife, Naomi, the Duchess of Bay Ridge, Brooklyn, a former mode! And Miller Lite girl."
28,Yeah.
29,She was the one with my cock in her mouth in the Ferrari.
30,So put your dick back in your pants.
31,"In addition to Naomi and my two perfect kids, I own a mansion, private jet, six cars, three horses, two vacation homes, and a 170foot yacht."
32,Anchors aweigh!
33,I also gamble like a degenerate.
34,I drink like a fish.
35,"I fuck hookers maybe five, six times a week."
36,I have three different federal agencies looking to indict me.
37,"Oh, yeah, and I love drugs."
38,Okay.
39, One more round.
40," Oh, yeah."
41," Oh, you like it?"
42, Yeah.
43,Pull up. Pull up!
44,"We're gonna crash, for Christ sake!"
45,Relax!
46,Just relax.
47, You okay?
48," Yeah, I'm all right."
49,Good job.
50,"You get in there safe, all right?"
51,"Till the next time, brother."
52,Till next time.
53,"Yup, on a daily basis I consume enough drugs to sedate Manhattan, Long Island and Queens for a month."
54,"Okay, Mr. Jordan."
55,"I take Quaaludes 10 to 15 times a day for my ""back pain,"" Adderall to stay focused, Xanax to take the edge off, pot to mellow me out, cocaine to wake me back up again and morphine, well, because it's awesome."
56,"Good morning, Nathan."
57,"But of all the drugs under God's blue heaven, there is one that is my absolute favorite."
58,"You see, enough of this shit'll make you invincible."
59,"Able to conquer the world, and eviscerate your enemies."
60,And I'm not talking about this.
61,I'm talking about this.
62,"See, money doesn't just buy you a better life, better food, better cars, better pussy."
63,It also makes you a better person.
64,You can give generously to the church or political party of your choice.
65,You can save the fucking spotted ow! With money.
66,I always wanted to be rich.
67,So let me go back.
68,"I'm 22 years old, newly married, and already a moneycrazed little shit."
69,So what do I do?
70,I go to the one place on Earth that befit my highminded ambitions.
71,I love you.
72,You are lower than pond scum.
73,"You got a problem with that, Jordan?"
74,No. No problem at all.
75,Good. Because that is what you are.
76,Pond scum.
77,"Your job is connector, which means that you'll be dialing the phone over 500 times a day trying to connect me with wealthy business owners."
78,"And until you pass your Series 7, that is all you're gonna fucking be doing. Sit."
79,Sit!
80,"Now just so you know, last year I made over $300,000."
81,"The other guy you'll be working for, he made over a million."
82,A million dollars?
83,I could only imagine what a douchebag that guy must be.
84, Jordan Belfort.
85," Yes, sir."
86, Mark Hanna.
87, A pleasure to meet you.
88,And you as well. I see you've already met the village asshole.
89,Smile and dial.
90,And don't pick up your fucking head until 1:00.
91,"Hey, fuck him."
92,I'm the senior broker here.
93,He's just a worthless piker.
94,"Why don't you blow me, Hanna?"
95,Now did you really pitch a stock in your job interview?
96,"I had to do something to stand out. Right, sir?"
97,I fucking love that.
98, Lunch. Today.
99, Yeah.
100,We don't start dialing at 9:30 because our clients are already answering the phone.
101,Three. Two. One.
102,Let's fuck!
103,You want to know what money sounds like?
104,Go to a trading floor on Wall Street.
105,"""Fuck"" this, ""Shit"" that."
106,"""Cunt,"" ""cock,"" ""asshole."" I couldn't believe how these guys talked to each other."
107, Good fucking package...
108, Piece of shit!
109,I was hooked in seconds.
110,It was like mainlining adrenaline.
111,"Yeah. Fuckface, look at where the stock's at today, huh?"
112,"You motherfucker, you can't get any at 44..."
113, Pick up the cocksucking phone!
114, Sorry...
115,"You are such a fucking douchebag, Hanna."
116,We don't give two shits about how technology works because all we care about is getting fucking rich.
117," Solid, 2,000."
118, Jordan Belfort.
119,Done!
120,Time to paint the tape.
121,Come on.
122,"Live. Live. Hold on, that is hot."
123,In. In. Shut that motherfucker.
124,Shut it! Shut it! Shut it!
125,Sold!
126,Yeah.
127,Tootski?
128,"Oh, no. Thank you, though."
129,"Mr. Hanna, what can I bring for you on this glorious afternoon?"
130,"Well, Hector, here's the game plan."
131,You're gonna bring us two Absolut martinis.
132,You know howl like them. Straight up.
133,"And then precisely seven and one half minutes after that, you're gonna bring us two more."
134,Then two more after that every five minutes until one of us passes the fuck out.
135,"Excellent strategy, sir."
136,I'm good with water for now.
137,Thank you.
138,It's his first day on Wall Street.
139,Give him time.
140, Thank you.
141, Thank you.
142,Mr. Hanna?
143,"You're able to do drugs during the day and then still function, still do your job?"
144,How the fuck else would you do this job?
145,"Cocaine and hookers, my friend."
146,Right.
147,"Well, I got to say, I'm incredibly excited to be a part of your firm. I mean..."
148,The clients you have are absolutely...
149,Fuck the clients.
150,Your only responsibility is to put meat on the table.
151,You got a girlfriend?
152,I'm married. I have a wife.
153,Her name is Teresa.
154,She cuts hair.
155, Congratulations.
156, Thank you.
157,Think about Teresa.
158,Name of the game.
159,Move the money from your client's pocket into your pocket.
160,Right.
161,"But if you make your clients money at the same time, it's advantageous to everyone. Correct?"
162,No.
163,Number one rule of Wall Street.
164,Nobody...
165,I don't care if you're Warren Buffett or if you're Jimmy Buffett.
166,"Nobody knows if a stock is gonna go up, down, sideways, or in fucking circles."
167,"Least of all stockbrokers, right?"
168,It's all a fugazi.
169,You know what a fugazi is?
170,Fugayzi. It's a fake.
171,"Fugayzi, fugazi, it's a whazy, it's a woozy, it's..."
172,Fairy dust. It doesn't exist.
173,It's never landed. It is no matter.
174,It's not on the elemental chart.
175,It's not fucking real.
176, Right?
177, Right.
178,Stay with me.
179,We don't create shit.
180,We don't build anything.
181,No.
182,"So if you got a client who bought stock at eight and it now sits at 16, he's all fucking happy."
183,"He wants to cash in, liquidate, take his fucking money and run home."
184, You don't let him do that.
185, Okay.
186, 'Cause that would make it real.
187, Right.
188,No. What do you do?
189,You get another brilliant idea.
190,A special idea.
191,"Another ""situation."" Another stock to reinvest his earnings and then some."
192,"And he will, every single time."
193,'Cause they're fucking addicted.
194,"And you just keep doing this, again and again and again."
195,"Meanwhile, he thinks he's getting shit rich, which he is, on paper."
196,"But you and me, the brokers, we're taking home cold hard cash via commission, motherfucker."
197,Right.
198,"That's incredible, sir."
199,I can't tell you how excited I am.
200,You should be.
201,There's two keys to success in the broker business.
202,First of all...
203, You gotta stay relaxed.
204, Yeah.
205,Do you jerk off?
206,Do I... Do I jerk off?
207,"Yeah. Yeah, I jerk off. Yeah."
208,How many times a week?
209,Like three or four.
210," Three or four times, maybe five."
211, Gotta pump those numbers up.
212,Those are rookie numbers in this racket.
213,"I myself, I jerk off at least twice a day."
214, Wow.
215," Once in the morning right after I work out, then once right after lunch."
216,Really?
217,I want to. That's not why I do it.
218,I do it 'cause I fucking need to.
219,Think about it.
220,You're dealing with numbers.
221,"All day long, decimal points, high frequencies."
222,"Bang, bang, bang Fucking digits."
223,All very acidic abovetheshoulders mustard shit.
224,All right?
225,It kind of wigs some people out. Right.
226,You got to feed the geese to keep the blood flowing.
227,I keep the rhythm below the belt.
228,Done.
229,"This is not a tip, this is a prescription."
230,Trust me.
231,"If you don't, you will fall out of balance, split your differential and tip the fuck over."
232,"Or worse yet, I've seen this happen, implode."
233,"No, I don't want to implode, sir."
234,"No. No, you don't."
235,"I'm in it for the long run, you know?"
236, Implosions are ugly.
237, Yeah.
238,"Pop off to the bathroom, work one out any time you can."
239,"When you get really good at it, you'll fucking be stroking it and you'll be thinking about money."
240,Second key to success in this racket is this little baby right here.
241,It's called cocaine.
242,Right.
243,It'll keep you sharp between the ears.
244,It'll also help your fingers dial faster.
245,And guess what?
246,That's good for me.
247,"Yes, sir."
248,Revolutions. You follow?
249,Revolutions.
250,Keep the clients on the Ferris wheel.
251,"And it goes. The park is open 24/7, 365, every decade, every goddamn century."
252,That's it.
253,The name of the game.
254,Halkidiki?
255,Thank you.
256,Come on.
257,We're the common denominator.
258,Keep it up for me.
259,"You've seen the echo And the money comes in The parade comes to town Going down Broadway It's a oneway street Whichever way I go The next six months, I got to know the ins and outs of Wall Street."
260,Earning shit money as I geared up to take my Series 7.
261,"Oh, fuckers."
262,"Then I was a licensed broker at last, ready to make my fortune."
263,My first day as a future Master of the Universe.
264,I have Exxon at 86 1/4 six months ago.
265,Today it is trading at 36 1/2.
266,Mr...
267,They called it Black Monday.
268,No shit.
269,"By 4:00 p.m., the market had dropped 508 points."
270,The biggest plummet since the crash of '29.
271,"I know your family, you know mine."
272,"No, I don't know. Some fucking country in Europe took a shit."
273,Let them do what they want to fucking do.
274,Our market's solid.
275,This is not something that you want to sell.
276,You know what happened?
277,A fucking tsunami.
278,I think you're making a big mistake.
279," Yes, I will talk to your wife."
280," Trust me, do not answer the phone."
281,"A lot of people are gonna be calling you, trying to get your dirty laundry."
282, We don't know what's going on here.
283, I know. I know.
284,Holy fucking shit!
285,Unbelievable.
286,My first shitty day as a broker.
287,"Within a month, L.F. Rothschild, an institution since 1899, closed its doors."
288,Wall Street had swallowed me up and shit me right back out again.
289,We could pawn my engagement ring if we needed to.
290, Babe...
291, Because I don't mind.
292,"If we needed to, I'm saying..."
293, Will you listen to me?
294, Okay.
295,You're not pawning anything. Okay?
296, Okay.
297, What do I always tell you?
298,You're gonna be a millionaire.
299,That's right. Okay? Just let me look.
300,We'll find something.
301, How about this?
302, What?
303,"Nobody Beats the Wiz, the electronics store."
304,Stock boy. What do you think?
305,You're not gonna work at that place.
306,"Yeah, but, you know, you start off..."
307,"Jordan, you're gonna be miserable at that place  if you go there."
308, I know.
309,"It's sales. You work your way up, you'll be a general manager."
310, You're not gonna be a stock boy.
311, Why not?
312,'Cause you're a stockbroker.
313,You understand that nobody's hiring stockbrokers right now?
314,You understand that?
315,Okay?
316,This place is.
317, What?
318, What's that say?
319,"""Stockbrokers."" In Long Island?"
320, Stockbrokers in Long Island?
