,dialog
0,"like everything about her, gave promise of something mighty and splendid."
1,They called her Titanic.
2,"She was the longest, the tallest, the most luxurious ship in all creation."
3,"Before her initial Atlantic crossing was to end, she would achieve another, and this time unexpected, distinction, as the first ocean liner ever to use the code signal sos."
4,"At noon, April 10th, 1912, she steamed out of southampton into the english channel."
5,"At night, she dropped anchor at cherbourg, France, and again the next morning at queenstown in Ireland to receive additional cargo and passengers, then took to the open sea."
6,"At 11:40 P.M., April 14th, some 400 miles off the coast of newfoundland, calamity struck."
7,"Within a matter of hours, the magnificent, unsinkable Titanic vanished forever in water more than two miles deep."
8,"Only the swift and courageous action of a small passenger liner, the carpathia, prevented a greater devastation."
9,"Even so, it was and remains to this day the worst maritime disaster in the history of the north Atlantic."
10,"Good night, ladies."
11,"Good night, ladies."
12,"Good night, ladies."
13,I'm going to leave you now.
14,"Merrily we roll along, roll along, roll along, merrily we roll along, o'er the deep blue..."
15,Blimey.
16, Officer Dwight.
17, Who's that?
18," Cottam, sir."
19, What's the problem?
20, I've had an urgent message.
21, At this hour?
22,I thought you switched off at midnight.
23, It's the Titanic.
24, Titanic?
25,She's sinking.
26,"Sinking, that's impossible, she's unsinkable."
27,The message is to come at once.
28, Sir? Captain?
29, Hm?
30,"Captain, sir! Sir, wake up!"
31,"I'm awake, I'm awake, I was only just dropping off."
32, Who is this?
33," It's first officer Dean, sir."
34,"Bloody hell, Dean!"
35,Since when do you push your way in here without knocking?
36,"Sorry, sir, it's an emergency."
37,I don't care a blue damn what it is.
38,I want to see some discipline on this ship.
39,"Yes, sir. I'm sorry, sir."
40, Who's that with you?
41," It's cottam, sir."
42, Cottam?
43," Wireless operator, sir."
44," Oh, yes."
45, He's had an urgent communication from the Titanic.
46,The Titanic?
47,"Well, what is it?"
48,"It's a cqd, sir."
49,Cq...
50, Are you sure?
51," Yes, sir."
52,They used the new distress signal as well.
53,Sos.
54,She's struck an iceberg.
55,She's 58 miles away.
56,Our course is north 52 west.
57,"Now get back to your man on the Titanic, tell him we're coming as fast as we can that we should be there in just four hours' time."
58,Four hours?
59, Did you get through all right?
60," Yes, sir, I told him within four hours just like you said."
61, And what was his reply?
62," He said, ""please hurry, young man, engine room flooded, we're sinking head down."" Then there was nothing."
63, We're here.
64," We've arrived, sir."
65,Call out all hands.
66,All boats to be readied and swung out.
67, Open all gangway doors.
68, A pilot ladder at each gangway and a chair sling for bringing up the sick or wounded.
69,The canvas bags for children.
70,We're going to receive survivors.
71, Swing the Derrick around.
72," Aye aye, sir."
73,Shall I go first?
74,"Come on, now."
75,Hold on!
76,"Keep clutching it, we've got you."
77,That's it.
78,Just a few more steps.
79,"Come on now, good girl."
80,What ship is this?
81,The carpathia.
82,Carpathia.
83,And the Titanic?
84,Gone.
85,What time is it?
86,Twenty minutes past two.
87,Approximately three hours after the collision.
88,Slightly less than three.
89,"With how many still aboard, would you estimate?"
90,"Hundreds, all the boats together assuming every one got away with a full load wouldn't have held half of those aboard."
91,Chances are more than a thousand went down.
92,"Another boat on the starboard bow, sir."
93,And another beyond that.
94,Ease away the winch.
95,"Just follow the steward, ma'am."
96,"Good morning, the steward will direct you to the dining saloon where there's food and drink and medicine if you need it."
97,Will you kindly give your name to my assistant.
98,Mr. ismay of the white star line.
99,I'm ismay.
100, And the Titanic was...
101, My ship.
102,"Mr. ismay, sir?"
103,"I'm Dr. McGee, ship's surgeon."
104,"Won't you come inside now, sir, where it's warm?"
105,And we can try to make you comfortable.
106,Comfortable?
107,"What's the good of standing out here in the cold this way, sir?"
108,"Look, look."
109,"There's something in the water, just there."
110," I don't see anything, sir."
111," Look, look, it's just there."
112,"Use your eyes, why don't you?"
113,"It's only a bit of flotsam, sir."
114,Are you sure?
115,A few deck chairs by the look of it.
116,That's all.
117,"All I can see, sir."
118,A few chairs.
119,All that beauty.
120,"All that strength, power, grace."
121,A few chairs.
122,So much gaiety.
123,So much for the smoking room and the palm court.
124,The electronic lifts are over there behind the staircase and then forward of that there are some 30odd cabins.
125,Now this will take us up to the boat deck.
126,Are we going back to the bridge and the wheelhouse?
127,"No, no, no, no, I don't think so, they won't want anyone underfoot just now."
128,Come on. Excuse me.
129,Thank you.
130,"Look there, it's almost sailing time!"
131," Oh, such a beautiful clock."
132," Thank you, darling."
133,I chose it myself.
134,It's meant to be honor and glory crowning time.
135,"They ought to be crowning you, ismay."
136,Hello.
137,"Never mind, every sort of honor and glory will be coming your way after today."
138,We all thought the olympic the last word.
139,This really is the summit.
140, Congratulations.
141, Too kind.
142, Who was that?
143," A countryman of yours, my dear."
144, John Jacob astor and his bride.
145, His child bride.
146,"Oh, I think half the millionaires in America have booked passage on this crossing."
147,"This way, one and all!"
148,All ashore that's going ashore!
149,All ashore that's going ashore!
150,All ashore that's going ashore!
151,"This is the way to second class, isn't it?"
152," Straight ahead, miss."
