,dialog
0,"contact www.SubtitleDB.org today At the midpoint on the journey of life, I found myself in a dark forest, for the clear path was lost."
1,"I cannot well recount how I entered the wood, so long had it been since I abandoned the true way."
2,How shall I say what a dreary and horrid wood it was?
3,So bitter to endure that death itself would be but little worse.
4,"Several times upon my journey home, I had sensed an unseen rider trailing my steed."
5,"Yet, when I approached, the rider vanished, leaving no trace."
6,I feared this figure as an evil omen.
7,All my life I've known such signs and portents.
8,"And lo, at the rise of the hill, I saw a spotted leopard, all teeth and fury."
9,"At the sight of these beasts, my heart sank."
10,"I sensed danger not for myself, but for my beloved Beatrice."
11,"Away, demon!"
12,"I drove my steed on, racing for my father's villa."
13,And Beatrice... nothing in this world meant more to me than she.
14,"You were right, Dante."
15,Truly this is a divine place.
16,Paradise on Earth.
17,"Beatrice, will you take my hand in marriage, under God and all that is holy?"
18,"Dante, I will not marry you only to see you dead in this crusade."
19,Jerusalem must be made Christian once more.
20,God is with us. We cannot fail.
21,"Through three years of war and horror, my love for Beatrice had only grown stronger."
22,"As I came upon the family estate, I found all unnaturally dark and still."
23,"Fearing the dreaded omens, I entered."
24,The servants. All butchered.
25,"Father. Oh, Father."
26,"Beatrice! Lord, let her be alive!"
27,In the name of God.
28,Where is...
29,"Oh, no. No."
30,"Beloved, are you all right?"
31,Beatrice.
32,Is it you or a dream?
33,Who did this to you?
34,I know not.
35,A stranger. A foreigner.
36,Do you remember that night before you left?
37,What we said?
38,I remember.
39,Did you betray me?
40,Never.
41,I never should have left your side.
42,Forgive me.
43,What?
44,Do my eyes deceive me?
45,"Fear not for me, my love."
46,I told him you would be true to me.
47,I knew you would.
48,No! Wait! Come back to me!
49,What is this?
50,God in Heaven!
51,What? Dante?
52,She is mine.
53,No!
54,I have come to take what was promised me...
55,a soul meant for Heaven.
56,It can't be true.
57,Dante would never betray me.
58,Beatrice!
59,"Release her, devil!"
60,"Dante, help me!"
61,No!
62,This will not stop me!
63,Nothing will stop me!
64,No!
65,What?
66,No!
67,"God, give me strength!"
68,"Come with me, mortal, if you have the courage."
69,"Dante, don't let him take me!"
70,Beatrice!
71,You will not keep me from my beloved!
72,"Dante, you lied to me! I trusted you!"
73,You've got to save me! Dante!
74,I'm coming for you!
75,I won't let him hurt you!
76,Beatrice! No!
77, Martyr.
78, You lost her.
79, Martyr.
80, You lied to her.
81,You lost her.
82,Never will you know her flesh again.
83,Never will you know her love.
84,Her sin.
85, Martyr. Martyr.
86, You lost her!
87, Her desire.
88, You lied to her.
89, Your sins.
90, Never will you know her flesh again.
91,Your sins.
92,Never will you know her flesh.
93,You are bound.
94, Martyr.
95, You lied to her.
96, Martyr.
97, Martyr.
98,"Why, God?"
99,Why are you doing this?
100,"It is not the Lord that brought you to this fate, Dante."
101,What are you? Shade or living man?
102,"Not man, though once I was."
103,I lived under Augustus in the time of the false and lying gods.
104,"Are you not Virgil, glory of the poets?"
105,"He who wrote the Aeneid, the treasure of Rome?"
106,"Why do you seek such woe, Dante?"
107,I seek only my beloved Beatrice and nothing more.
108,But I cannot open these accursed gates!
109,"Have you lost all faith in God, O man?"
110,Has the way been so obscured?
111,"Heavenly Father, if only one soul should be saved, please let it be Beatrice."
112,Help! Help!
113,"Dante, if you broke your promise to me, I'll be forever damned."
114,Are you prepared to be judged in this place?
115,Do you think you are without sin?
116,"Please, don't let him take me!"
117,Beatrice. Beatrice!
