,dialog
0,OVERSEER: All right now.
1,Y'all fresh niggers.
2,Y'all gonna be in a cutting gang.
3,Very simple. I want you to take your knife.
4,Get in them cane.
5,Make it sing.
6,Take the cane out.
7,Cut my tops.
8,Clean the shucks off.
9,Throw it on a pile for the planting gang.
10,"Now, them cane ain't gonna jump up and bite you."
11,Don't shy back.
12,"Rush here, boys! Rush here!"
13,"MALE SLAVE:  My Lord MALES SLAVES: Sunshine My Lord Lord, Lord My ma She dead My pa He dead My Lord Sunshine My Lord Sunshine Is late In high My Lord Sunshine My Lord Lord, Lord My ma She dead My pa He dead My Lord Sunshine My Lord Yes, sir All right, all right, all right, all right."
14,Into bed.
15,Into bed.
16,Thank you for the music.
17,Come on.
18,Ouch.
19,Get in there.
20,Come on.
21,Give me a kiss.
22,"I love you, Margaret."
23,"I love you, too."
24,Sleep well.
25,I'll take this.
26,I don't want to hear any more noise.
27,Three weeks and two days.
28,It is the custom.
29,I wonder what you will do without me.
30,I won't stay idle.
31,"Darling, it's good money."
32,If only I didn't have to share your cooking with other people.
33,You don't.
34,Be good for your mother.
35,"Okay, Alonzo?"
36,"Can I get a kiss, please?"
37,Thank you.
38,Travel safely.
39,Stay safely.
40,Ready?
41,"MR. MOON: Devil call his name, there he is now."
42,Mr. Northup!
43,I have two gentlemen whose acquaintance you should make.
44,Misters Brown and Hamilton.
45,Sir.
46,"Mr. Northup, these two gentlemen..."
47,were inquiring about distinguished individuals...
48,and I was just this very moment...
49,saying Solomon Northup is an expert player on the violin.
50,He was indeed.
51,Mr. Moon is being overly gracious.
52,"Well, taking into consideration his graciousness and your modesty..."
53,"may we trouble you for a moment of your time to converse, sir?"
54,Of course.
55,Good day.
56,SOLOMON: A circus?
57,That is our usual employee.
58,The company currently in the city of Washington.
59,Circus is too constricting a word...
60,to describe the talented and merry band with which we travel.
61,It is a spectacle unlike most have ever witnessed.
62,Creatures from the darkest Africa as yet unseen by civilized man.
63,Acrobats from the Orient...
64,who contort themselves in the most confounding manners.
65, And I myself in aide of Mr. Brown...
66,an internationally renowned practitioner in the art of prestidigitation.
67,We are on our way thither to rejoin the company having left for a short time...
68,to make a small profit from our own exhibitions.
69,The reason for our inquiry with Mr. Moon...
70,Yes.
71,We had just a devil of a time in procuring music for our entertainments.
72,Men of true talents are seemingly in short supply.
73,"Thank you, sir."
74,If we could persuade you to accompany us as far as Washington...
75,We could give you one dollar for each day's services...
76,and three dollars for every night played at our performances.
77,"In addition, we would provide sufficient pay..."
78,"for your return here to Saratoga, two weeks from today."
79,"Welcome to Washington, Solomon."
80,"Hamilton, you know too much."
81,Some say not enough.
82,"Solomon, 43 dollars."
83,All to you.
84,That is far more than my wages amount to.
85,"BROWN: It's been a most profitable week, sir."
86,Cheers.
87,Cheers.
88,Cheers.
89,Another.
90,"Gentlemen, your generosity is extraordinary."
91,And your talents are undeniable.
92,Mmm. To Solomon.
93,Cheers.
94,Ugh!
95,"It's all right, Solomon."
96,There's no shame in it.
97,No shame at all.
98," Hamilton, we must hurry."
99,One too many libation.
100,We're halfway there.
101,SOLOMON: So sorry...
102,We won't hear it. We won't.
103,"Let him sleep, Hamilton."
104,Mmm.
105,A good night's rest.
106,And tomorrow...
107,tomorrow you will feel as well and refreshed as if the earth were new again.
108," Hamilton, there's nothing more we can do for him."
109,Such is the pity.
110,"Well, boy, how do you feel now?"
111,My name... My name is Solomon Northup.
112,"I'm a free man. A resident of Saratoga, New York."
113,The residence of my wife and children who are equally free.
114,And you have no right whatsoever to detain me.
115,You're not any free man.
116,And I promise you...
117,I promise you upon my liberation I will have satisfaction for this wrong.
118,Resolve this.
119,Produce your papers.
120,You're no free man.
121,And you ain't from Saratoga.
122,You're from Georgia.
123,You ain't a free man.
124,You're nothing but a Georgia runaway.
125,You're just a runaway nigger...
126,from Georgia.
127,You're a slave!
128,You're a Georgia slave!
129,Are you a slave?
130,No.
131,SOLOMON:  Help.
132,Help me.
133,Help me!
134,Somebody help me!
135,Help!
136,Help!
137,That old thing of yours is just rags and tatters.
138,You need something proper to wear.
139,"Go on, put it on."
140,There.
141,That's fine.
142,That's fine.
143,Got no gratitude?
144,No. That's from my wife.
145,Rags and tatters.
146,Rags and tatters.
147,"Go on, wash up."
148,"The boy, too."
149,Get him clean.
150,Scrub now.
151,Do you know when my mama will come?
152,Hush him up!
153,Mama! Mama!
154,Quiet.
155,"Quiet, please."
156,Mama!
157,Hush him up!
158,"Your mother will come, I swear she will."
159,But you must be silent.
160,Be silent.
161,We need a sympathetic ear.
162,An opportunity to explain our situation.
163,"Who, in your estimation, is that sympathetic ear?"
164,The two men I journeyed with.
165,I'm certain they're making enquiries at this very moment.
166,I'd be just as certain they're counting the money paid for delivering you to this place.
167,"They were not kidnappers, they were artists. Fellow performers."
168,You know that?
169,You know for certain who they were?
170,The reality to come is us being transported southward.
171,"New Orleans, if I was to venture."
172,"After we arrive, we'll be put to market."
173,And beyond that...
174,"Well, I suppose once in a slave state, there's only one outcome."
175,No.
176,"I don't say that to give you empty agitation, John."
177,"For y'all, there ain't nothing but that."
178,But John wasn't kidnapped.
179,"John's just being held as debt, that's all."
180,Master pay his debt and John be redeemed.
181,"Boy, our masters will not come for us."
182,"John is sorry for y'all, but that's how it be."
183,"Where you're going, you're going without John."
184,RANDALL: Mama!
185,Randall!
186,Mama!
187,Are you all right?
188,Are you all right?
189,"Thank you, God."
190,Come on. Get up.
191,"I said, get up!"
192,"ELIZA: No, don't..."
193,I don't want to hear you talk!
194,Get in the yard.
195,Not my children!
196,"Ain't no need for all that. Just taking a little trip, that's all."
197,"Don't want to frighten the children over a little boat ride, do you?"
198,John's master gonna pay his debt.
199,Line up!
200,His master gonna pay his debt!
201,I don't want to hear a word out of none of you!
202,Not a one.
203,"All right, come on."
204,Move.
205,Come on.
206,"Come on, child."
207,Come on.
208,Follow your mama.
209,"Come on, boy."
210,RADBURN: Up these stairs.
211,BURCH: Get down out of that wagon. Come on.
212,Come on. Move it!
213,Let's go!
214,"Up, up, up the stairs."
215,"Come on, let's go."
216,"Come on, move it!"
217,"All right, come on."
218,"RADBURN: Hey, you."
219,Get up.
220,"Sit down, right there."
221,Come on.
222,Right there. Just sit down.
223,Cheer up and don't be so cast down.
224,"If you want to survive, do and say as little as possible."
225,Tell no one who you really are and tell no one you can read and write.
226,Unless you want to be a dead nigger.
227,MAN: Now keep your mouth shut.
228,I say we fight.
229,The crew is fairly small.
230,"Were it well planned, I believe they could be strongarmed."
231,Three can't go against the whole crew.
232,The rest here are niggers.
233,Born and bred slaves.
234,Niggers ain't got no stomach for a fight.
235,Not a damn one.
236,"All's I know, if we get where we're traveling..."
237,we'll wish we'd died trying.
238,"Survival's not about certain death, it's about keeping your head down."
239,"Days ago, I was with my family..."
240,in my home.
241,Now you tell me all is lost.
242,"""Tell no one who I am."" That's the way to survive?"
243,"Well, I don't want to survive."
244,I want to live.
245,Better off.
246,Better than us.
247,I don't see him.
248,Clemens!
249,Clemens Ray!
250,Master.
251,Clemens!
