,dialog
0,"MAN 1: Yeah! Go, buddy, go!"
1,MEN LAUGHING MAN 2: That baby's going scared. Hahaha.
2,MAN 1: Whoo! Yeah!
3,"Hell, yeah!"
4,"Excited, yeah?"
5,"Go, baby! Ooh!"
6,MAN 1: Yeah!
7,"MEN CHATTERING I don't wanna do nothing TIRES SKIDDING AND MEN LAUGHING We got her, bro. Here we go."
8,BILLY RAY: Give me one.
9,"Get them, get them, get them."
10,"Hey, boys!"
11,How y'all doing today?
12,What are you looking at?
13,You wanna get shot?
14,You wanna get shot? Woohoo!
15,"PETE: Go, baby!"
16,Got it!
17,Pearl Harbor! Pearl Harbor!
18,PETE AND BILLY RAY LAUGHING PETE: Hey!
19,And here's another one.
20,"Watch this, Billy Ray!"
21,Hundred points!
22,Yeah!
23,"It's a beautiful day, isn't it?"
24,TONYA: Uhhuh.
25,"BOTTLE BREAKS Bye, Tonya."
26,TONYA: Bye.
27,"BILLY RAY: Clean up that mess, boy."
28,"Pete, hungry?"
29,Huh?
30,Hey. Hahaha.
31,"Oh, you're not having anything?"
32,"Yeah, I'm having them."
33,"Course, it's shit."
34,"JAKE: Bye, girls."
35,"WOMAN & GIRL: Bye, Daddy."
36,"JAKE: Let's go, Max."
37,"Get in the house, pup. Harry Rex."
38,"All those weekends, fishing, drinking, lounging..."
39,...opportunities lost to doityourself house renovations.
40,"Tragic, just tragic, Jake."
41,Yeah.
42,"Makes Carla happy, my man."
43,Spent four marriages trying to figure out what makes women happy.
44,You have spent four marriages...
45,"...trying to figure out what makes you happy, who you kidding?"
46,"Oh, yeah. Maybe that's it."
47,"Yeah, maybe."
48,Swiggy?
49,"Lord, please let my car be fixed today."
50,"HARRY REX: Oh, dear."
51,"Hey, who's that?"
52,She looks a little young.
53,Hold this.
54,What are you gonna do?
55,"You know how I say if they're old enough to crawl, they're in the right position."
56,What are you gonna do?
57,What are you gonna do? You crazy.
58,PETE: Whoo! Yeah! Fifty points!
59,BILLY RAY: Hahaha.
60,"PETE: Yeah, you good, boy."
61,TONYA SCREAMS BILLY RAY: Shut up!
62,TONYA: Daddy!
63,BILLY RAY: Hey!
64,Shut up.
65,TONYA: Daddy!
66,Shut up.
67,I'll kill you.
68,PETE: My turn.
69,TONYA CRYING: Daddy!
70,PETE: Shut up.
71,TONYA: Daddy.
72,TONYA SCREAMS PETE: Yeah.
73,CHILDREN: Mom! Mama!
74,Mom! Mama!
75,Mom!
76,Mama!
77,Mom.
78,CHILDREN SPEAKING INDISTINCTLY What is this?
79,CHILDREN IN UNISON: Groceries.
80,Y'all didn't see her?
81,"CHILDREN: No, ma'am."
82,Carl Lee! Stop!
83,You got a call from your wife!
84,What? What?
85,"INAUDIBLE DIALOGUE JAKE HUMMING JAKE: How many appointments do we have today, Ethel?"
86,ETHEL: Not a one.
87,But it is the 1st of the month again and guess what.
88,The checks are pouring in and we have enough money to pay all our past debts.
89,That'll be your last drink.
90,"Just keep us no more than one month behind on any vendor, please."
91,"Why, you have been drinking."
92,Two months.
93,"Well, these are the most delinquent."
94,The rent's in there.
95,"I appreciate the practice, capitÃ¡n, I do, but you could've left me a couple of clients."
96,"GWEN CRYING: Baby, here's Daddy."
97,"Oh, no."
98,"I'm here, baby. Daddy's here."
99,"TONYA: Daddy, I'm sorry I dropped the groceries."
100,"That's all right, baby. It's all right, baby."
101,"I'm sorry, Daddy."
102,CARL LEE: That's all right.
103,Look at this.
104,SHERIFF: Billy Ray?
105,"Sorry, sir, but we don't allow no AfricanAmericans in here. Ha, ha."
106,"Billy Ray Cobb, you and Mr. Willard need to come with me."
107,"Hell, no. I ain't moving."
108,You know that little girl you took for a ride?
109,BILLY RAY: Mm.
110,What little girl?
111,I got bad news for you. She didn't die.
112,So unless there's another redneck asshole got a soupedup yellow pickup...
113,"...with a Confederate flag in the windshield Blue gums, why don't you take your black ass out of here and grab a branch."
114,Unless you got an explanation for what this was doing in the bed of your truck...
115,"...you're going to jail. Now, get up."
116,"You can go to hell, nigger."
117,Unh! Goddamn!
118,MAN: Hey!
119,"BILLY RAY GRUNTING Now, you earned the right to remain silent."
120,"Here you go, just the way you like them."
121,Thank you.
122,"Dell, sugar, today I'm gonna have DELL: Go to hell, Harry."
123,"On second thought, I'm just gonna watch baby eat his."
124,I am not the one who handled her divorce.
125,Can't she see I'm shriveling away here?
126,I'm shriveling.
127,"Say, Jake?"
128,"Yeah, what's up, Dwayne?"
129,Didn't you defend Billy Ray Cobb few years back?
130,What kind of case was it?
131,Caught him selling dope.
132,Spent time in Parchman.
133,Got out last year.
134,"No, I think some Memphis lawyer handled that."
135,Why do you ask?
136,"Well, we picked him up for rape."
137,Him and Pete Willard.
138,Who'd they rape?
139,You know Carl Lee Hailey?
140,"Sure, I defended his brother Lester."
141,It was his little girl.
142,Little Tonya?
143,Yeah.
144,How old is she?
145,She's 10.
146,"Mr. Willard, I'm Sheriff Ozzie Walls."
147,My mama voted for you.
148,I seen you play for the Rams.
149,"Way I figure, a nigger sheriff's okay, been on TV and all."
150,No offense.
151,SHERIFF: What's your full name?
152,James Lewis Willard.
153,"Four, which is a difference of 110.60."
154,FOOTSTEPS APPROACHING Who's there?
155,Carl Lee.
156,How is she?
157,CARL LEE: She holding on.
158,"Doctor says she ain't out of the woods yet, though."
159,"They worked her over something good, Jake."
160,You remember them four white boys raped that little black girl in the Delta last year?
161,Yeah.
162,"They, uh...."
163,"They got off, didn't they?"
164,Yeah.
165,Jake....
166,"I was in a jam, you'd help me out, wouldn't you?"
167,"Sure, Carl Lee."
168,What kind of jam you talking about?
169,"You got a daughter, Jake."
170,What would you do?
171,"Dream some good dreams, baby girl."
172,"Good night, Daddy."
173,"WHISPERS Night, baby."
174,Is she asleep?
175,Yeah.
176,Is she the sweetest thing?
177,"Yeah, she is."
178,Next to you.
179,"Tell you what, I look at her, though, and I cannot help but think about little Tonya."
180,Don't.
181,Don't do that to yourself.
182,Yeah.
183,Something else wrong?
184,Tonya's father...
185,...Carl Lee Hailey...
186,...came by the office today.
187,"Man's heart is torn wide open, baby."
188,"I don't know, but..."
189,...sounded to me like he was thinking about doing something.
190,Like what?
191,Something like maybe killing those two boys.
192,Was he serious?
193,I don't know. I don't know.
194,"It could've been just the hurt talking, you know?"
195,But when you think that it's possible that those two animals could...
196,...go free...
197,...and be walking the streets....
198,I....
199,I don't know.
200,"After what that man has been through, he's probably capable of anything."
201,Somebody should do something.
202,You should call Sheriff Walls.
203,Yeah.
204,To release the owner from assessment.
205,I hope I'm having a heart attack because then I'd get to sue you.
206,"Don't stand on ceremony, come on in."
207,What? No clients?
208,"Just waiting to pick yours up on appeal, Harry."
209,"And you, are you on vacation?"
210,"Fortunately for me, my lovely..."
211,...divorce doesn't go on vacation.
212,However...
213,"...not even the richest, most ridiculous settlement I ever bring in..."
214,...is gonna be as satisfying as watching those two hyenas...
215,...across the street get what's coming to them.
216,"Oh, dear."
217,"You know I'm a fool for those, um, Germantype convertibles."
218,"CHUCKLES Come on, lover boy, let's get to court."
219,Lucien thinks the two hyenas just might get off.
220,You saw Lucien?
221,When? Where?
222,How is he?
223,Has he been eating any better?
224,Just curious.
225,"Um, Miss Ethel..."
226,"...refresh my recollection, how long were you and Lucien together for exactly?"
227,We were never together.
228,I was his secretary for 20 years.
229,"Come on, old girl."
230,"You can tell us, you know."
231,He was your boyfriend.
232,"I am an upstanding, Godfearing, respectable Southern woman..."
233,...with unimpeachable morals who has been happily married for 27 years.
234,And I have never had or ever will have any boyfriend.
235,And if I did...
236,...it certainly would not be that old pickled scoundrel Lucien Wilbanks.
237,"DOOR SLAMS She did him. Oh, yeah, a lot."
238,"DWAYNE: All right, Billy Ray, step on back."
239,Come on out. Willard.
240,"All right, boys, today's your big day."
241,We're gonna take a trip to the courthouse.
242,The judge is gonna set your bail.
243,"Then we're gonna come back here, all nice and peacefullike."
244,"I get any trouble out of you, I'm going to integrate this jail."
245,"INAUDIBLE DIALOGUE HANNAH: Mama, Daddy's home!"
246,Daddy's home!
247,"CARLA: Hannah girl, let's go inside for a minute."
248,Give Daddy some time to himself.
249,"Let's Let's find a book, okay?"
250,HANNAH: I wanna see Daddy.
251,CARLA: Honey?
252,Jake? Jake? Are you hurt?
253,"Jake, what happened to you?"
254,"Jake, honey, are you okay?"
255,What happened to you?
256,What is this? What is going on with you?
257,What happened?
258,"Jake, baby."
259,What happened?
260,"SIRENS WAILING CRYING Okay, okay."
261,"See you, Gwen."
262,WOMAN: Is the sheriff gonna make a statement?
263,"HASTINGS: He might, he might not. I don't know."
264,MAN: Is it firstdegree murder?
265,HASTINGS: I'm not sure yet.
266,WOMAN: What happened?
267,Can you tell us something?
268,"MAN: Sheriff, will you give us a statement."
269,I got no comment. No comment.
270,"Hey. Hey, Jake."
271,"Hey, Jake, Carl Lee said you'd be coming."
272,"WOMAN: Sir, are you an attorney?"
273,MAN: Are you an attorney?
274,"Now, I'll make a statement."
