,dialog
0,"""The Tao produced One; One produced Two; Two produced Three; Three produced All things."" ""Tao Te Ching by Laozi"" A dog killed him, but not this dog!"
1,The real murderer is...
2,Beat me to it again!
3,Purpose of your trip to America?
4,I... I...
5,Why are you here?
6,To... attend a wedding...
7,"""Chin Fong"" ""Chin Fong"" Surprise!"
8,Old Chin!
9,Welcome to New York!
10,"I lent the helicopter out, so this'll have to do."
11,"I'm hot, aren't I?"
12,You are really...
13,Really hot?
14,Really disgusting!
15,College has not made you any smarter!
16,Music!
17,Go!
18,Where is Ah Xiang?
19,Waiting at the cocktail party.
20,"I'll show you around for a couple of days, Empire State Building, Statue of Liberty..."
21,I wanna check out Queen's manuscript.
22,Qui Yin? What?
23,Ellery Queen...
24,This Queen guy's everywhere and now he's in New York too?
25,Hooking up already?
26,What are you talking about..
27,Do you know Crimaster?
28,What is this?
29,"Crimaster, an app."
30,It is THE community for all the detectives in the world.
31,"A lot of people upload real cases for others to crack, and in some countries, the success rate of cases solved has gone up quite a bit thanks to it."
32,How come your name's there?
33,That is the ranking of detectives...
34,You are ranked No.2?
35,In He Nan?
36,In the world.
37,What about my ranking?
38,You're not on it.
39,So? Without me in the PPT...
40,APP...
41,Can you call it a ranking?
42,A world wide ranking?
43,You can't be in it...
44,you must correctly answer in order to join the community.
45,Are you questioning my IQ?
46,Question number 1...
47,Sick!
48,Whoever plays this kind of game is just sick!
49,"Old Chin, everyone is waiting for you."
50,The reception is here?
51,"Yes, let's go..."
52,They... are here for the wedding too?
53,"Of course, they are all friends and relatives of Ah Xiang."
54,Tomorrow we are going to celebrate together.
55,Who's that?
56,Ah Xiang's cousin.
57,How about this white guy?
58,Ah Xiang's exboyfriend.
59,You know before she met me she used to be quite adventurous And he is?
60,Ah Xiang's cousin...
61,Japanese?
62,Half Chinese and half Japanese.
63,And this one?
64,Ah Xiang's grandmother.
65,"She lives in San Ya, she's tanned."
66, You...
67, Why do you have so many questions?
68,First you should get over the jet lag...
69,Do I have too many questions or do you have a problem?
70, What about me?
71, You are getting married tomorrow?
72, Yes.
73, Where is Ah Xiang?
74, She...
75, See!
76,"Every time she's mentioned, your eyes shift to the left, a classic sign of lying."
77,"There is absolutely no wedding atmosphere because if there was people would not be ignoring the ""groom""."
78,"And most importantly, you always check the calendar before doing anything even taking a shower, so tell me how come you chose tomorrow to get married?"
79,"""Avoid wedding, burial, and house moving"" you tricked me here for a case, didn't you?"
80,How do you know?
81,The armed doormen imply that the owner of this house is an individual of certain importance.
82,"Ah Xiang's ""cousin"" is using a portable server which processes information 10 times faster than a regular computer."
83,"She's using Linux commands, which reminds me of the Hong Kong girl hacker Kiko, ranked No.5 on Crimaster."
84,She solves her cases by hacking into police database and stealing information from it.
85,She can remove every penny from your account.
86,My account is penniless!
87,"M37K combat knife, B9 belt and Danner combat boots are all usual US military equipment."
88,"Ranked No.9 that must be US veteran detective Wild Bull Billy, who promotes the use of extreme violence to solve crimes."
89,So?
90,I can beat up 10 of him with my Mojia Boxing!
91,I saw...
92,"I saw a man, a lying man!"
93,Even the Indonesian Psychic Detective Aaimali Kunana can tell that you are lying!
94,"Ranked No.7, she relies on divination rather than reasoning to solve a puzzle."
95,Can she beat my Dowsing Rod?
96,He needs no introduction.
97,"Noda Hiroshi from Japan, the one who's competing with me for the No.2 spot."
98,So... How did you infer that?
99,No need to infer.
100,He thinks he's hot and posts way too many nude selfies.
101,I cannot beat this one.
102,What about the PRESERVED EGG?
103,Who's the PRESERVED EGG?
104,The No.1.
105,"The No.1, ""Q"", is an anonymous user in Canada."
106,I'm not sure that he or she is in this crowd.
107,"Plus, during the last 3 minutes they have all checked out the hallway."
108,Everyone is obviously waiting for a very important person...
109,The owner of this house is not hard to look up...
110,"Uncle Seven  Wu Zhiyuan, the highest ranked leader of all Chinese gangs, the ""Godfather of Chinatown""."
111,His grandson Wu Zhihao was murdered four days ago.
112,"You are not the one who asked me to be here, he is, right?"
113,I knew I couldn't fool you...
114,You know I hate being lied to.
115,"Old Chin, Ah Xiang is married!"
116,I'm not the groom!
117,She is married to this guy!
118,"He is not as handsome as me, not as slim as me, not as elegant as me."
119,He's such a playboy and dresses like a peasant!
120,Just because he's richer than me!
121,So I need to have a lot of money to win Ah Xiang back!
122,So... what does this have to do with me?
123,Dollars!
124,"If we solved Uncle Seven's grandson's murder, if you get 2.5 million, I get 2.5 million."
125,To hell with your 2.5.
126,Old Chin!
127,Are you really going to abandon me?
128, I'm your uncle!
129, Cousin.
130,We got the same blood running through our veins!
131,I'm gonna go see Queen's manuscript!
132,Old Chin!
133,Do you know how much Ah Xiang means to me?
134,I would die for her!
135,I will never love another woman.
136,Ah Xiang?
137,Officer Chen!
138,Welcome!
139,"Mr. Lu, did you invite these clowns?"
140,"They may look like nobodies, but you have no idea how hard it was to get them all to come  you are looking at a real ""World Detective Contest""."
141,Why is there a kid here?
142,"Officer, I am the detective, he is just my butler."
143,Uncle Seven...
144,The doctor says I have one week left at most.
145,I want to find Jason's murderer before I die.
146, Understood.
147, Let's start.
148,OK.
149,Hurry up!
150,"Ladies and Gentlemen, I am Guofu Lu, Uncle Seven's godson as well as..."
151,Shut up!
152,Let Officer Chen speak!
153,"OK, OK..."
154,"Listen, this is the first and last time that I will share this info with you..."
155,"Yes, yes."
156,...for Uncle Seven's sake.
157,I bet you can't understand a word.
158,Old Chin!
159,You're still here?
160,I know deep down in your heart you care about me!
161,I'll only say this once...
162,"Four days ago, on July 1 st, Jason Wu's body was found in a temple in Chinatown."
163,Time?
164,He was found by the temple's staff.
165,Someone cut his chest open and removed the heart.
166,The perpetrator made a Yshaped incision on the victim's chest.
167,No fingerprints were found but two details stand out.
168,"First, ""sevoflurane"" residue collected from the deceased's nasal cavity and left hand prove he was poisoned before being dragged to the crime scene."
169,"Second, from the wounds' vital reaction, we know the deceased's heart was removed while he was unconscious but still alive."
170,Any questions?
171,The killer is left handed?
172,That's right.
173,"We also suspect, from the cut's direction..."
174,No need to suspect.
175,The truth is the sevoflurane is found on the victim's left hand approve of that What's the time of death?
176,Sometime between 9 and 10 AM.
177,OK.
178,Knowing that the gate of Zao Wang Temple opens at 10am So?
179,So here's what's interesting: The suspect dragged the victim to the temple and killed him there.
180,The autopsy said the victim was killed between 910AM.
181,"However, the temple gate only opens at 10am."
182,"Anyways, what I want to say is even though the suspect could have been seen why he chose this place, this time to ""punish"" the victim Do you know why?"
183,What is he talking about?
184,"He's taking away our ""Detective Chinatown"" limelight!"
