,dialog
0,Subtitle edited by Anisul Kabir Akil More from http://subscene.com/u/776104 theme song plays chains rattling man grunting horse nickering  Whoa.
1, horses snorting gentle metallic rattling Whoa.
2,Who's that stumblin' around in the dark?
3,State your business or prepare to get winged!
4,"Calm yourselves, gentlemen..."
5,I mean you no harm.
6,I'm simply a fellow weary traveler.
7,"Whoa, boy."
8,"Good cold evening, gentlemen."
9,I'm looking for a pair of slave traders that go by the name of the Speck Brothers.
10,Might that be you?
11, Who wants to know?
12," Well, I do."
13,I'm Dr. King Schultz.
14,"This is my horse, Fritz."
15,snorting  What kinda doctor?
16, Schultz Dentist.
17,"Now, are you the Speck Brothers?"
18,And did you purchase those men at the Greenville slave auction?
19, So what?
20, So I wish to parley with you.
21, Speak English.
22," chuckles Oh, I'm sorry."
23,Please forgive me.
24,It is a second language.
25,"Now, amongst your inventory, I've been led to believe, is a specimen I'm keen to acquire."
26,"Hello, you poor devils!"
27,Is there one amongst you who was formerly a resident of the Carrucan plantation?
28,man I'm from the Carrucan plantation.
29,Who said that?
30,Schultz lighting match What's your name?
31,Django.
32,Then you are exactly the one I'm looking for.
33,Do you know who the Brittle Brothers are?
34,Who are they?
35,Big John.
36,Ellis.
37,Roger.
38,Sometime they call him Lil Raj.
39,They was overseers at the Carrucan plantation.
40,Not anymore.
41,Tell me...
42,"...if you were to see any of these three gentlemen again,  would you recognize them?"
43, man Hey.
44, Stop talkin' to him like that.
45, Like What?
46,Like that.
47,"My good man, I'm simply trying to ascertain..."
48,"Speak English, goddamn it."
49,Everybody calm down.
50,I'm simply a customer trying to conduct a transaction.
51,I don't care. No sale.
52,"Now, off with ya."
53,scoffs Don't be ridiculous.
54,Of course they're for sale.
55,Move it.
56,"My good man, did you simply get carried away with your dramatic gesture or are you pointing your weapon at me with lethal intention?"
57,"Last chance, fancy pants."
58,"Oh, very well."
59,"horse whinnying man screaming scream echoing screaming continues I'm sorry to put a bullet in your beast, but I didn't want you to do anything rash before you had a moment to come to your senses."
60,You goddamn son of a bitch!
61, You shot Roscoe!
62, Well...
63,And you killed Ace!
64,I only shot your brother once he threatened to shoot me.
65,And I do believe I have...
66,"one, two, three, four..."
67,...five witnesses who can attest to that fact.
68, Damn leg's busted!
69, No doubt.
70,"Now, if you could keep your caterwauling down to a minimum, I'd like to finish my line of inquiry with young Django."
71,screaming resumes  man Godfuckin'damn it!
72, As I was saying...
73,"...if you were to see the Brittle Brothers again, you could recognize 'em?"
74,Yeah.
75,Sold American!
76,"So, Mr. Speck? Mr. Speck?"
77,How much for young Django here?
78,That iron is nasty business.
79,"Oh, could you hold this for a moment?"
80,Thank you. Django?
81,Get up on that horse.
82,"Also, if I were you, I'd take that winter coat the dear departed Speck left behind."
83,Nigger!
84,Don't you touch my brother's coat.
85,screaming Goddamn it! Oh!
86,moaning One hundred... ten... 20...
87,...and five...
88,...for young Django here.
89,"And since he won't be needing it anymore, I'd like to purchase your brother's nag."
90,"Also, Mr. Speck, I'm afraid I will require a bill of sale."
91,Do you have one?
92," You go to hell, dentist."
93, scoffs I thought not.
94,No worries. I come prepared.
95,Thank you.
96,This will serve nicely as a bill of sale.
97,nickering Whoa.
98,"Now, as to you poor devils."
99,"So, as I see it, when it comes to the subject of what to do next, you gentlemen have two choices."
100,"One: Once I'm gone, you could lift that beast off the remaining Speck, then carry him to the nearest town."
101,"Which would be at least Or two: You could unshackle yourselves, take that rifle, put a bullet in his head, bury the two of them deep, and then make your way to a more enlightened area of this country."
102,Choice is yours.
103,"Oh, and on the off chance there are any astronomy aficionados amongst you, the North Star is that one."
104,"Tata. clucking Now wait a minute, fellas."
105,Let's talk about this!
106, lantern crashing  chains rattling You gotta be reasonable in a situation like this!
107,I'm not a bad guy.
108,I'm just doin' my job!
109,"Blueberry, didn't I give you my last apple?"
110,"Tell you what, boys: Take me to the doc in El Paso,  I'll get you your freedom."
111," gun cocking  No. No, please..."
112," gunshot echoing dogs barking nearby squeaking All right, now."
113,I'd like you to take two of these tonight...
114, coughing  ...and then in the morning...
115,That's a nigger on a horse.
116,What's everybody staring at?
117,They ain't never seen no nigger on a horse before.
118,goats bleating Whoa.
119,"Good morning, innkeeper!"
120,Two beers for two weary travelers.
121,It's still a bit early.
122,We won't be open for another hour.
123,"By then, we'll be servin' breakfast."
124,"gasping Whoa, whoa, whoa, whoa... what the hell you think you're doing, boy?"
125,Get that nigger outta here!
126, panting Help! Help!
127, Innkeeper!
128,"Remember, get the sheriff, not the marshal."
129,man Sheriff! Help!
130,Alas.
131,Now we must act as our own bartender.
132,"Sit down, my boy."
133, What kind of dentist are you?
134," chortles Despite that cart, I haven't practiced dentistry in five years."
135,"But these days, I practice a new profession..."
136,...bounty hunter.
137,Do you know what a bounty hunter is?
138,No.
139,Well...
140,"...the way the slave trade deals in human lives for cash, a bounty hunter deals in corpses."
141,tsking Hat Prost.
142,The state places a bounty on a man's head.
143,"I track that man, I find that man, I kill that man."
144,"After I've killed him, I transport that man's corpse back to the authorities."
145,Sometimes that's easier said than done.
146,"I show that corpse to the authorities, proving yes, indeed, I truly have killed him, at which point the authorities pay me the bounty."
147,"So, like slavery, it's a flesh for cash business."
148,What's a bounty?
149,It's like a reward.
150,You kill people?
151,And they give you a reward?
152,"Certain people, yeah."
153,Bad people?
154,"Ah! Badder they are, bigger the reward."
155,Which brings me to you.
156,"And I must admit, I'm at a bit of a quandary when it comes to you."
157,"On one hand, I despise slavery."
158,"On the other hand, I need your help."
159,"If you're not in a position to refuse, all the better."
160,"So, for the time being, I'm gonna make this slavery malarkey work to my benefit."
161,"Still, having said that, I feel guilty."
162,"So, I would like the two of us to enter into an agreement."
163,I'm looking for the Brittle Brothers.
164,"However, at this endeavor, I'm at a slight disadvantage insofar as I don't know what they look like."
165,But you do. Don't ya?
166,I know what they look like all right.
167,Good. So here's my agreement.
168, You travel with me until we find them.
169, Where we goin'?
170,"I hear at least two of them are overseeing up in Gatlinburg, but I don't know where."
171,That means we visit every plantation in Gatlinburg till we find 'em.
172,"And when we find them, you point them out, and I kill them."
173,"You do that, I agree to give you your freedom, $25 per Brittle Brother. That's $75."
174,"And, as if on cue, here comes the sheriff."
175,"scoffs OK, boys. Fun's over. Come on out."
176," overlapping chatter  All right, folks, calm down."
177,Go about your business.
178,These jokers will be gone soon.
179,"Now, why y'all wanna come into my town and start trouble?"
180,And scare all these nice people.
181,You ain't got nothing better to do than to come into Bill Sharp's town and show your ass?
182, metal springing noise  sheriff screaming  crowd gasping  groaning woman screams  What'd you just do to our sheriff?
183, groaning  yelling  shot echoing woman gasps crowd screaming Now you can get the marshal.
184,man Marshal! Marshal!
185, Should we wait inside?
186, Can we just leave?
187,After you.
188,Move that buckboard a long ways across the street from the saloon.
189,"I want six men, six rifles behind it."
190,"I want two men, two rifles up on this roof."
191,"Two men, two rifles on that roof."
192,All the barrels aimed at that front door.
193,Somebody get poor Bill outta the goddamn street.
194,You in the saloon!
195,We got a hundred rifles aimed at every way out of that buildin'.
196,You got one chance to get out of this alive.
197,"You and your nigger come out right now with your hands over your head, and I mean right now."
198,Schultz Is this the marshal I have the pleasure of addressing?
199,"Yes, it is."
200,This is U.S. Marshal Gill Tatum.
201,"Schultz Na wunderbar, marshal."
202,"I have relieved myself of all weapons, and just as you have instructed, I am ready to step outside with my hands raised above my head."
203,"I trust as a representative of the criminal justice system of the United States of America, I shan't be shot down in the street by either you or your deputies before I've had my day in court."
204,You mean like you did our sheriff.
205,Shot him down like a dog in the street.
206,"Yes, that's exactly what I mean."
207,Do I have your word as a lawman not to shoot me down like a dog in the street?
208,"Well, much as we'd all enjoy seeing something like that, ain't nobody gonna cheat the hangman in my town."
209,"Fair enough, marshal."
210,Here we come.
211,They're a little tense out there.
212,"So don't make any quick movements, and let me do the talking."
213, doors squeaking open  Come ahead.
214,You unarmed?
215,"Schultz Yes, indeed we are."
216,"Marshal Tatum, may I address you and your deputies, and apparently the entire town of Daughtrey, as to the incident that just occurred?"
217, Go on.
218, Thank you.
219,My name is Dr. King Schultz.
220,"Like yourself, marshal, I'm a servant of the court."
221,"The man lying dead in the dirt, who the good people of Daughtrey saw fit to elect as their sheriff, who went by the name of Bill Sharp, is actually a wanted outlaw by the name of Willard Peck, with a price on his head of $200."
222,"Now that's $200, dead or alive."
223,"The hell, you say!"
224,I'm aware this is probably disconcerting news.
225,But I'm willing to wager this man was elected sheriff sometime in the past two years?
226,Yeah.
227,"Schultz I know this because three years ago, he was rustling cattle from the B.C. Corrigan Cattle Company of Lubbock, Texas."
228,"Now, this is a warrant made out by Circuit Court Judge Henry Allen Laudermilk of Austin, Texas."
229,You're encouraged to wire him.
230,He'll back up who I am and who your dear departed sheriff was.
231,"guns uncocking In other words, marshal, you owe me $200."
232,mediumtempo song plays I'll be damned.
233,"After this Brittle business is behind us, you'll be a free man, with a horse, $75 in your back pocket..."
234,What's your plan after that?
235,"Find my wife, and buy her freedom."
236,"Django, I had no idea you were a married man."
237,Do most slaves believe in marriage?
238,"Oh, me and my wife do."
239,Old Man Carrucan didn't.
240,"That's why we, uh... we run off."
241,man Django.
242,"Django, Django You got sand, Django."
243,Boy's got sand.
244,I got no use for a nigger with sand.
245,"I want you to burn a runaway ""r"" right here on his cheek."
246,"And the girl, too."
247,groaning And I want you to take 'em to the Greenville auction and sell 'em.
248,Both of 'em.
249,Separately.
250,And this one...
251,...you will sell him cheap.
252,In Greenville...
253,...there should be some sort of a records office.
254,You know when she was sold...
255,"...you know where she came from, and you know her name."
256,What is her name?
257,Broomhilda.
258, What?
259, Broomhilda.
260, Broomhilda?
261, Hmmm.
262, Were her owners German?
263," Yeah, how you know?"
264,She wasn't born on the Carrucan plantation.
265,"She was raised by a German mistress, the Von Shafts."
266,"She speak a little German, too."
267, Your wife?
268, Hmmm.
269,"When she was little, her mistress taught her so she'd have somebody to speak German with."
270,"Well, let me get this straight."
271,Your slave wife speaks German and her name is Broomhilda Von Shaft?
272,Yep.
273,They call me Hildi.
274,"rooster crowing nearby When we gain access to these plantations, we'll be putting on an act."
275,You'll be playing a character.
276,Hm?
277,No?
278,"During the act, you can never break character."
279,Do you understand?
280,Yeah. Don't break character.
281,And your character is that of The Valet.
282,What that is?
283,That's a fancy word for servant.
284, Valet?
285, Hmmm.
286,"chuckles And now, Django, you may choose your character's costume."
287,Youse gonna let me pick out my own clothes?
288,But of course.
289,mediumtempo song resumes playing Whoa.
290,It's against the law for niggers to ride horses in this territory.
291,This is my valet.
292,My valet does not walk.
293, I said niggers on horses...
294, Schultz His name is Django.
295,He's a free man.
296,He can ride what he pleases.
297,Not on my property.
298,"Not around my niggers, he can't."
299,"My good sir, perhaps we got off on the wrong boot."
300,Allow me to unring this bell.
301,My name is Dr. King Schultz.
302,"This is my valet, Django."
303,"And these are our horses, Tony and Fritz."
304, snorting  women giggling Mr. Bennett?
305,I've been led to believe that you are a gentleman and a businessman.
306,And it is for these attributes we've ridden from Texas to Tennessee to parley with you now.
307,I wish to purchase one of your nigger gals.
308,You and your Jimmie rode from Texas to Tennessee to buy one of my nigger gals?
309,"No appointment, no nothin'?"
310,"Oh, I'm afraid so."
311,"Well, what if I was to say I don't like you?"
312,Or your fancypants nigger?
313,And I wouldn't sell you a tinker's damn.
314,Now what you got to say about that?
315,Mr. Bennett.
316,"If you are the businessman I've been led to believe you to be, I have 5,000 things I might say that could change your mind."
317,"chuckles softly Well, come on inside and get yourself somethin' cool to drink."
318,Hmmm.
319,"chuckles Oh, maybe while we discuss business, you could provide one of your loveliest black creatures to escort Django here around your magnificent grounds."
320,"Oh, well, absolutely!"
321,"Uh, Betina."
322," Yessir, Big Daddy?"
323, Uh...
324,What's your Jimmie's name again?
325,' Django.
326,' Django.
327,"Betina, sugar, could you take Django there and take him around the grounds here and show him all the pretty stuff."
328,"As you please, Big Daddy."
329,"Oh, Mr. Bennett, I must remind you, Django is a free man."
330,He cannot be treated like a slave.
331,"He... within the bounds of good taste, he must be treated as an extension of myself."
332," Understood, Schultz. Betina, sugar?"
333, Yes'm?
334,Django isn't a slave.
335,"Django is a free man, you understand?"
336,"You can't treat him like any of the other niggers around here, 'cause he ain't like any of the other niggers around here. You got it?"
337,You want I should treat him like white folks?
338,No. That's not what I said.
339,"Then I don't know what you want, Big Daddy."
340,"Yes, I can see that. Uh..."
341,What's the name of that peckerwood boy from town that works with the glass?
342,His mama work over at the lumberyard.
343," Oh, you mean Jerry."
344, That's the boy's name. Jerry!
345,"You know Jerry, don't you, sugar?"
346," Yes'm, Big Daddy."
347," Well, that's it, then."
348,You just treat him like you would Jerry.
349,playing mediumtempo tune That house we just left from is The Big House.
350,Big Daddy call it that 'cause it's big.
351,That there is the pantry.
352,That's where Big Daddy hang all his dead meat.
353,Po' little squirrels.
354,What you do for your massa?
355,Didn't you hear him tell you I ain't no slave?
356, So you really free?
357," Yes, I's free."
358,You mean you wanna dress like that?
359," Betina, I need to ask you somethin'."
360, What you want?
361,I'm lookin' for three white men.
362,Three brothers. Overseers.
363,Their name is Brittle. You know 'em?
364, Brittle?
365," Yes, Brittle."
366,"John Brittle, Ellis Brittle, Roger Brittle, sometime called Lil Raj."
367,I don't know them.
368,They could be usin' a different name.
369,They woulda come to the plantation this past year.
370, You mean the Shaffers?
371, Maybe.
372, Three brothers?
373, Uhhuh.
374, They here?
375, Uhhuh.
376,Could you point one of 'em out to me?
377,"Well, one's over in that field."
378,"mediumtempo song plays Django Old Man Carrucan ain't gonna appreciate this, now."
379,"She work in the house, John."
380,"You could mess her skin up, and you gonna mess her up and she ain't gonna be worth..."
381,she ain't gonna be worth a damn thing.
382,"Now, your Bible say..."
383,"Django Look, I told you that I was one that made her do it."
384,You ready?
385,"She didn't wanna run off with me. If anybody should be gettin' whupped now, it should be me. It should be me, John."
386,"Now, I been here long enough, you know me, you know me a long time, now."
387,dogs barking in distance You know Massa Carrucan ain't gonna appreciate this.
388,She's a... she's a house slave.
389," She a house slave, she can't be..."
390," screaming dogs howling screaming On my knees. I'm asking you this, please. Ain't this what you want?"
391,I'm keeping it funny for you.
392,"Now, John, please."
393,"gasping sobbing L's on my knees, John."
394,"I like the way you beg, boy."
395,"whip cracking, echoing Is that who you was lookin' for?"
396,Yep.
397,Where the other two at?
398,"They by the stable, punishin' Little Jody for breakin' eggs."
399,They whippin' Little Jody?
400,Point me in that direction.
401,You go to that tree and keep goin' thata way.
402,Go get that white man I came here with.
403," man Come on, now."
404," No, no, please!"
405," Come on, girlie."
406, shrieks Please!
407, Come on. Get you set up now.
408," screaming ""And the Lord said, 'The fear of ye...""  cracking  ""...and the dread of ye shall be on every beast of the earth.""' cracking Come here now, woman!"
409, You'd better give me that arm!
410," screaming OK, she's ready!"
411,"whimpering And after this, we'll see if you break eggs again."
412,John Brittle!
413, You remember me?
414," metal springing noise I like the way you die, boy."
415,Goddamn son of a bitch!
416,grunting whip cracking groaning  Keep it funny!
417, grunting yelling man groaning Y'all wanna see somethin'?
418,cocking pistol No! groans clicking Who were they?
419,"That's Big John, and that's Lil Raj."
420,Where's Ellis?
421,He's the one hightailin' it across that field right now.
422, You sure that's him?
423, Yeah.
424, Positive?
425, I don't know.
426, You don't know if you're positive?
427," I don't know what ""positive"" mean."
428, It means you're sure.
429, Yes.
430," ""Yes,"" what?"
431," Yes, I'm sure that's Ellis Brittle."
432,I'm positive he dead.
433,Django!
434,Everybody calm down.
435,We mean no one else any harm.
436,Who are you two jokers?
437,"I am Dr. King Schultz, a legal representative of the criminal justice system of the United States of America."
438,The man to my left is Django Freeman.
439,He's my deputy.
440,"In my pocket is a warrant, signed by Circuit Court Judge Henry Allen Laudermilk of Austin, Texas, for the arrest and capture, dead or alive, of John Brittle, Roger Brittle and Ellis Brittle."
441,They were goin' by the name Shaffer.
442,"You know them by the name of Shaffer, but the butchers' real name was Brittle."
443,These are wanted men.
444,The law wants 'em for murder.
445,"Now, I reiterate, the warrant states dead or alive, so when Mr. Freeman and myself executed these men on sight, we were operating within our legal boundaries."
446,"I realize passions are high, but I must warn you, the penalty for taking deadly force against an officer of the court in the performance of his duty is you'll be hung by the neck until you're dead."
447,"Now, may I please remove the warrant from my pocket so you may examine it?"
448,Gimme.
449,Satisfied?
450,"May I have that back, please?"
451, Get off my land.
452, Posthaste.
453,Load up the bodies as quickly as you can and let's get outta here.
454,"Schultz whistling indistinctly Yeah, that's them sonsabitches."
455,"galloping hoofbeats  dramatic choral music  horses snorting, whinnying men yelling, whooping Come on, men!"
456," man 1 We're coming for you, nigger!"
457, man 2 Heehaw!
458,"Now, unless they start shootin' first, nobody shoot 'em."
459,That's way too simple for these jokers.
460,We're gonna whup that niggerlover to death.
461,And I'm gonna personally strip and clip that garboon myself.
462,Damn.
463,I can't see fuckin' shit outta this thing.
464,We ready or what?
465,"Big Daddy Aw, hold on, I'm fuckin' with my eyeholes."
466," fabric ripping  Oh... Oh, shit."
467,I just made it worse.
468,Who made this goddamn shit?
469, Willard's wife.
470," Well, make your own goddamn masks!"
471,"Look, nobody's sayin' they don't appreciate what Jenny did."
472,"Well, if all I had to do was cut a hole in a bag, I coulda cut it better than this!"
473,"What about you, Robert?"
474,Can you see?
475,Not too good.
476,"I mean, if I don't move my head I can see you pretty good, more or less."
477,"But when I start ridin', the bag's movin' all over, and I'm ridin' blind."
478, Shit.
479, man Yeah.
480,I just made mine worse.
481,"Oh, God."
482,Anybody bring any extra bags?
483,"No, nobody brought an extra bag!"
484,I'm just askin'.
485,Do we have to wear 'em when we ride?
486,"Oh, well, shitfire!"
487,"If you don't wear 'em as you ride up, that just defeats the purpose!"
488,"Well, I can't see in this fuckin' thing!"
489,I can't breathe in this fuckin' thing and I can't ride in this fuckin' thing!
490,"Well, fuck all y'all! I'm goin' home!"
491,"Now, I watched my wife work all day gettin' 30 bags together for you ungrateful sonsabitches, and all I can hear is criticize, criticize, criticize!"
492,"From now on, don't ask me or mine for nothin'!"
493,"Now, look, let's not forget why we're here."
494,We got a killer nigger over that hill there!
495,And we gotta make a lesson out of him.
496,"OK, I'm confused."
497,Are the bags on or off?
498,I think we all think the bag was a nice idea.
499, Yeah.
500," mumbling agreements But, not pointin' any fingers, they coulda been done better."
501,"So how 'bout no bags this time, but next time we do the bags right and then we go full regalia."
502, I like that idea a lot.
503," You get my vote, Robert."
504,Wait a minute!
505,I didn't say no bags.
506,But nobody can see.
507,So?
508,So it'd be nice to see.
509,Goddamn it! This is a raid!
510,"I can't see, you can't see!"
511,So what? All that matters is can the fuckin' horse see! That's a raid!
512, overlapping shouts  man Sons of bitches!
513,I can't see shit!
514,Big Daddy There he is! Get that nigger out from under that wagon!
515,And get that niggerlover outta the wagon!
516,"That nigger ain't down here, Big Daddy!"
517, What?
518, They tricked us!
519,"Well, where are they?"
520,Auf Wiedersehen.
521, all shouting  horses whinnying Oh! chuckles Bull'seye.
522, men yelling  horses whinnying  Django Look at 'em run.
523," all shouting Yeah, cowards tend to do that."
524,Goddamn it!
525,Big Daddy Goddamn it!
526,Would you care to?
527,Can't see shit outta this!
528, He's getting away.
529, I got him.
530,Schultz Big Daddy's getting away.
531,I got him.
532, slowmotion impact sound  Big Daddy grunting Got him.
533,chuckles The kid's a natural.
534,animal yipping nearby How you know Broomhilda's first masters was German?
535,Broomhilda is a German name.
536,"If they named her, it stands to reason they'd be German."
537,Lots of gals where you're from named Broomhilda?
538,Broomhilda is the name of a character in the most popular of all the German legends.
539,There's a story about Broomhilda?
