,dialog
0,Simple and direct.
1,It's like throwing a punch.
2,"When I think the time is right, I use the most efficient way to solve a problem."
3,"Not everyone will agree with me, but that's me."
4,"I'm fallon zhu, as in Jimmy Fallon and fallon fox, a 145pound kickass policeman."
5,I honestly did not do it.
6,"I'm gonna kill you, you little bitch!"
7,Please don't hit me anymore!
8,"I am innocent, sis ling."
9,"I am innocent, sis ling."
10,Get out!
11,"Chloe song, are you ready yet?"
12,How many times do I have to rush you?
13,"Yes, I'm ready. Coming..."
14,Took you all that time for just makeup?
15,"We're all set, just missing you!"
16,You think you're a superstar?
17,Hurry up... run!
18,The director is waiting!
19,Yes.
20,"Mr director, I am ready."
21,Lower your voice. Mr director is busy pondering the next scenes.
22,Hurry!
23,Ready?
24,"Not yet, hang on a minute."
25,Phone.
26,Hi Chloe!
27,Have you wrapped?
28,One more shot and I'm wrapped.
29,Have you got out of bed?
30,Remember to get money for my mom and be at the wedding photographer's studio before 1 o'clock or I won't marry you.
31,I'll be doomed if you don't marry me.
32,"Well, if you don't want to be doomed, then please don't be late."
33,"And also, I've got your suit ready in the wardrobe."
34,"Remember to wear it, you hear me?"
35,"That is it, that suit...!"
36,Wow!
37,Wow what?
38,What the heck do you know about fashion?!
39,"Ok, that's it."
40,"I have to get back to work, I'll see you later."
41,Bye.
42,Move.
43,"Assistant director, aren't you just taking my closeup?"
44,This will only work if it's one continuous shot.
45,One continuous shot?
46,"No, I am acrophobic."
47,"Let's wait for my double to get here, ok?"
48,Why did you jump?
49,The camera's not even rolling.
50,Do it again!
51,Hi lowell... Wayne! What a coincidence!
52," Oh, there's an operation today..."
53, We're just getting pineapple buns and milk tea...
54,Need help?
55, Superintendent huang is hungry...
56," No, we're on our way to catch some crooks..."
57,Need help?
58,No...
59,It's just a small job...
60,Aren't you on leave? You're all dressed up!
61,We're having our wedding photos taken today.
62,"You've got to come to my wedding next month, remember that."
63, Of course!
64, Congratulations...
65,"Hey, stay safe."
66,Understood. What is most important...?
67,Staying safe!
68,Eating pineapple buns again?
69,You will easily get fat.
70,"I'm just going after a bunch of crooks today, not like I'm tackling bank robbers."
71,Do I look good?
72,Looking real good!
73,You look like a manager in a Chinese restaurant.
74,Why? Are you taking your wedding photos with Chloe in a Chinese restaurant?
75,What the heck do you know about fashion?!
76,People getting married all suffer from brain damage.
77, Good morning!
78, Good morning!
79,"Our privileged guest, wait..."
