,dialog
0,Shit.
1,Sam.
2,"Sam, wake up."
3,What's wrong?
4,Fuck.
5,"What'd you do, Tiger?"
6, When did we crash?
7," You tell us, asshole."
8,I guess I fell asleep.
9,Yeah...
10,with the engine running.
11,Fully charged.
12,Did you kill the battery too?
13,You hear the radio?
14,There's a skating rink about 11 miles from here.
15,Big parking lot.
16,Ice skating or rollerskating?
17,Just says they're open.
18,Why?
19,Hockey players whoop more ass.
20,"I don't know, dude. I've seen some pretty badass roller skaters."
21,At 7:00 AM?
22,"All right, I'll come with."
23, Sam?
24, Tad.
25,Awesome.
26,"Hey, I work nights, but I'll catch up with you guys for breakfast."
27, Okay.
28, I'm in 2R up the stairs.
29,Just crash wherever.
30,"Uh, park in the side lot."
31,Rear doors tight to the walls so no one steals your shit.
32,All right.
33,Yeah?
34,These all have mushrooms.
35,This dude's legit.
36,Why? 'Cause he wakes up at 5:00 in the morning to put jizz in his hair?
37,Mm...
38,No. He's true.
39,ReeRee.
40,Who you callin'?
41,Is that your business?
42,I get the bills.
43,I'm going to bed.
44,We're gonna drink.
45,"âª One, two, three, four, one, two, three, four âª âª Legalize âª Mornin'."
46,Hello.
47,You were the first to fall asleep?
48,"Okay, I'm with the Ain't Rights from Washington, D.C."
49,"Uh, technically, we're from Arlington."
50,"Nice. Uh, and this is for Seaside HCFM."
51,Not for the zine?
52,"I'll do a print version for that, but this will run on our college station."
53,"Uh, if that's cool."
54,Yeah.
55,"So, you guys working on anything new?"
56,"Mm, yeah. A few songs."
57,"Maybe enough for, like, a seven inch."
58,Sweet. Will you actually press one?
59,"Yeah, if we can afford it."
60,"Yeah, no, I really dig the analog style."
61,"Uh, which brings me to the fact you guys are hard to find."
62,Why no social media presence?
63,"That's because booking more shows, selling more records would blow."
64,It's not hard rock.
65,"No one wants to starve, but..."
66,"when you take it all virtual, you lose..."
67,the texture.
68," What do you mean ""texture""?"
69, Just... you gotta be there.
70,The music is for effect.
71,It's time and aggression...
72,Technical wizardry.
73,And it's shared live...
74,and then it's over.
75,The energy can't last.
76,Unless you're Iggy Pop.
77,"Yeah, well good for him, but I don't think I wanna be in my 70's still listening to Minor Threat."
78, But Tiger does.
79," I won't live to be 70, so..."
80,"Okay, so, uh, this is a good seg into one of my traditions."
81,"Uh, for each of you, name your desert island band."
82,Only one?
83,"If I were to say Black Sabbath, would I get Ozzy and Dio?"
84,No caveats.
85,Just name the band.
86,Okay.
87,Misfits.
88,"No, The Damned."
89, Um...
90," Oh, fuck it. Misfits."
91, Poison Idea.
92, CroMags.
93,That's a good one also.
94,"Why don't you say something, dude?"
95,What about Steely Dan?
96," Hm. No, Candlebox."
97, He's a juggalo.
98, Uh... uh...
99, Britney Spears?
100,"Hey... hey, you..."
101,"you... you're gonna edit this, right?"
102,I can chop it up a bit.
103," Oh, you should let it go raw, man."
104," Um, when is this gonna air?"
105,"Like, maybe we should plug the show?"
106,Yeah. Um...
107,My last show at The Muni Center didn't end well.
108,"Uh, lots of vomit, some fecal matter."
109,County commissioner got wind and pulled my permit.
110,You guys were already en route.
111,"No, you gotta give us a kill fee."
