,dialog
0,"I dropped the gun in the Thames, washed the residue off me hands in the bathroom of a Burger King, and walked home to await instructions."
1,"Shortly thereafter, the instructions came through."
2,"""Get the fuck out of London, youse dumb fucks."
3,"""Get to Bruges."" I didn't even know where Bruges fucking was."
4,It's in Belgium.
5,RAY: Bruges is a shithole.
6,KEN: Bruges is not a shithole.
7,Bruges is a shithole.
8,"Ray, we've only just got off the fucking train."
9,Could we reserve judgement on Bruges until we've seen the fucking place?
10,I know it's gonna be a shithole.
11,(SOFTLY) Shithole.
12,I think you have a couple of rooms booked under Cranham and Blakely?
13,"Yes. No, we have one room booked."
14,One twin room. Booked for two weeks.
15,Two weeks!
16, Do you have another room?
17," No, I'm afraid we're fully booked."
18,"With Christmas, everywhere is fully booked."
19,Okay.
20,It's very pretty.
21," I'm not being funny, we can't stay here."
22, We've got to stay here until he rings.
23," Well, what if he doesn't ring for two weeks?"
24, Then we stay here for two weeks.
25,For two weeks? In fucking Bruges?
26,In a room like this?
27,With you? No way!
28," Ray, I really don't like to say this..."
29, You really don't like to say what?
30,Well... You know?
31,Fucking bring that up.
32,Do you think this is good?
33,Do I think what's good?
34,"You know, going round in a boat, looking at stuff."
35,"Yes, I do."
36,"It's called ""sightseeing."" Oh, look at that."
37,It's a former hospital. From the 1100s.
38,"Bruges is the most wellpreserved medieval town in the whole of Belgium, apparently."
39, Coming up?
40, What's up there?
41,The view.
42,The view of what? The view of down here?
43,I can see that from down here.
44,"Ray, you're about the worst tourist in the whole world."
45,"Ken, I grew up in Dublin. I love Dublin."
46,"If I'd grown up on a farm and was retarded, Bruges might impress me."
47,"But I didn't, so it doesn't."
48,Trying to get rid of me coins.
49,Will you take 4.90?
50,Entry is 5 euro.
51," Come on, man, it's only 10 cents."
52, Entry is 5 euro.
53, Happy in your work?
54, Very happy.
55,I like it here.
56,MAN: Been to the top of the tower?
57,"Yeah. Yeah, it's rubbish."
58,"It is? The guidebook says it's a ""mustsee""."
59," Well, you lot ain't going up there."
60, Pardon me? Why?
61,"I mean, it's all windy stairs."
62,I'm not being funny.
63,What exactly are you trying to say?
64,What exactly am I trying to say?
65,Youse are a bunch of fucking elephants!
66,"Right, you..."
67,"Come on, leave it, fatty."
68,"You know, you're just the rudest man."
69,The rudest man!
70,What's all that about?
71,They're not going up there.
72,"Hey, guys, I wouldn't go up there."
73,It's really narrow.
74,"Screw you, motherfucker!"
75,"Americans, isn't it?"
76,"Now, this is more like it. Proper holidays."
77,"One gay beer for my gay friend, and one normal beer for me, because I am normal."
78,This is the life.
79,We're not staying here getting pissed.
80,"We are quietly sightseeing, like he says, and awaiting his call to see what we do next."
81,This is my vote on what we should do.
82,"We give it another day, two days, max."
83,"Then we check the papers again, and if there's still nothing in them, we phone him and say, ""Harry, thank you for the trip to Bruges, ""it's been very nice, all the old buildings and that, ""but we're coming back to London now, and hide out in a proper country, ""where it isn't all just fucking chocolates."" My vote would be we quietly sightsee, like he says, and await his call to see what we do next."
84,You don't even know we're here hiding out.
85,What are you talking about?
86,You don't even know we're not here on a job.
87," What, on a job?"
88, Yeah.
89, Here in Bruges?
90, Yeah.
91," Here in Bruges, on a job?"
92, Yeah.
93, Why? What did he actually say?
94, He didn't actually say anything.
95, Then why do you think it might be?
96, I don't think anything.
97,"But it's a bit fucking overelaborate, isn't it?"
98,"""Go take him to hide out."" ""Go take him to hide out where?"" ""Go take him to hide out in fucking Bruges."" You can hide out in Croydon."
99,Hmm.
100,Or Coventry.
101,Hmm.
102,It is a bit overelaborate.
103,Hmm.
104, But we haven't got any guns.
105, Harry can get guns anywhere.
106,He's not gonna ring tonight.
107,He's not gonna ring tonight.
108,Let's go out.
109, Go out where?
110, The pub.
111,No!
112,Let's go out and have a look at some of the...
113,All the old medieval buildings and that.
114,"Because I bet they look even better at night, all lit up."
115,Yes!
116,That there is called the Gruuthuse Museum.
117," They all have funny names, don't they?"
118," Yes, Flemish."
119,"In here it says, ""The Belgians twice sheltered fugitive English Kings ""from being murdered, 1471 and 1651 ."" I used to hate history, didn't you?"
120,It's all just a load of stuff that's already happened.
121,What are they doing over there?
122,They're filming something.
123,They're filming midgets!
124,Ray!
125,"MAN: So, on this scene, you're supposed to walk like a little, tiny mouse, yeah?"
126,Okay? Great.
127,"Ray, come on, let's go."
128,"My arse, ""Let's go."" They're filming midgets."
129,"Oh, my God! Look at that girl."
130,She's gorgeous!
131," Ray, we're going right now."
132," Fuck off, are we!"
133,This is the best bit of Bruges so far.
134,You and your buildings.
135,Hello.
136, Do you speak English?
137, No.
138,"Yes, you do. Everybody does."
139,What are you filming midgets for?
140,It's a Dutch movie. It's a dream sequence.
141,It's a pastiche of Nicholas Roeg's Don't Look Now.
142,"Not a pastiche, but a..."
143,"A ""homage"" is too strong."
144,"A ""nod of the head""?"
145,"Wow, your English is very good."
146,A lot of midgets tend to kill themselves.
147,A disproportionate amount.
148,"Hervï¿½ Villechaize, off of Fantasylsland."
149,I think somebody off The Time Bandits.
150,"I suppose they must get really sad about, like, being really little and that."
151,People looking at them and laughing at them.
152,"Calling them names. You know, ""shortarse."" There's another famous midget I'm missing, but I can't remember."
153,"It's not the R2D2 man. No, he's still going."
154,I hope your midget doesn't kill himself.
155,Your dream sequence will be fucked.
156,He doesn't like being called a midget.
157,"He prefers ""dwarf."" Well, this is exactly my point!"
158,People go around calling you a midget when you want to be called a dwarf.
159,Of course you're gonna blow your head off!
160, My name's Ray. What's yours?
161, Chloe.
162,How did you get past the security man?
163,"Getting past security men, it's sort of my job."
164, You're a shoplifter?
165," (CHUCKLES) No, not a shoplifter."
166,"It's a good joke, though."
167,No.
168,I'll tell you what I am at dinner tomorrow night.
