,dialog
0,"inner voices with great clearness and they live by what they hear Such people become crazy or they become legend Tristan Ludlow was born in the Moon of the Falling Leaves It was a terrible winter His mother almost died bringing him into this world His father, the Colonel, brought him to me I wrapped him in a bearskin and held him all that night As he grew into a man I taught him the great joy of the kill when the hunter cuts out its warm heart and holds it in his hands setting its spirit free Colonel Ludlow had three sons but Tristan was his favorite I had had sons too But they were gone now forever It was a very bad time The Colonel had tried to help the People The Colonel had tried to help the People but it was no use So he decided to go his own way He wanted to lose the madness over the mountains, he said and begin again ""Lose the madness, '""he said And so we lived for many years and the boys grew strong Alfred was the older brother old even for his years Samuel was the youngest There was nothing these brothers would not do for him They watched over him like a treasure One year..."
1,"I am an old man and cannot remember the year But it was the Moon of the Red Grass when Isabel Ludlow, their mother went away for the winter She said the winters were too cruel for her She said she was afraid of the bears She was a strange woman anyway That spring, though, she did not return And, after that, she did not come much to see us Alfred wrote her many letters but Tristan refused to speak of her His world was here with me Every warrior hopes a good death will find him but Tristan couldn't wait He went looking for his Tristan!"
2,Here  Was it a bear?
3," Yes, sir  Was it a bear?"
4," Yes, sir  Can you breathe?"
5," Yes Take your hand away Take it away You're a stupid, halfbrained jackass  Yes, sir  One Stab put you up to this?"
6,"You deserve to be dead God knows how you've lived so long It'll be all right, son I have these letters many letters Read them They are from all of them Ludlow Isabel Samuel the whole family the whole story It is all written here April 13, 1913 Dear Isabel: I am not fool enough to try to reorder a life already lived but I fear I have not done well raising our sons alone in this wild place What did I know of children?"
7,"I was trained to lead men This is infinitely harder Dear William: You take too much responsibility on yourself, as always Our sons are finding their own paths They are willful, certainly, but then who are you and I to complain of willfulness?"
8,"As for Samuel, I have big news At a Harvard tea for Amy Lowell he met and instantly loved Miss Susannah Finncannon I know it will surprise you greatly but they are engaged He will bring her to Montana this summer to meet his brothers and you So, William, please behave yourself and be as charming as only you can be There he is  How the hell are you?"
9, Good And you?
10," Samuel Good to see you, boy  Father, how are you?"
11," Good to see you  Hello This is my fiancée, Susannah  Hello  Miss Finncannon  Nice to meet you  It's an honor  This is Alfred  How do you do?"
12," Here's your dog, miss  Thank you  It's a horse  That's a strangelooking animal This is Finn He's a champion You like exoticlooking dogs then, Miss Finncannon?"
13,"Very much, Mr. Ludlow  Please call me Susannah  All right  He's just plain old Alfred  Shut up  Where's Tristan?"
14," He's off somewhere You know him He'll welcome you home tonight or I'll know the reason why Miss Finncannon, please Did you have a good journey?"
15,"She is such a lovely creature But I fear the loss of her parents has given her a certain fragility I think she feels very alone in the world But she has found a new family now, hasn't she?"
16,The German military is ready to use chaos in Croatia as a justification for actions that could plunge the entire civilized world into...
17,"The word ""civilized"" has no place in discussing the affairs of this world Mother told us of your sympathy for the social reformers You make it sound like a disease No, I'm in agreement You mother told me all about One Stab She says he was a great warrior Yes He has a bag of scalps to prove it But don't worry He's devoted to Father now Rather, they're devoted to each other Can he speak English?"
18,"Stab, speak English?"
19,He wouldn't lower himself to speak English But watch out because he understands it perfectly well There's Tristan  Don't they feed you?
20," Not much  You smell  Miss me, did you?"
21, Still hung over?
22, Still drunk Isn't she amazing?
23,So this is Tristan And does he speak English?
24,"For God's sake Miss Finncannon, it's a pleasure to meet you I hope you and Ugly here find every happiness together Don't mind my brother Your dog has more breeding than he has This is Mother's room It's lovely  It's a pleasure to meet you, Pet  And you, miss Thank you  Which one?"
25, It's this one Angelica Susannah Hello You must be Isabel Two I've already met your mother and father  How old are you?
26," Thirteen When I was 13, I was sent away to boarding school I hated it May I help you?"
27,"You're going to marry Samuel That's right, I am I'm going to marry Tristan We'll be sisters I see you two have met Isabel Two is letting me help Would you like a rest?"
28,"You must be exhausted No, not at all This is so refreshing all this grandeur, this unexpected gift from God It doesn't seem like much of a gift in a hard winter, I assure you Where's Samuel?"
29,"Inside I could tell your father wanted him all to himself  You're very generous  No, just happy Stop mooning over her and come in here Samuel wants to know about those calves from Cheyenne Get in here Please excuse my father It makes him feel young and powerful to treat us like we're idiot children For all His countless blessings, may God's holy name be praised Amen Tell Father what you were saying about Vienna  What's that?"
30," It's the Kaiser He won't stop them from annihilating Serbia Let's not talk about war, please Susannah hears that England's mobilizing We're stuck out here while all this is going on  Thank God  You wouldn't want us to evade a duty  Wouldn't I?"
31," Father, with respect..."
32,"Please excuse me for being late I packed so carefully, I couldn't find anything Thank you Would you like some..."
33,"As evening fell a maiden stood At the edge of a wood In her hands lay the reins Of a stallion And n'er I'd seen A girl as fair Heard a gentler voice anywhere Whispered, alas She belonged Belonged to another Another, forever Yes, she belonged to The twilight and mist Dear Isabel: How strange to have a cultivated woman in the house again and how intoxicating To have all three of my sons under my roof again fills me with such a deep, quiet satisfaction that I thank God There's a friend of yours A dollar says he brings her back Whoa Easy You got it Nice work You guys look like ice cream cones I know you would have Ready Here we go Go easy on him, Susannah Alfred, you take over I must talk to Tristan You've disgraced the Colonel's name  Nice shiner  I hit her back She's got me spinning She's got me spinning I'll bet She's got these ideas and theories, and she's so..."
34,What?
35,Nothing How'd you break the mare?
36,She's what?
37,She's sort of passionate  She a virgin?
38," Good Lord, Tristan  You brought it up  Of course she is Are you?"
39," Yes, I am  Going to wait till you're married?"
40,"See, she says..."
41,Susannah thinks that...
42,We're not gonna wait And you're afraid you won't meet her expectations?
43,I guess I am Sort of I don't know Should I be?
44,"Samuel, God bless you You are good at everything you try I'm sure it will be the same with fucking Tristan, really  She's my future wife  You're not going to fuck her?"
45,I'm planning to be with her I recommend fucking  You're impossible  You brought it up My point!
46,"Good morning, Colonel Ludlow Tristan's hunting He didn't do it You don't have to worry about Tristan Meet John T and James O'Banion They own the mercantile store  Morning, James, John T, Sheriff  Morning, Alfred We're looking for a man we heard might be in this part of the country Name is Tom Cullen Here's a likeness What did this fella do?"
47,Do you recognize him?
48," Yeah, I recognize him  We got him This fellow passed by here maybe four or five years ago Did some work here on his way to San Francisco He was hoping to book passage to Australia Or Hong Kong I can't remember  Can you remember?"
49, Hong Kong  What is he wanted for?
50, He...
51,"That would be of a private nature ""Private nature""?"
