,dialog
0,Fixed & Synced by bozxphd. Enjoy The Flick.
1,He said four minutes precisely.
2,"Non, non, non."
3,Quickly.
4,"Two perfect eggs this time, no?"
5,Ah.
6,Hmm.
7,Maybe.
8,I blame the chicken.
9,Why do hens lay eggs of different sizes?
10,"It's not you, mon ami."
11,These are two perfectly good oeufs.
12,Mr. Poirot...
13,I've got three religions bent on riot.
14,"If you're going to perform one of your miracles, the time is now."
15,Have the eggs. Allonsy!
16,Poirot!
17,"Sorry for the, um..."
18,"It is not the, uh..."
19,It is the imbalance of the...
20,Right.
21,That's better.
22,Excuse me.
23,Coming through.
24,"Make way, please."
25,Excuse me.
26,Please call for the accused.
27,The rabbi...
28,the priest...
29,and the imam.
30,"It is like the old joke, yes?"
31,"The rabbi, the priest, and the imam."
32,"Forgive me, I am Belgian."
33,"So, let us begin."
34,In the Church of the Holy Sepulchre above us...
35,three representatives meet under the supervision...
36,of the Chief Inspector of Police to discuss a divided timetable for market use.
37,One hour after this tense meeting...
38,a priceless relic is found to be stolen.
39,"It is said, one of these three men has stolen it."
40,The police find no pieces of evidence at all.
41,I find one.
42,On the meticulously wellkept wall of a fresco...
43,a single crack from an indelicate climb...
44,with a hardsoled shoe or perhaps a boot.
45,"So, ladies and gentlemen, we must ask..."
46,who stands to benefit from the crime.
47,Our three holy men live humbly.
48,They're thinsoled shoes poor.
49,Sudden riches and rubies would be...
50,"too conspicuous, yes, to enjoy. They do not gain."
51,"At this point, we need an armed guard at the south gate."
52,Thank you very much.
53,"No, the only one..."
54,who benefits from the theft and the unrest it causes...
55,is a man whose office I had searched this morning...
56,"as I waited, I have to tell you, rather disappointedly upon my breakfast."
57,Difficulty with eggs.
58,You don't need to know this.
59,A man who is paid lavishly to keep order in Jerusalem.
60,"I mean, of course, the Chief Inspector of the Police."
61,A man who does not wish to lose a wellpaid post...
62,when there is discussion among the local peoples of selfgovernance...
63,"who does wear boots, and who, I believe, now does regret..."
64,inviting me to consult on this case.
65,How dare you accuse me!
66,"Please, Sergeant..."
67,did you search the office as I asked?
68,"Uh, yes, sir."
69,And did you find what I said you might?
70,"Uh, yes, sir."
71,Just as you said.
72,Merci.
73,Halt!
74,"You need to deliver that, Captain."
75,It should be through first thing in the morning.
76,"Very good, sir."
77,"Luggage is on board, sir."
78,I won the right to escort you to your boat.
79,"To Stamboul, then?"
80,Will you be back to London straight off?
81,"I am tired, and I have earned myself a little holiday."
82,I want to look at paintings and have too much time on my hands.
83,You are staring.
84,Does it stop?
85,It's just...
86,"How did you know it was him, sir?"
87,From just a tiny crack on the wall.
88,I have the advantage...
89,I can only see the world as it should be.
90,"And when it is not, the imperfection stands out..."
91,like the nose in the middle of a face.
92,It makes most of life unbearable.
93,But it is useful in the detection of crime.
94,But it's as though you see into their hearts and divine their true natures.
95,"And whatever people say, there is right, there is wrong."
96,There is nothing in between.
97,We must part here.
98,"Oh, no, sir, I'm to escort you on the ferry."
99,"Au revoir, mon capitaine."
100,We must never meet again.
101,"Could you straighten your tie, please? Just a little."
102,Yes.
103,That is perfect.
104,"Final passengers, please!"
105,"Oh, I'm sorry."
106,Will be fixed soon.
107,"But, will it be fixed in time?"
108,We are working!
109,I have a connection in Stamboul.
110,Leaves tomorrow at seven.
111,There's a very ill patient waiting for me in London.
112,I am a doctor.
113,Doctor.
114,I am a doctor.
115,"I am shouting at you in English, and now I'm doing it louder and slower."
116,"Very silly, forgive me."
117,May I help? Let me help.
118,I know your mustache.
119,From the papers.
120,"You're the detective, Hercules Poirot?"
121,Hercule Poirot. I do not slay the lions. Mademoiselle.
122,"Mary Debenham, monsieur."
123,I'll forget a name but never a face.
124,"Not yours, anyway."
125,You come from Baghdad?
126,It's true. No detail escapes his notice.
127,Your ticket.
128,Ah.
129,I might also ask you if you enjoyed your time there...
130,as a governess?
131,The chalk on your sleeve and the geography primer.
132,A governess or a cartographer.
133,I made my gamble.
134,I always begin them with geography...
135,and monster them till they have the world down cold.
136,They may get lost in life...
137,but I'll be damned if they don't know where they are.
138,"Well, our chains are free."
139,Right on time.
140,I feel so free out here on the water.
141,I wish I could enjoy it.
142,"We should be out of this, Mary."
143,Not now.
144,When it's all over.
145,When it's done.
146,"Then, nothing can touch us."
147,"Ah, my holiday begins here."
148,I can see the soul of the city in these humble breads.
149,"The world insists on destruction, yet here..."
150,masterpieces are baked to order every day.
151,Monsieur Poirot!
152,Mohammed!
153,"Mohammed, my friend..."
154,you are an artist.
155,Ah! My friend!
156,Sorry.
157,"Here. Come, come."
158,"Don't mind us, we're just looking for a place to have a private argument."
159,It should take some 20 minutes or so...
160,"at which point we will both come to an agreement, or at least I will."
161,Monsieur Bouc!
162,Poirot! In the kitchen?
163,"Well, of course, this man will sniff out a perfect pastry faster than he catches..."
164,a jewel thief.
165,Mon ami!
166,"Now, I am no longer a policeman."
167,"I cannot bail you out when this goes badly, eh?"
168,"This is my dear, old friend, the esteemed..."
169,"Poirot, who I knew before the esteem."
170,"Hercule Poirot, this is..."
171,A prostitute.
172,She is.
173,"I am. Bouc, you did not tell me you had famous friends."
174,We're friends because I'm the only person who never asks him...
175,"any questions about his cases, because I don't care."
176,And he never judges me for being a terrible person.
177,Indeed you are.
178,"Madame, Bouc, please join me for a drink, yes?"
179,You only have me for an hour.
180,"I ride on the Orient Express at seven, official director business."
181,Uncle pays me absurdly to stay onboard his gorgeous train...
182,and far away from him...
183,at the home office...
184,consigned to wine and dine handsome officials for all eternity.
185,There is an art to nepotism.
186,And you are its Michelangelo!
187,Mr. Poirot.
188,Are you a prostitute as well?
189,Certainly not.
190,Is this man bothering you?
191,He is about to.
192,You are from the British consulate.
193,"I am, sir."
194,It is the Kassner case.
195,"Why, yes."
196,I was correct in certain predictions?
197,Quite.
198,I do not need to read the telegram.
199,"Oh, how fun."
200,"Did someone cheat, or die?"
201,"Unfortunately, both."
202,Someone has...
203,interrupted my longing for rest.
204,"It appears that I must travel with you tonight, Bouc."
205,Can you find me a cabin on the Orient Express?
206,My friend...
207,"I may not be good for much, but I sure as hell can get you a bed on my train..."
208,in the dead of winter.
209,Three days...
210,"free of care, concern or crime. You will love it."
211,"Mademoiselle, it has been a pleasure. Sir."
212,Your luggage has been collected and your expenses paid.
213,You will be met at Calais...
214,"and then escorted to Dover, and then by rail to London Victoria."
215,I would like to formally express gratitude.
216,"Please, don't speak."
217,You make it worse.
218,"Here's a tip for you, pal."
219,"Thank you, Mr. Marquez."
220,I didn't even carry your luggage.
221,"Oh, I had a good week."
222,"We celebrate when fortune smiles, and we share the good fortune."
223,"Remember to say nice things about us Americans, huh?"
224,No!
225,"Hey, stop!"
226,"Monsieur, bonsoir."
227,"For you, Mr. Ratchett, the best table in the house."
228,"Just here, sir."
229,The very best table.
230,"No, I want that one."
231,"Hey, Masterman."
232,You got everything?
233,"Kind of you to inquire, Mr. MacQueen."
234,I do not make mistakes.
235,"Oh, my goodness!"
236,It's Count Andrenyi.
237,"Come, come, come."
238,I saw you dance at the Monte Cristo.
239,Could I take your photograph?
240,"Please, my face, no!"
241,Sorry.
242,The Simplon Orient Express...
243,"with stops in Sofia, NiÅ¡, Belgrade, Vinkovci, Brod..."
244,"with transfers to Bucharest, Zagreb, Trieste, Venezia, Milan, Lausanne..."
245,"Dijon, Paris, Boulogne, Calais..."
246,"with connection to Dover and London, leaves in fifteen minutes!"
247,"This way, Michel!"
248,Precious cargo.
249,I need a firstclass compartment.
250,"Give special care to my friend, Michel."
251,I want him pampered like a zoo panda.
252,"But Monsieur Bouc, we are fully booked."
253,There's no space left.
254,Then we make space.
255,He can have the number eleven.
256,The eleven is always kept open for official use.
257,It's very comfortable.
258,Eleven is taken.
259,The Austrian professor booked it two days ago.
260,There is not one firstclass sleeper car on the whole train?
261,"Negative, sir."
262,Secondclass?
263,There's no space left at all.
264,Mademoiselle Debenham.
265,"Mr. Poirot, are you joining us?"
266,It depends who wins this debate.
267,Have all the passengers arrived?
268,All but one. Mr. Harris.
269,"""All passengers must check in ""at least one half hour prior to time of departure..."
270,"""or their seat may be forfeit."" The half hour has passed."
271,The seat is forfeit.
272,Please take Monsieur Poirot's luggage to number three with Mr. MacQueen.
273,"Merci, Bouc."
274,"Enjoy, my friend."
275,"Welcome, sir."
276,Merci.
277,Number three is unlucky.
278,Oh!
279,"Apologies, madame."
280,I meant no disrespect.
281,"Well, you could try to mean a little."
282,"One thing about train travel, you're always knocking into somebody."
283,It's wonderful.
284,"Though, I am looking forward to getting back."
285,"Travel is fine for spicy food, mosques, meeting men."
286,"But eventually, you just miss your own bed."
287,I've been accused of husband hunting abroad.
288,"Well, I can't, in all honesty, deny it."
289,"I like my time alone, I do."
290,But a lady has certain needs that deserve to be met if she has any money...
291,"and preferably, on a regular basis."
292,Oh!
293,"Oh, my!"
294,Fire in the kitchen!
295,"Farewell, madame."
296,Good evening.
297,Bonsoir.
298,Number nine.
299,Good evening.
300,"Bonsoir, bonsoir."
301,How you doing?
302,Bonsoir.
303,Oh. Excusezmoi.
304,"No, after you."
305,"Merci, merci."
306,Ah number three.
307,You are Mr MacQueen?
308,Yeah. I think you might have the wrong berth.
309,Uh...
310,"Sorry, is there a problem sir?"
311,"No, no problem."
312,The train is full.
313,"I think that we are, how do you say... ""bunkies."" Really?"
314,I am equally disappointed in you. This is nice.
315,"Come along, darlings."
316,No.
317,No.
318,This?
319,Why am I not yet unpacked?
320,Five minutes to departure.
321,Final call for passengers!
322,Shall we brush you?
323,What the hell is taking them so long?
324,"Soon as we get out of here, have them make up the bed."
325,"It's already arranged, Mr. Ratchett."
326,"No, I want the bed made."
327,And bring my Dictaphone.
328,Dogs on the table.
329,Most disgusting thing I've ever seen in my life.
330,"Yes, sir."
331,I want you to get MacQueen...
332,and have him bring every receipt from the Milan sale.
333,I want you to get it done.
334,"Yes, sir."
335,I want you to get it done now.
336,Did I say get it done now?
337,"Right away, sir."
338,"""Better watch yourself."" Your coffee, Mr. Ratchett."
339,Who did this?
340,"I can't say, sir."
341,"Good evening, Mrs. Hubbard."
342,"Hello there, Mr. Masterman."
343,"Well, hello."
344,"Eyes linger any longer, I'll have to charge rent."
345,I'll pay.
346,Mmm. Have another drink.
347,Are you insulted?
348,Hmm. Disappointed.
349,Some men have a good look.
350,All they have to do is...
351,"keep their mouth shut, and they can take home any prize they want."
352,"Still, the mouth opens."
353,"Is everything all right, Mrs. Hubbard?"
354,"You have a strong intuition, I know."
355,My second husband used to say just so.
356,"Hold that, it was my first."
357,Yeah.
358,Brightest man I ever met.
359,"Face like a turnip, but I loved that turnip."
360,It was nice to talk.
361,Good night.
362,Monsieur Poirot?
363,"Entrez, Pierre Michel."
364,VoilÃ .
365,When you take supper...
366,I will move Monsieur MacQueen into Monsieur Bouc's compartment.
367,"You travel first class, monsieur."
368,"Ah, impeccable. Merci."
369,Bon appÃ©tit.
370,...and the eggs?
371,Good afternoon.
372,"Ah, Mrs. Hubbard."
373,Good afternoon.
374,There we are.
375,Compliments of the Orient Express.
376,"Thank you, Mr. Bouc."
377,I am here for all of your needs.
378,"No, thank you."
379,I do not drink.
380,It does not agree with you?
381,Sin does not agree with me.
382,Vice is where the devil finds his darlings.
383,We should no longer speak.
384,Good afternoon.
385,Monsieur.
386,How about a apÃ©ritif?
387,I regret I have an appointment with the director of the train.
388,He was gonna leave anyway.
389,"Please, sir."
390,"Madame, madame."
391,"Madame, madame."
392,All settled in?
393,"Ah, merci!"
394,As advertised.
395,"And yet, the best things on the train are not food."
396,You know there's something about...
397,"a tangle of strangers pressed together for days on end, with nothing in common..."
398,but the need to go from one place to another...
399,then never to see each other again.
400,Boredom plus anonymity plus a...
401,"constant, gentle rocking."
402,"With your hobbies, you will never amount to anything."
403,"God, I hope so."
404,Hmm.
405,Order me the fish.
406,"Um, exchange grouper for sole, escarole for the potato, and..."
407,the beef sauce for the veloutÃ©.
408,"GarÃ§on, that sounds superb."
409,The same for me.
410,The Princess Dragomiroff.
411,"You know, if I ever were to marry for money, I'd marry for that much money."
412,I brushed Dalia this morning.
413,"No, you tortured my darling doggy."
414,I asked you to brush her.
415,Are you still enjoying your Dickens?
416,"Very much, mon ami."
417,"You know, with your books and your capers, you are missing out on romance."
418,Romance never goes unpunished.
419,"There was, uh..."
420,There was someone once.
421,"I would prefer, in the future, to be sat not with that man."
422,Like should be seated with like.
423,We are not alike.
424,"Not all of us are so concerned with the separateness of races, Professor."
425,It is out of respect for all kinds that I prefer to keep them separate.
426,To mix your red wine and the white would be to ruin them both.
427,I like a good rosÃ©.
428,"Hey, how you doing?"
429,Would you mind...
430,if I joined you?
431,Dessert is an indulgence...
432,and I feel kinda silly and stupid indulging alone.
433,I am at my happiest alone.
434,But...
435,"for a small piece of your fragelitÃ©, please join me."
436,"Oh, with pleasure."
437,"Excuse me, another fork?"
438,"I've been trying to make your acquaintance, Mr. Poirot."
439,Merci.
440,I never ever sat so close to fame before.
441,"No, I tell a lie."
442,"Once, I was on a bus with Ty Cobb."
443,"Ball player, Detroit."
444,Ah.
445,Would you mind if I have the little curly bit at the top?
446,You're an odd bird there.
447,"You're a strange, peculiar man."
448,I am of an age where I know what I like and what I do not like.
449,"What I like, I enjoy enormously."
450,"What I dislike, I cannot abide."
451,"For instance, the temporary pleasantries before what is determined to be a business discussion."
452,You're fun.
453,All right.
454,I would like to offer you a job.
455,"""The avenger of the innocent."" It's what they call you in the papers."
456,And you are an innocent?
457,I'm a businessman.
458,I'm an art dealer.
459,"I mean, I'm new to it."
460,But my beginner's luck has panned out.
461,"Relics, antiquities."
462,"Rugs, weird. Orientals."
463,"I'm new to the game, so I got the amateur eyeball."
464,"But I got a little problem with these, uh..."
465,socalled appraisers.
466,You can't trust a one of 'em.
467,Some of my customers...
468,they buy a piece...
469,they find out that they're not exactly original...
470,which is hardly my fault...
471,if a Kashan silk scarf is a fake.
472,Right? Huh?
473,C'est bon.
474,"But I've managed to make a few enemies, is the thing."
475,"I got a few letters, people making threats."
476,"I think, most likely, it's the Italians."
477,I sold them a set of Oriental carpets in Milan.
478,And the buyers weren't so happy with the provenance.
479,"And they want their money back with interest, you know?"
480,Italians.
481,A guinea's a guinea.
482,And then comes along the genius detective.
483,Me?
484,"Yes, you. Hercules Poirot."
485,Hercule.
486,Um...
487,Here's what I'd like to do.
488,I would like to hire you to watch my back...
489,until I get someplace safe.
490,It's easy money for you.
491,"And it's peace of mind for me, you know?"
492,I understand.
493,Good.
494,I refuse.
495,I'm sorry? That's bad.
496,Maybe I didn't make myself clear enough.
497,"You see, someone's out to get me."
498,"And I know I'm not the best guy born, not by a long shot."
499,"And if there's a world after this one, I will face judgment just like you."
500,But...
501,I ain't in no goddamn rush to do it.
502,You're holding a gun on me?
503,No.
504,Not you. On the world.
505,I exist in the world.
506,Do not point a gun at me.
507,How's ten thousand sound for a week?
508,"It's a generous offer, Mr. Ratchett. I must decline."
509,Fifteen thousand?
510,You didn't hear me. I decline.
511,"Oh, I get it."
512,"It's not flashy enough for the great Hercules Poirot, huh?"
513,No flashbulbs...
514,You sell fakes to gangsters.
515,You're suffering the consequences.
516,I detect criminals.
517,I do not protect them.
518,"So you say ""no"" to my dirty money."
519,"I say ""no"" to you, Mr. Ratchett."
520,"Business with the gun, right?"
521,Is that what it was?
522,It is far more personal than that.
523,I do not like your face.
524,If you will excuse me.
525,"You liked my cake, didn't you?"
526,The cake was excellent.
527,"Have a pleasant afternoon, Mr. Ratchett."
528,Thank you.
529,Ooh! Cold.
530,Hmm.
531,Mysweet Katherine.
532,My love.
533,Mr. Dickens.
534,Mr. Ratchett?
535,Mr. Ratchett?
536,It's nothing.
537,Very good sir.
538,Good night.
539,Mrs. Hubbard?
540,It's always Mrs. Hubbard.
541,Mrs. Hubbard.
542,Did we die?
543,"Ladies and gentlemen, the train has been derailed."
544,"Are you all right, Mr. Marquez?"
545,I'm fine. Thank you.
546,You'll be safest in your cabins.
547,Mr. Bouc will speak to you all...
548,in the morning.
549,"Please, you will be safest in your cabins."
550,Of course.
551,Are we gonna die?
552,Oh...
553,MyKatherine.
554,Mybeautiful...
555,"Ladies and gentlemen, I am afraid that our train is still unable to go anywhere."
556,"Yeah, except down."
557,How long are we supposed to just sit here?
558,"Yes, someone must be doing something."
559,Of course I am doing something. I am doing nothing.
560,"Precisely two hours and ten minutes ago, when we did not arrive in Brod as scheduled..."
561,the station master will have surmised our situation...
562,and already dispatched a team to excavate the engine...
563,"clear our path, and send us on our way."
564,"Until then, I assure you..."
565,we will all be made warm and fed and comfortable.
566,We could walk.
567,We could die of exposure trying.
568,I have a connection to make.
569,My boat sails day after tomorrow from France.
570,"Without you, I'd wager."
571,Or me in London.
572,"I hold you accountable for my loss of time, Mr. Bouc."
573,"Madam, you cannot hold me accountable for the weather."
574,Of course I can.
575,You're the one here.
576,And my conference in Turin?
577,And I was to meet at the auto factory in Sochaux.
578,"Yes, some things, they are in God's hands."
579,It is not for us to say...
580,if we deserve to arrive safely at our destination...
581,"or if, like Lucifer, we must fall."
582,"Breakfast for you, Mr. Ratchett."
583,"Ah, Bonjour, Mr. Masterman."
584,There is a problem?
585,"I can't say, sir."
586,Mr. Ratchett?
587,Excuse me.
588,That is cold air.
589,"Please bring Monsieur Bouc immediately, and also Dr. Arbuthnot."
590,Good God!
591,"Touch nothing else, only the body."
592,"My God, this is horrible."
593,"First the snow, now..."
594,I'll have to meet with the police and make some statement in some grimy station.
595,And a man has died.
596,And a man has died.
597,He was stabbed.
598,"Long, straightedged knife."
599,"Multiple stab wounds, some shallow, some cut clean through muscle."
600,Lefthand side or righthand side?
601,That's the thing.
602,It appears the killer maybe closed his eyes and struck blind.
603,Can you estimate the time of death?
604,It's hard to say with the window open...
605,but my best guess is between midnight and 2:00.
606,But no one went in his compartment then.
607,I sat in my seat all night.
608,I would have seen if someone went in. It's impossible.
609,"Thank you, Doctor. Please, return to the dining car."
610,"Michel, secure this carriage."
611,Poirot.
612,"I need your help, my friend."
613,You have to find who did this.
614,"Please, I implore you, on behalf of the Orient Express."
615,"When the police arrive, we can present them with the case closed."
616,You are the only one who can save me.
617,"Your faith touches me, mon cher."
618,But I must have this rest.
619,"Well, think of it as a little beachside puzzle."
620,That's nothing to your mind!
621,You look up the antecedents of the passengers.
622,You establish their bona fides.
623,Then you do what you do.
624,You... You... You...
625,You sit in a chair and you eat your cake...
626,and you think until the solution presents itself.
627,What else are you going to do while we sit here in the snow?
628,"Without constant stimulation, your little gray cells will starve and die."
