,dialog
0,You`re starting to look old.
1,My dad`s been saying that to me since I was fifteen.
2,"Because nice Greek girls are supposed to do three things in life: marry Greek boys, make Greek babies and feed everyone..."
3,until the day we die.
4,"When I was growing up, I knew I was different."
5,The other girls were blonde and delicate.
6,And I was a swarthy 6 yearold with sideburns.
7,I so badly wanted to be like the popular girls...
8,"all sitting together, talking..."
9,eating their Wonderbread sandwiches...
10,What`s that?
11,lt`s ``moussaka``.
12,``Moosecaca``?
13,The pretty girls went to Brownie`s.
14,I had to go to Greek school.
15,"At Greek school, I learned valuable lessons like: ``If Nick has one goat, and Maria has nine, how soon will they marry?"
16,My mom was always cooking foods filled with warmth and wisdom.
17,And never forgetting that side dish of steaming hot guilt.
18,"Niko, don`t play with the food!"
19,"At your age, we didn`t have food."
20,Ma?
21,What?
22,Why do l have to go to Greek school?
23,"When you get married, don`t you want to write your motherinlaw?"
24,"Niko, come on, eat!"
25,We lived in a normal middleclass Chicago neighborhood...
26,of tasteful modest homes.
27,"Our house, however, was modeled after the Parthenon..."
28,complete with Corinthian columns and guarded by statues of the gods.
29,In case the neighbors had any doubts about our heritage...
30,they could just check out our subtle tribute to the Greek flag.
31,My dad believed in only two things: that Greeks should educate nonGreeks about being Greek...
32,"and that any illment, from psoriasis to poisonivy..."
33,could be cured with Windex.
34,"Six years later: I was 1 2, Athena, my older perfect sister, was 1 5..."
35,"and my brother Nick was 1 1. Every morning, my dad would lecture us..."
36,"on the history of our people, the great civilization: the Greeks."
37,"Now, name three things the Greeks did first."
38,"Astronomy, philosophy and democracy."
39,Bravo! Very good.
40,"Now, give me a word..."
41,"any word, and l`ll show you how the root of that word is Greek."
42,Okay?
43,How about arachnophobia?
44,"``Arachna``, that comes from the Greek word for ``spider``..."
45,"and ``phobia`` means ``fear``, so fear of spider. There you go."
46,"Okay, Mr. Portokalos."
47,How about the word ``kimono``?
48,"Kimono? Kimono, kimono..."
49,Of course! ``Kimono`` comes from the Greek word ``cheimonas``...
50,that means ``winter``.
51,"So, what do you wear in the winter time to stay warm? A robe."
52,"You see? Robe, kimono."
53,There you go.
54,Byebye.
55,"Goodbye, Mr. Portokalos."
56,Toula!
57,You should be proud to be Greek.
58,"Years went by, and dad brought his mother from Greece to live with us..."
59,because we weren`t weird enough.
60,"Listen up, ugly Turk."
61,You`re not kidnapping me.
62,Get her! Where is she going?
63,"Mama, please."
64,The Greeks and the Turks are friends now!
65,"We told my grandma that war was over, but she still slept with a knife."
66,Mama!
67,Stop hitting me!
68,"Niko, be careful!"
69,She has a very mean punch!
70,Mama!
71,"Please, come back!"
72,Nice Greek girls who don`t find a husband work in the family restaurant.
73,"So, here I am, day after day, year after year..."
74,"thirty, and way passed my expiration date."
75,lt`s freezing!
76,"Fortoula! You closed last night, you`re opening this morning."
77,l have no life.
78,"Ah, Toula, you talk to me sometime, uh?"
79,"Ma, you`re going to make me swallow my tongue."
80,Toula! ls Nikki here?
81,What`s up there?
82,"No, my Nikki."
83,She was supposed to come over to curl my hair.
84,"Nick, did you check the meat before you signed for it?"
85,Dad checked it.
86,lt`d better be fresh.
87,My brother has 2 jobs: to cook and to marry a Greek virgin.
88,"Voula, have something to eat before you go to work."
89,"If nagging was an Olympic sport, my aunt Voula would have a gold medal."
90,Taki. You couldn`t wait for me?
91,Sorry. Sorry.
92,``Sorry``. Don`t ``sorry`` me.
93,Look at this. Rash.
94,Somebody gave me the ``mati``.
95,Put some Windex on.
96,"Please, please!"
97,"Voula, this works!"
98,"Last night, my toe was as big as my face."
99,So why didn`t you wait for me?
100,Because... He wants to talk.
101,"Anyway, l tell her l will send her to Greece..."
102,...to find somebody.
103,"Say, is she not too old?"
104,She`s okay.
105,ln Greece...
106,...don`t tell anyone how old she is.
107,She won`t go!
108,She won`t go?
109,lt`s like she doesn`t want to marry.
110,"Come on, we`re going to see uncle Nick."
111,My sister married young and became a Greek baby breeding machine.
112,Look at those!
113,Quick coffee. l`ll drop the boys off at hockey and then go to the Jewel.
114,Pantyhose are on for 99 cents.
115,"The priest is coming to bless the new house, so l have to make ``diples``."
116,Can you believe it? l`m out of honey. Put that back for me.
117,Angelo...
118,"Shut up, Nikki!"
119,My cousins have two volumes: loud and louder.
120,"Thanks, Toula."
121,We`re not that late.
122,"Oh, Angelo, my boy!"
123,"Nikki, how come you didn`t come to curl my hair this morning?"
124,"Ma, l had to drop Dimos at work."
125,And now l gotta go to the travel agency...
126,because some jagoff and his bigass girlfriend are too busy.
127,l open the drycleaners every day.
