,dialog
0,highschool football is a way of life.
1,It's bigger than Christmas Day.
2,My daddy coached in Alexandria.
3,He worked so hard. my mama left him.
4,But I stayed with Coach.
5,He needed me on that field.
6,Up until 197 1. in Alexandria there was no race mixing.
7,Then the school board forced us to integrate.
8,They combined the white school and the black school into one.
9,called T. C. Williams High School.
10,That summer. a black teenager was killed by a white store owner.
11,and the city was on the verge of exploding.
12, You've caused enough damage.
13, This is my store.
14,Move left! Move left!
15,"Hut, hut!"
16,"Come on, Kurt. Don't let Ray back you down like that. You're twice his size!"
17,"Oh! What are they doing? If they keep on playing like that, we'll lose every game!"
18,I didn't think that was so bad.
19,"That's good, Gerry."
20,I can see you've been working.
21,"Thanks a lot, Coach. Um, listen, with the schools integrating and all, some of the guys are worried about losing their starting positions."
22,That's something that we're gonna have to figure out.
23,"But you don't worry about that now, you just keep at it, all right?"
24,"Yes, Coach."
25,Guys! Guys! It's coming down.
26,It's coming down at the store!
27,They wanna burn the place up 'cause that colored kid got shot.
28,"Come on, man, let's go."
29, Hey!
30," Come on, guys!"
31,Hey!
32, Coach.
33," Just get Sheryl to the school now, Herb."
34,Burn it down! Burn it down!
35, Whoo!
36," Hey, that's my car!"
37,Get in the truck.
38,"Gerry, Alan, Ray, if you ever wanna play for me again, get in the truck, now."
39,"You boys are gonna cool off, come to my office, help me finish packing my things."
40,"Gerry, son, your heart's in the right place, but you oughta know better than to embarrass the coach like that."
41,"Hell, why don't you just kick 'em all off the team?"
42,I don't wanna play with any of those black animals. What? I see him.
43,Who are you?
44,I'm Herman Boone.
45,I'm the new assistant coach.
46,"Well, from the looks of things I'd say we got about all the help we need around here."
47,"Why ain't you outside there with all your little friends, hollering?"
48,This was the time that was arranged for me to meet with Coach Yoast.
49, I never miss an appointment.
50," Well, maybe, um..."
51,Maybe you just better reschedule.
52,"Coach Boone, the school board made the decision to put you on my staff."
53, I did not hire you.
54," Well, I came up here to coach at G.W."
55,I didn't ask the schools to redistrict.
56,"I didn't ask to be assigned to your staff, so I guess we're both in a situation we don't want to be in."
57,"But I can guarantee you this, Coach."
58,I come to win.
59,Win? Coach Yoast has been nominated to the Virginia High School Hall of Fame.
60,"Well, I won a couple titles down in North Carolina."
61,That's doubleA ball.
62,"This here's Virginia, we play tripleA."
63,What an opportunity for me then...
64,to learn...
65,...from the best.
66,(* ''I Heard it Through the Grapevine'' by Marvin Gaye)  Are those people the movers?
67, No. Looks like they're moving in here.
68,"Lord, how many of them are there?"
69,"Only takes one, then we're gonna be overrun by 'em."
70,"Mommy, where you taking my teddy bear?"
71,"Come on, y'all."
72,"Oh, hoho."
73,Where is everybody?
74,"Nicky, yes."
75,"Look there, here comes some more of 'em."
76,"Well, that's Dr. Day, that negro from the school board. What's he doing here?"
77,"It's not fair, my daddy's head coach."
78,This is gonna be his Hall of Fame year.
79,You're gonna take that away from him?
80,No one is trying to take away your daddy's future place in the Hall.
81,"But the school board has decided that negro, Herman Boone, is gonna be the head coach at T.C."
82,You can't just walk in here and take my daddy's job away!
83,"That is enough, Sheryl."
84,That's enough.
85, Sheryl!
86, Oh!
87,It's all right.
88,I feel the same way.
89,It's those agitators and racemixers I feel like taking a swat at.
90,Troublemakers in the Berg are ready to put a torch to the city.
91,You want us to burn up like Watts?
92,Every head coach in the system is white.
93,We had to give them something.
94,"It's the world we live in, God help us all."
95,"I believe in the seniority system, Dr. Day."
96,Coach Yoast has done a fine job with his program.
97, Job should be his.
98, Under ordinary conditions it would be.
99,But we are living in an extraordinary time.
100,I left North Carolina because I was passed over for a job that I had rightfully earned.
101,"Gave it to a white coach down there, couldn't even tie up his own football cleats."
102,Now you are asking me to do the same thing to this man? I can't do that.
103, Herman?
104,Folks in Carolina say you marched with Dr. King.
105,Say you stood toetotoe with the Klan.
106, Said you're a race man.
107, That's right. I'm also a family man.
108,"Coach Boone, black folks have never had anything in this city to call their own except humiliation and despair."
