,dialog
0,"Ticket, please."
1,"Ticket, please."
2,"Ticket, miss."
3,Have a good trip.
4,Excuse me.
5,Is this seat taken?
6,No.
7,I love ballet.
8,"Now, I never had the body for it."
9,"Hey, you dance?"
10,I used to.
11,I've got something for you.
12,"It's for love, not luck."
13,"Because you don't need luck, you dance like an angel."
14,Mom.
15,You're the best luck I'll ever have.
16,Are you okay?
17,I kept messing up these pirouettes.
18,"It's really frustrating, but it'll be okay."
19,My mom's going to be there.
20,She's going to drive me.
21,"You've nothing to worry about, you're going to do absolutely fine."
22,You're the best dancer in Lemont.
23,"Lindsay, this is not Lemont."
24,"This is Juilliard, New York City."
25, Do you want to pray?
26, What?
27,You're leaving for St. Louis. I'm not gonna see you. We should pray.
28, Lindsay...
29," Father, S.J. auditions today, let herdo okay."
30,"We've got the Carson wedding, the Dankowski party, two funerals and Jill calls in sick today, of all days."
31,"Sara, I'm sorry. I have to handle this, there isn't anybody else."
32," Mom, what about..."
33, Glynn? Do they want roses in this?
34, It doesn't say what color mums.
35," Judy took that order, ask her."
36,"Mom? This is the hardest, most important day of my life."
37,You have to be there.
38,You promised.
39,I know.
40," Excuse me, are you Sara Johnson?"
41, Yes.
42,You're next.
43,"I'll be there, I promise, before you audition."
44,Is there anything you would like to share with us...
45,about your contemporary piece before you begin?
46,"No, it's pretty selfexplanatory."
47,Did you have a good ride?
48,I slept through most of it.
49,I guess you got stuff.
50,Baggage?
51,Three suitcases.
52,One big one.
53,Sorry I had to split so soon after the funeral.
54,"If I could have gotten out of that gig in South Bend, I would have hung around a lot longer."
55,Guess it was pretty tough leaving all your friends.
56,Here we are.
57,Put 'em anywhere.
58,Give you the grand tour.
59,"It's not much of what you're used to, but the water's hot and the mice are friendly."
60,Bathroom.
61,"Kitchen, big kitchen."
62,This is where I sleep.
63,Didn't get a chance to make the bed today.
64,Where do I sleep?
65,Nixon was probably in offiice...
66,"when they rolled this off the assembly line, but, there's a brandnew mattress in there."
67,Most of your clothes should fit in here.
68,Whatever's left over can put in the hall closet.
69,"I know it's a little bit out in the open, but..."
70,I didn't get a chance to fiinish your room here.
71,"Yeah, I'll fiix that."
72,It's a work in progress.
73,I'll have it up and running in no time.
74,A few minor adjustments.
75,"Well, I guess I'll let you get unpacked."
76,You don't have to come in with me...
77, since I'm allset.
78," I'm your father, I'm supposed to."
79,"You don't know where to go, who to see."
80,"It's okay. I mean, I have done this before, gone to school."
81,"All right, well, this is the name they gave me."
82,"""Mrs. Gwynn."
83,"Main offiice."" I'llbe back to pick you up at 3..30."
84,"Okay, sure."
85,Whatever.
86," Hey, look at the white girl."
87," Wass up, baby?"
88,"My door is always open. And contrary to hall rumor, you can talk to me."
89,Do you have any questions or concerns?
90,"No questions, no answers."
91,"All right. This is Mr. Campbell's class, and he's expecting you."
92,Truman Capote. In Cold Blood...
93,represents a complete turning point in American history...
94,and American literature...
95,"You want to tell us why, Mr. Ricard?"
96,Gay rights.
97, The Compote dude who wrote it...
98, Capote.
99, Capote?
100, Capote.
101,"Sweet tooth. Straightup fag, Mr. C. I'm serious."
102,Flaming.
103,Thank you very much. We can now promote you up to kindergarten.
104,Anybody else?
105,"Once, twice."
106,"Miss Johnson, I apologize if any of this is over your head, but if you see me after class, I'll give you some chapters."
107,Anybody?
108,Come on.
109,It's a nonfiction novel.
110,Capote mixed true events...
111,with things that he couldn't know so he made them up.
112,He created a new genre.
113,White folks back then felt safe.
114,Capote scared them.
115,He took hardcore crime out of the ghetto...
116,"and placed it in America's backyard, that's what makes the book special."
117," Yeah, that's part of it."
118, That's all of it.
119, We got a debate going on now.
120, Capote wasn't the fiirst.
121,"Richard Wright, James Baldwin did the same thing."
122,"Wasn't nobody trying to read them, though."
123,A lot of people read them.
124,A lot of people like who?
125,You?
126, Didn't think so.
127, Mr. C? Mr. C?
128, Yeah?
129, Your girl needs to bone up.
130,I think you need to give her a pass to the library.
131,"We need to get a parentteacher's conference, something going on."
132,Why don't you lend her yours?
133,"'Cause obviously, you don't ever use it."
134,"Yo, Latrice, Mr.Jackson's civics class?"
135,You will have a pop quiz.
136,"It's mad hard, aight?"
137,Aight.
138,That's how easy it is to give to charity around here.
139,Thanks.
140,Don't put your shit on the floor.
141,I'm...
142,"So, here I am trying to study, right?"
143,"And he's crying and crying, I can't get anything done..."
144,"Yo, where were you in math class? Man..."
145,It was so hard.
146,"I left it blank, the whole thing."
147,"For real. And if you had been there, I'd of had my notes from yesterday."
148,"I know you're new to the table, but just look at this, we are the 2K generation..."
149,and no one takes us seriously.
150,"We don't even take ourselves seriously. And just look around, half the student body is DOA, and that's from the neck up, Clara."
151,Sara. It's Sara.
152,"Yeah, it's Sara."
153,You finished?
154,Yes.
155, Thank you so much.
156, No problem.
157,"You need to watch where you sit, girl."
158,Don't ever let me catch you at that table again. And it's Chenille.
159,"Put your tray down here, and let me introduce you..."
160,to some oft he ladies that I roll with.
161,Come on.
162,"Hold up, hold up, hold up."
163,"Girls, this is Sara."
164,"Sara, this is Portia and Tanisha."
165,And this is Diggy.
166, She thinks she's down.
167," Excuse me? I am down, okay."
168," Yeah, whatever."
169, You said you knew how to play.
170,"Girl, that earring is fresh as hell, did it hurt?"
171,"Stick a pin through your eye brow,  see if it hurts."
172, Ass hole.
173,Who? 'Cause in this crowd you're going to have to be more specifiic.
174,The guy sitting by the window with the blue sweater.
175,He's in my English class.
176,He think she's so smart and so cute.
177, Derek Reynolds?
178, So you know him?
179,"Hell, yeah, I know him."
180,He's my brother.
181,"Well, he's not an asshole, per se..."
182,"Forget about it, girl."
183,It's all right.
184,Don't even sweat it.
185," Yo, Derek. Hey, yo."
186," Hey, man."
187,Medicine man.
188,"What's up, Kai? Man, baby, I was just asking about you, and I got a little emotional too about you being back and all."
189,"Man, sit your punk ass down, fool."
190,"Matter offact, step your ass off."
191,Give us some space.
192,"Man, why we... Everybody's got a piece in the hook."
193,"You look good, man."
194,Who you stealing from? Nice jacket.
195,"What's up, man?"
196,How'd it go with Mrs. Gwynn?
197,"Bullshit. ""You're a smart boy, you can learn from your mistakes."" ""I'm here for you."" Yeah, she's there for me, all right."
198,"But you're hangin' in, though."
199,You feeling strong?
200,Strong about what? First week back at home sweet high school?
201,You enlisted in this shit.
202,I'm drafted.
203,Judge said finish school or finish your sentence.
204,Like they both ain't But a year here is better than another one served up at juvee.
205, At least we got chicks in here.
206," Yeah, man."
207," I'll check you later, man."
208," All right, man."
209,See this honey.
210,"Hey, Sara."
211,"Come in here a minute, will you?"
212,You've been working a while in there.
213,You must be getting hungry.
214,What do you say? Look...
215,"""Swanson Hungry Man Dinners."" They're the best."
216,"Look, got everystyle."
217,"Animal, vegetable, or mineral?"
218,I had a big lunch.
219,"All right, well..."
220,they're in here if you change your mind.
221,Unless your plan is to starve yourself to death.
222,It's not a plan. I just don't eat when I'm not hungry.
223, Mom never let me eat that stuff.
224, Okay.
225,Hey...
226,Listen...
