,dialog
0,The only thing I ever knew was cotton.
1,It was hard work.
2,"Now, you know cotton is ready when the bud splits, and the boll is starshaped, like a big ol' star in the sky."
3,Or like your big ol' head.
4,"Hold on, is that some cotton?"
5,Is that cotton?
6,"But I didn't mind,  'cause I got to spend all day working with my daddy."
7," Hurry, take this picture."
8, Take a picture of y'all.
9,Why don't everybody smile?
10,Teeth.
11,"Hattie, come on, I need your help in the shed."
12,Come on.
13, Pa... where he taking Ma?
14, Get back to work.
15,"Cecil, come back here, boy."
16,Mama!
17,Come here.
18,"Look at me, boy."
19,Don't you lose your temper with that man.
20,This his world.
21,We just living in it.
22,You hear me?
23,"Now, get on back to work."
24,"Pa, what you gonna do?"
25,Hey.
26, Dad!
27,"Oh, my Lord."
28,Who you looking at?! Huh?
29,Who wants to go next?!
30,You get back to work.
31,"Hey, you. Get some of the hands to help dig a hole for his pa."
32,Hurry up!
33,Stop crying.
34,I'm gonna have you in the house now.
35,I'm gonna teach you how to be a house nigger.
36, He's coming.
37, Yes'm.
38,And quiet when you're serving.
39,I don't even want to hear you breathe.
40,"Yes, ma'am."
41,The room should feel empty when you're in it.
42,It was much nicer working in the house than in the field.
43,"Crazy nigger, from the left."
44,Give me more.
45,Hmm.
46,"When I got older, I knew I had to go before he killed me, too."
47,Part of me was scared to leave.
48,It was the only world I ever knew.
49,"Ma, I took Pa's watch."
50,Ma?
51,"Ma, I'm leaving."
52,My mama never spoke much after that.
53,"I knew she'd miss me,  but I also knew she wanted me to leave that place."
54,"And even though Miss Annabeth never said it,  I knew she'd miss me, too."
55,I don't think God meant for people to not have a family.
56,Outside the cotton fields was even worse than I thought it would be.
57,No one would give me a job nor food nor a place to sleep.
58,Any white man could kill any of us at any time and not be punished for it.
59,The law wasn't on our side.
60,The law was against us.
61,I was hungry all the time.
62,"You know what can happen to you, son?"
63,Get up.
64,"I said, get up."
65,I'm gonna have to lie to the boss man about that window.
66,The good Lord say we ain't supposed to lie.
67,"Sorry, sir."
68,Where's your ma and your pa?
69,"My ma crazy in the head, and my pa got killed."
70,I'll make you some ham sandwiches and send you on your way.
71,The boss will be here in a minute.
72,Sunday's our busiest morning.
73,You looking for some help?
74,I know how to serve.
75,"You done broke our window, you done stole our food, and now you asking for a job?"
76,"Back in Macon, I'm a house nigger, a good one."
77,"Don't you ever use that word, son."
78,That's the white man's word.
79,It's filled With hate.
80,Didn't your father ever teach you any better?
81, Slow down.
82," Yes, sir."
83,You got to look through their eyes.
84,See what it is they want.
85, Got it?
86, Strokes.
87," Yeah, I got it."
88, Here.
89,See what it is they need.
90,Right this way.
91,Anticipate.
92,"I'm sorry. I'm sorry, ma'am."
93,Bring a smile to the eyes...
94,...of your principal.
95,Perfect. Perfect.
96,Don't forget to save me them chitlins.
97, Why you like chitlins so much?
98, 'Cause they're good eating.
99,"The manager of Excelsior, in DC, he came by yesterday."
100,He offered me a job as a butler.
101,"He must be paying you top dollar, huh, boss?"
102,Yeah.
103,"I was thinking about taking it, but I don't know."
104,I'm too old to be leaving North Carolina.
105,I'm just fine right here.
106,I told him to hire you.
107,I'm just now finding my way around this hotel.
108,"Ain't ready for all them highfalutin white people, all their fancy words."
109,"ours, and the ones that we got to show the white folks."
110,"Now, to get up in the world, you have to make them feel nonthreatened."
111,"Use that, them fancy words that I've taught you."
112,"White folks up north, they like some uppity coloreds."
113,Yeah.
114,"I took that job up in Washington, DC."
115,It was the most beautiful hotel I'd ever seen.
116,I hope it wasn't too presumptuous of me to have prepared a few spirits after your long journey here from Buffalo.
117,The best decision that court ever made was to slow this whole mess down.
118,Nigger boys in school with white girls.
119,Who ever heard of such a thing?
120,"Next thing you know, they'd be fornicating."
121,"Gentlemen, this here is different."
122,We could start another Civil War.
123,"Cecil, what do you think about niggers going to school with white children?"
124,"To be honest with you, Mr. Jenkins, I tend to not be too concerned with American or European politics."
125,"Nor should you, Cecil."
126,They're all criminals.
127,Earl Warren should be shot and hanged.
128,That dumb sonofabitch judge is trying to integrate our schools.
129,I think Judge Warren is going to find that quite challenging.
130,"Damn right, Cecil. Damn right."
131,Never in my life did I dream I'd work in a place as fancy as this.
132,I never dreamed my life could be so good.
133,Gloria and I met working at the Excelsior.
134,"She was a maid at the hotel,  but now her only job was raising our two boys."
135,I made sure that they never laid eyes on a cotton field.
136, I got to pee.
137, Not today. Don't try that.
138, Finish that homework.
139, Where Louis at?
140, He's taking the trash out.
141, Working late again?
142, How was your shift?
143, Beats working for a living.
144,"I miss you at night, honey."
145,Didn't you say you got to pee?
146,"Go on, then."
147,"Wash your hands when you come out of that bathroom, boy."
148, Good morning.
149, Good morning.
150,"Good morning, sir."
151,Mmhm.
152," Hey, Dad."
153," Hey, Louis."
154, You all right?
155," Yeah, I'm fine."
156, Good.
157," That woman whose son got killed, she's around doing speeches now."
158,"What's her name, honey?"
159, Mamie Till.
160, Mamie...
161,Mamie Till. Mm.
162,"I remember that story just like it was yesterday, even though it was three years ago."
163,It was a disdamngrace what they did to that boy.
164,Just for looking at a white woman.
165,"Beat him up, threw his body in the river, killed him."
166,He wasn't no older than Louis.
167,He was 14 at the time.
168, Crazy white folks down South.
169," Thanks, Ma."
170,"At least we got it a little better in DC, huh?"
171,"Still treating us bad, too."
172,"Get on down here, Charlie!"
173,Wash your hands.
174,Louis said we should stop taking the white man's shit.
175, Hey.
176, Shut up.
177, Watch your mouth.
178, Watch your mouth.
179,"Hello, Gaines' residence."
180,"Uh, yeah. Hold on, Mr. Kidgan."
181," It's the boss man, Dad."
182, What's he calling for?
183,"When the white man call, I always assume the worst."
184,"Yes, sir?"
185,I would have put money on it that I was getting laid off or something that day.
186," Would you follow me, please?"
187," Yes, sir."
188,I'm Cecil Gaines.
189, It's a pleasure to meet you.
190," You, as well."
191,Have a seat.
192,"Are you political, Mr. Gaines?"
193," No, sir."
194, Good.
195,We have no tolerance for politics at the White House.
196, How'd you find me?
197, I didn't.
198,You served R.D. Warner at the Excelsior Hotel.
199,He oversees operations for the entire White House.
200, You made quite an impression.
201, I don't recall.
202,Mr. Warner and myself make note of potential staff around town.
203,"Butler positions rarely open, as most stay on for 30 years or more."
204,I know I was quite surprised when I got the call.
205,"It was a surprise for me, as well."
206,"As the White House mątre d', I normally hire the butler."
207,"Forgive me for saying this, Mr. Fallows."
208,I certainly wouldn't want to be hired under circumstances that would make you feel uncomfortable.
209,"Oh, really?"
210,"You need butlers that you've handpicked, men to your liking that will fulfill your vision of a proper White House staff."
211,Hmm.
212,Is that... Louis XIII?
213,These decanters are replicas of metal flasks that were found on the battlefield in Jarnac.
214,Correct?
215,"The Italians, they know their wines, and the Irish, they certainly know how to make a great whiskey."
216,But I believe the French have a distinct advantage when it comes to Cognac.
217,C'est vrai?
218,"Yeah, you'll make a good house nigger."
219,Would you care for a demitasse?
220,Sometimes it just be me and Faye up in here.
221,"Me, Faye and a little scotch."
222,Have a good time.
223,That's how you do it.
224,"You know how to throw a bash, girl."
225,What did you do to this potato salad?
226,I'll tell you what I did.
227,"I put some dill in it, because I read in Woman's Day, where pickles drown out the flavor and dill bring up the flavor."
228, That's what you tasting right now.
229, OK. Yeah.
230, I like it.
231," Make a difference, don't it?"
232,It really does.
233,"Girl, you must be so proud of Cecil."
234,You know he got that job hisself.
235,"The White House called him,  he didn't call the White House."
236, He's a good man.
237, You got a good man.
238," She's fun, man!"
239,Not like this one right here.
240,OI' sourpuss.
241, You still mad at me?
242, I got reason.
243,"No, you don't. I told you, I went down to the numbers spot, played my little numbers, got me some barbecue, and then I went down..."
244,I didn't even get nothing to drink!
245,"I am so... I'm so sick of these numbers spot stories, Howard."
246,How you expect me to believe you was down at the numbers spot?
247,Whether you believe it or not don't mean it ain't true.
248," Come on, stop this mess."
249, You want to do this right now?
250,"Come on, y'all."
251,"Come on, come on, come on."
252,"You don't believe it, you don't have to believe it, but..."
253," Come on, y'all."
254, Such a shuckster.
255, You really want to do this right now?
256, Stop this right now.
257,You need to pick on somebody your own size.
258,"We are here to celebrate, so y'all could be nice just one time."
259,You heard the lady.
260,"Come on, get over here, let's celebrate!"
261,Celebrate.
262,"That's why I was out, trying to make you happy."
263, Y'all need to get a room.
264, What? What?
265,Ain't that the truth?
266,Or something.
267,He drives me crazy. He just... Ugh!
268,"You ain't, uh..."
269,You want to come to the room with us?
270,No.
271," Hey, where the boys at?"
272, They upstairs in the back room.
273,Boys! Get on down here!
274,I need to see your face now!
275, What y'all doing up there?
276," Yes, congratulations."
277,"Honey, when you gonna take me to the White House?"
278,"You want to go to the White House, baby?"
279,You know I want to go to the White House.
280,When you want to go?
281, Don't play with me now...
282, When you want to go?
283,"The White House, now that's a big step up."
284, Ooh!
285," Yeah, it's exciting."
286,"Girl, you up in that house now!"
287,I want to hear all the stories.
288,"I don't know how many stories you gonna hear, 'cause they done swore him to some kind of secret code,  and he can't tell me nothing."
289," No. Girl, you give it to him right."
290, Mmhm! He'll tell you everything.
291, That's the key right there.
292,You listening?
293, Did you hear her?
294, Who you been giving it to?
295,"Well, if you was at home, I could be giving it to you."
296,I don't know what you talking about.
297,"Boys, y'all better bring y'all little narrow butts down here!"
298, Here they come.
299, Called y'all 19 times.
300,"Boys, stop running through this house."
301,You know better than that.
302,Elroy! Get over here.
303,Come here.
304,Give me some money.
305,Nah. Tell them... Tell them what you gonna be when you grow up.
306,I want to work at the White House just like Mr. Gaines.
307," Ah, that's my boy."
308, Right there.
309,"All right, man."
310,Louis! What you gonna be when you grow up?
311,You gonna work at the White House like your daddy?
312, I don't know.
313, I'll tell you one thing.
314,I knew exactly what I wanted to be when I was 13.
315,"Yeah, a number runner."
316,I'm Cecil Gaines.
317,I'm the new butler.
318,"Yes, sir."
319,There are 16 fulltime maids.
320,"We have six butlers, four carpenters, two painters,  seven electricians, three dishwashers, three doormen,  a full kitchen staff, including pastry chef and three fulltime calligraphers."
321,"Two painters, seven electricians, nine engineers..."
322,Here comes Warner.
323,"Uh, Mr. Warner, wanted to thank you for the opportunity to work in the White House..."
324,Come on. Here we go.
325,"Ma'am, I'm Cecil Gaines."
326,I'll be working with you here.
327,"Mr. Gaines, please don't do that."
328, Come on.
329," Yes, sir."
330,"Now, when lifting a plate, never scrape the bottom."
331,Never listen or react to conversation.
332, The room should feel as...
333, Empty when I'm in it.
334,So then she says...
335,"Then she says, ""Stick..."" ""OK."" Then she starts screaming and yells, ""Stick your whole hand in!"" So I put my whole hand in."
336,"Then she yells out, ""Put both hands in!"" ""OK!"" Then she screams, ""Now clap!"" I say, ""I can't."" She looks up, smiles and says, ""See, I told you my..."" That ain't funny."
337,"Hey, there he is!"
338,Heard you were coming.
339, What's your name?
340, Cecil.
341, Cecil Gaines.
342, That ain't funny.
343,"I'm Carter Wilson, head butler."
344,Don't worry about Big Mo behind you.
345,That brother will steal your wallet before you even knew it.
346,"This brother in the mirror over here, his name's James Holloway."
347, He's my second in command.
348, James.
349,Jackie Robinson or Willie Mays?
350,Why don't you shake the man's hand first before you start asking difficult questions like that?
351,I just want to know where the man's coming from.
352,"Look like the jury's still out on that one, right?"
353,Welcome.
354,Fancy Freddie give you the tour yet?
355,He did.
356,Is the Dodgers still... still losing?
357,I might be able to answer that question if Carter over here stop running his nasty mouth.
