,dialog
0,"http://subscene.com/u/659433 Improved by: @Ivandrofly <font color""808080"">(INAUDIBLE DIALOGUE)</font> <font color""808080"">(DOGS BARKING)</font> <font color""804040"">KLAUS</font>: Katie!"
1,Cora!
2,"<font color""804040"">MAN</font>: You love your sister?"
3,"You make any noise, you know what happens."
4,"<font color""808080"">(INDISTINCT TALKING ON RADIO)</font> <font color""808080"">(TURNS OFF RADIO)</font> <font color""808080"">(WATER RUNNING)</font> Good morning, Estelle."
5," <font color""804040"">OLD MAN</font>: How am I looking, Paul?"
6, That's better. That's better.
7,"<font color""808080"">(CHATTERING)</font> <font color""804040"">HECTOR</font>: Morning, Mr. Edgecomb."
8,Some Danish this morning?
9,"No, just two pieces of dry toast, Hector. Thanks."
10,Leftover's fine.
11," Dry and cold, same as always."
12, Cold is better.
13,Hmm.
14,Especially on those long walks.
15,Am I right?
16,Don't let Nurse Godzilla catch you.
17,She'll raise holy hell.
18,We're not supposed to let you wander off.
19,Where do you go every day?
20,What do you do up in those hills?
21,Just walk.
22,I like to walk.
23,"You try not to fall down, bust a hip."
24,I don't wanna be in no damn search party.
25,"<font color""808080"">(THUNDER RUMBLES)</font> <font color""804040"">WOMAN 1</font>: You want this man constantly in your life?"
26,Explain the moral basis of that.
27,"<font color""804040"">WOMAN 2</font>: I've made mistakes."
28,Tony doesn't admit that he's not a good father.
29,She can't ask nothing. You can't ask nothing. I have six kids myself.
30,Why do we always watch this stuff?
31,It's interesting.
32,Interesting?
33,Bunch of inbred trailer trash?
34,All they ever talk about is fucking.
35,"<font color""804040"">WOMAN 1</font>: Ain't no way in this green earth..."
36,I'd have a father like that.
37,If what you saying is true...
38,"No, I'm talking now. I'm talking now."
39,What kind of a mother are you?
40,"<font color""804040"">WOMAN 3</font>: One that causes people more..."
41,"<font color""804040"">MAN 1</font>: Is going to let you try the bodystrider..."
42,You're dead!
43,You can't come back!
44,"<font color""804040"">MAN 2</font>: It's back. The Popeil Pocket Fisherman."
45,"<font color""804040"">WOMAN 4</font>: Take my husband, take my kids..."
46, Are you all right?
47, Hmm?
48,You look tired. You're not yourself.
49,"No, I'm fine. I promise."
50,"You're wearing yourself out with those walks every day, I think."
51,Not that you asked me.
52,"I just didn't sleep well, is all."
53,I had a few bad dreams. It happens.
54,I'll be fine.
55,"<font color""808080"">(SINGING AND WHOOPING)</font> If Madge doesn't care, I certainly don't."
56,Neither do I.
57,"Now, this here is won'th a look."
58,"<font color""804040"">JERRY</font>: I'm in heaven."
59,And my heart beats so That I can hardly speak.
60,And I seem to find.
61,The happiness I seek.
62,When we're out together Dancing cheek to cheek.
63,Heaven I'm in heaven.
64,And the cares that hung around me.
65,Through the week.
66,Seem to vanish.
67,"Like a gambler's lucky streak <font color""808080"">(PAUL SNIFFLES)</font> Paul, what is it?"
68,"<font color""808080"">(SOBBING)</font> My God."
69,I've got to get out of here.
70,"<font color""808080"">(THUNDER CRASHES)</font> I guess sometimes the past just catches up with you..."
71,whether you want it to or not.
72,It's silly.
73,Was it the film?
74,"It was, wasrt it?"
75,"I haven't spoken of these things for a long time, Ellie."
76,Over 60 years.
77,"Paul, I'm your friend."
78,I ever tell you that I was a prison guard during the Depression?
79,You've mentioned it.
80,Did I mention that I was in charge of death row?
81,That I supervised all the executions?
82,"Usually, death row is called ""The Last Mile."" We called ours ""The Green Mile."" The floor was the color of faded limes."
83,We had the electric chair.
84,"""Old Sparky,"" we called it."
85,"Oh, I've lived a lot of years, Ellie..."
86,"but 1935, that takes the prize."
87,"That year, I had..."
88,the worst urinary infection of my life.
89,It was...
