,dialog
0,Subtitles by explosiveskull I got him.
1,"Please, let go!"
2,Please!
3,Please!
4,"Please, please, please, please don't do this."
5,Please!
6,No!
7,"Please, don't!"
8,"No, no, please ."
9,"No, no!"
10,"The gray wolf is a rare sight to see in the wild, their numbers are decreasing, but it is still one of the most elegant predators in the world."
11,"As a predator, the gray wolf is known for its unmatched ferocity."
12,"In seconds, the wolf can go from a calm state to a vicious beast, it won't rest until it's overcome its opponent."
13,"How you doin', bud?"
14, Like a million bucks.
15,Where's Mom and Reese?
16,"They went home a few hours ago, they wanted to be here when you woke up, but Mom had an appointment this morning."
17,"Morning, Kyle."
18,Glad to see you're awake.
19,"How's he doing, doc?"
20,"Well, let's find out."
21,Everything's as we expected.
22,So how long do I have to be in here?
23,"We still have to run a few tests, so we'll have to wait and see."
24,"I'm sorry, I wish I had better news to give you."
25," Yeah, me too."
26,I wanna get out of here for a while.
27,"Kyle, are you gonna be okay?"
28,"I'll be all right, tell everyone I was okay."
29,I'll walk you out.
30,I take it you got my message?
31,Yeah.
32,Your wife?
33,I thought it best that I knew what was going on before I told her.
34,All right.
35,"We've been able to make some progress, but it's still getting worse."
36,What are our options?
37, That's what I wanted to talk to you and your wife about.
38,Kyle is past the point of traditional treatments.
39,"There is, however, an experimental drug we can try."
40,So what's the catch?
41,Your insurance.
42,Insurance?
43,They're gonna cover this.
44,I'm sorry.
45,You're gonna tell me where you got this right now.
46,"Mom, don't worry about it."
47,What's going on?
48,Look at what I found in Reese's room.
49,"Reese, you tell me where you got this right now."
50,"I, I've been saving it up."
51,Don't lie to me.
52,"You stole it, didn't you?"
53,"No, Mom, I didn't steal it."
54,Then how did you get this much money?
55,"Don't look at your dad for help, just answer the question."
56,"Kate, I gave him the money, okay?"
57,What?
58,He said he needed it.
59,I gave it to him.
60,"You really don't take anything seriously, do you?"
61,"Oh, look, Kate."
62,"I'm sorry, Dad."
63,You can take the money back.
64,"No, that's okay, you're keeping that money."
65,Kate.
66,Kate.
67,"Look, I know I should've  told you about the money."
68,You shouldn't have gave it to him in the first place.
69,"Dean, what were you thinking?"
70,That our son deserves to have a little extra.
71,You know we never do.
72,I had a little extra cash.
73,"No, he wanted it, he didn't need it."
74,Do you have any idea what he's gonna spend that much money on?
75,No.
76,"Kyle is in the hospital, we can barely afford to put food on our table, and you just give away money like that?"
77,I had a little extra.
78,There is no such thing as extra for us right now.
79,You can't give away money that we don't have.
80,"If you do have extra money, that goes to stuff we need around here."
81,You're gonna take it all back.
82,Why are you being such a...
83,"What, a bitch?"
84,I didn't say that.
85,"Well, I am a bitch."
86,"And let me tell you something, I have to be a bitch to keep this family together."
87,"You think I wanted to raise my kids this way, having to fight and scrounge for every last dollar?"
88,"And in the face of it all we can be thrown out on the street, I find out my husband isn't supporting me or this family."
89,I'm doing the best I can to support us!
90,Clearly you're doing the best you can!
91,You know this is gonna crush him.
92,I know.
93,I didn't say he didn't deserve it.
94,We just cannot afford it right now.
95,We're still a couple hundred dollars short this month.
96,"If you give me that, you can get him whatever you want."
97,Reese.
98,I'm gonna have to hold on to that money.
99,Knew Mom would screw this up!
100,Reese!
101,Come out!
102,How's it goin' man?
103,So what you got for me?
104,So I have a helmet.
105,All right.
106,Let's check it out.
107,"Yeah, it's in good condition, I mean."
108,Yeah.
109,I'll give you 150 for it.
110,Really?
111,Yeah.
112,This is an authentic army helmet.
113,"Yeah, where'd you get it?"
114,It was my brother's.
115,"Okay, did he ever make it overseas?"
116,They all go overseas at some point.
117,"Yeah, did he make it back?"
118,I need $300 for the helmet.
119,"Yeah, uh, listen man, do you know of any army surplus stores around here?"
120,No.
121,"All right then, that makes the buyer's market, I'm the buyer, I'm saying you're only gettin' 150 for this."
122,"All right, Dean, Charlie's on vacation this week, so I want you to work the game tonight."
123,"Now they've got the entire service themselves, you know the rules, don't speak unless spoken to, and don't make eye contact."
124,You got it?
125,"You better, Dean."
126,"I shouldn't have to tell you this, but if you screw up out there, you're gone."
127,"So, I'm at the office today, fired us some prick."
128,He's not going down without a fight.
129,Nice.
130,"So did he scream, or just yell?"
131,"No, he was kinda weird about it."
132,"I called him into the office, break the news, and he's just standing there, not saying a damn thing, like a statue."
133,So what you do next?
134,"Well, the guy goes the leave and he turns to me and asks me how I sleep at night."
135,"I said, look, I'm runnin' a business here, I'm not a charity."
136,"I bet he didn't like that, did he?"
137,"No, , he didn't."
138,"So I said, look, you did a good job here, but the economy is not what it used to be."
139,"Then he has the nerve to talk to me about how much I'm makin', in my own damn  company."
140,"I give him a little bit of free advice, I said, look, nobody's gonna take care you but yourself, it don't matter if you're making a mil a year or six bucks an hour."
141,Gotta do what you gotta do to survive.
142,"Have a good night, Dean."
143,Price is 200.
144,I just sold this to you for 150 earlier today.
145,"Yeah, you sold it to me, you didn't pawn it, and that means that I say the price to get it back is 200."
146,"This is the last thing I have of my brother's, he died in Iraq, 2008."
147,It's touching.
148,Price is still 200.
149,Fine.
150,Keep it.
151,"Reese, Reese."
152,"   Yeah, Dad?"
153,"Hey, bud."
154,Got this back for ya.
155,But what about Mom?
156,Just don't let her catch you.
157,Okay.
158,Okay?
159,"You know she loves you, right?"
160,I know.
161,Okay.
162,Sleep tight.
163,Hey.
164,Got some money.
165,"Yeah, I'll just leave it over to my window."
166,Cool.
167,Where'd you get all this money?
168,Work.
169,How'd you get this much from work?
170,You really wanna fight about something else?
171,"No, I don't wanna fight at all, I just, I just wanna know what we're doing here."
172,Taking it day by day.
173,Like we always have.
174,"You can see where that's gotten us, Dean."
175,I don't want our kids to grow up in trailers for the rest of their lives.
176,"Look, I don't want our kids to grow up in trailers either, but I'm doing the best I can."
177,Are you?
178,Are you really doing the best you can?
179,Well what exactly is it that you've been doing?
180,What?
181,Do you think there's jobs out there that'll pay good money for a guy like me?
182,"I've looked, there's nothing there."
183,"Well, I'll just add up to the list of things that you can't do."
184,Just stop!
185,"Getting fired from your last job, working in a bar, washing out of the army."
186,   Shut the hell up!
187,I'm tired of you always starting the shit!
188,Fine!
189,"I went to the army and washed out, I couldn't even make it through basic boot camp."
190,I'm a loser!
191,I'm a piece of shit loser!
192,"That's what you wanted to hear, right?"
193,"Oh, oh Reese, oh God!"
194,Let me see.
195,"Oh, you're gonna need stitches, come here, come here, let's go."
196,Let's get your shoes.
197,Should go in here.
198,You can't leave.
199,Yeah.
200,Aw.
201,"   Check it out, bro."
202,"Woah, bet there was a lot of blood."
203,"Yeah, I did get 15 stitches."
204,"Didn't cry, did ya?"
205,Of course not.
206,"Hey, I have something for you."
207,What?
208,"Oh, thanks bro, where'd you get it?"
209,From one of the kids down the street.
210,I finally had enough money for it.
211,Where'd you get the money for it?
212,I have my tricks.
213,Dad?
214,Yeah.
215,Just don't tell him.
216,Okay.
217,"Hey, so where's Dad?"
218,"Well, he's back at the house."
219,Will he be coming tonight?
220,"Um, I don't think so."
221,I'm sorry that I hurt my foot.
222,"Hey, you know that we can't afford this kind of stuff?"
223,Hey!
224,"Hey, don't talk like that."
225,It's not your fault.
226,It's nobody's fault.
227,Just life sometimes and it does not mean that I don't love you or your dad.
228,It just means you need to try a little harder.
229,"Everything is gonna be okay, I promise."
230,"So, is that what the money was for?"
231,"If you want, I'll just give it right back."
232,No way!
233,Got any songs on it yet?
234,"No, not yet."
235,I think that we can download some for free on the Internet.
236,"Cool, what are we gonna download first?"
237,"I don't know, let's find out."
238,"Yeah, I'm seeing some old ones."
239,Nice.
240,"Old, hey, what do you mean, old?"
241,"Ah, oh, I mean the ones that were, you listened to."
242,"Thanks, yeah!  I'm just joking, Mom."
243,"Good morning, Dad."
244, Okay.
245," Hi, bud."
246,Good night.
247,Hey.
248,Hi.
249,I'm sorry about...
250,"No, look, me too."
251,"Kate, I have something I need to tell you."
252,"What is it, Dean?"
253,"Apparently the insurance for Kyle's medical bills are just, they're not gonna cover him anymore."
254,They're all gonna fall on us.
255,What do you mean?
256,We can't afford that.
257,They have to cover him!
258,"I'm not sure, but we're gonna figure this out."
259,"Look, I will do whatever it takes, we're not gonna let our son die."
260,I don't know what to do.
261,"Kate, look, Kate, look, I love you, I have always loved you, I'm not gonna let this tear our family apart."
262," Just have faith and believe, and we will get through this."
263,Okay?
264,"I love you, Kate."
265,"I love you, too."
266,"Been a long night, guys."
267,I'm all in.
268,"Well, I'm out."
269,"I'll call you on it, see what you got."
270,Dean.
271,You need to empty your pockets for me.
272,Get in the car.
273,No.
274,Wasn't a question.
275,Come with me.
276,He doesn't like to be kept waiting.
277,Drink?
278,I like to make my guests their drink personal.
279,So what's it gonna be?
280,You the guy that busted me at the bar?
281,Didn't take a bunch of rich pricks to notice you've taken a few hundred dollars are down in the .
282,"Name is Sam, by the way."
283,You're Dean.
284,How'd you know my name?
285,I know everything about you.
286,"Wasn't hard to figure out, really."
287,"Now Dean, don't make me ask again."
288,I'm good.
289,What's the best drink you've ever had in life?
290,"Really, I'm fine."
291,"Tell you what, give you something I know you've never had before."
292,It's called Louis XIII .
293," Bet you never even heard of this stuff before, haven't you?"
294,No.
295,Didn't think so (drink splashes in glass).
296,This glass here (glass thuds on table) probably cost more than you make in a month.
297,"This bottle alone, 75,013."
298,Damn good stuff.
299,"Wouldn't want to waste a drink from a $13,000 bottle, would you?"
300,"Tell me, Dean, why are you here?"
301,You tell me.
302,I think you know exactly why you're here.
303,"Well, at first I thought you brought me here to kill me."
304, Let's not get too far ahead of ourselves.
305,Have a couple of questions for you.
306,Why'd you do it?
307,I don't owe you anything.
308,"No, I think you do."
309,"Well if you have me so figured out, it should be easy."
310,"A sick kid in the hospital, another kid and a wife at home, in this economy."
311,Hear that.
312,This nation's been hurting.
313,Lord knows I had to cut back.
314,"I could sense it in you the first time I saw you, could see the desperation."
315,"See, I like a desperate man."
316,"Most men are predictable, but the desperate man, you never can tell how he's gonna act."
317,"Well, it's not like I have piles of money laying around like some people."
318,I have real life problems to deal with.
