,dialog
0,film reel rolls ominous music crickets chirping Subtitles by explosiveskull www.OpenSubtitles.org whispers Clare.
1,Darling.
2,Clare.
3,"Wake up, love."
4,"Little birds, little birds Sleep, sleep Little birds, little birds Sleep, sleep bushes rustling Sleep, sleep By the wall outside, by the wall outside bushes rustling Sleep, sleep By the wall outside, by the wall outside Don't use so much glaze."
5,You'll burn the meat.
6,Do you want to poison our guests?
7,"Stand up straight, you girl!"
8,"And you, you fat Miss Molly your shoes look like they're dipped in shit!"
9,Eyes front!
10,I wanna see my face in those!
11,"If you cunts are not back here tonight lookin' like the belle of the fuckin' ball I'll make you wish you were never born, understood?"
12,"Yes, sergeant!"
13,"Company, shoulder arms!"
14,Fall out!
15,"They'll be like nuns in church, lieutenant. You have my word."
16,Polish your boots and brush your coat.
17,You look like shite yourself.
18,"Yes, sir!"
19,It's near perfect.
20,"Company, shoulder arms!"
21,"horse whinnies Company, general salute!"
22,Present arms!
23,Shoulder arms!
24,indistinct chatter We are honored to welcome Captain Goodwin to our post.
25,"We trust your visit here will be a fruitful one, captain."
26,To start the evenin' off I'd like to call on our little nightingale to sing a good old British love song for all us homesick lads.
27,applause whistling laughter fiddle music âª As I went walking one morning in May âª âª I met a young couple âª âª So fondly did stray âª âª And one was a young maid so sweet and so fair âª âª And the other was a soldier and a brave grenadier âª âª And they kissed so sweet and comforting âª âª As they clung to each other âª âª They went arm in arm along the road âª âª Like sister and brother âª âª They went arm in arm along the road âª âª Till they came to a stream âª âª And they both sat down together love âª âª To hear the nightingale sing âªâª indistinct chatter laughing Fuckin' hell!
28," She likes you, Wallace!"
29, Keep it down!
30,"May I, sir?"
31,What's happened to His Lordship?
32,Jago's taken him to look at the sentries.
33,Then he's off to bed.
34, Doesn't drink.
35, Doesn't drink?
36,"I bet he likes it up the windward passage, that one."
37,Bloody sodomite.
38,"Go and find his nibs, will you?"
39,Make sure he's happy.
40,I'm off to Bedfordshire myself.
41,Got a full day of arsekissing tomorrow.
42,Close the door.
43,Come here.
44,"I can't do that, sir."
45,scoffs It's alright.
46,For your singin'.
47,And this one..
48,...I got in Hobart especially for you.
49,You'll insult me if you don't take it.
50,Sing a song.
51,Just for me.
52,"âª As I went awalkin'... âªâª Oh, not that one."
53,The one for me.
54,"âª I wish my love was a butterfly âª âª I'd light on my love's breast âª âª Or if I was a blue cuckoo âª âª I'd sing my love to rest âª âª Or if I was a blackbird âª âª I'd sing till the daylight clear âª âª I'd sit and sing âª âª For you my love âª âª For I have loved you dear âªâª God, you're beautiful."
55,Every man in that room wanted you tonight.
56,Sit on my lap.
57,"Sir, my letter of recommendation sir, it's due three months ago now."
58,I'll send it when I'm ready.
59,"I'm meant to be in the care of my husband now, sir."
60,It's the law.
61,"""It's the law,"" cried the thief."
62,Didn't I rescue you from that hellhole of a prison?
63,"They warned me you'd be too much trouble. I took you on, anyway."
64,You'd still be there if it weren't for me.
65,"I'm very grateful for that, sir."
66,I let you marry the Irishman.
67,Got you your own hut.
68,Not good enough for Her Highness?
69,"I'm very grateful to you, sir."
70,I even got you your own horse.
71,No other convict in the district's got their own horse.
72,"Aidan worked for that horse for three years, sir."
73,He paid for it himself.
74,Ungrateful!
75,"Oh, here it comes. This is the part where she cries."
76,"sobs I'm sorry, sir. I'm sorry."
77,I decide when you leave and when you stay.
78,Stop cryin'.
79,"You're doing this deliberately, with the captain here."
80," No, sir, I'm not."
81," Yes, you are."
82,You're doing it deliberately to get at me.
83,"I shouldn't have said nothing, sir."
84,I'm so sorry.
85,I'll leave you be.
86,Come here!
87,"Please don't, sir!"
88,I need to get my baby.
89,"Please don't, no. No!"
90,sobbing Shut it.
91,screams breathing heavily birdsong gunshot laughter Fix your sleeve.
92,knock on door Lieutenant.
93,Captain.
94,"Out you go, miss."
95,Your soldiers have been firing off their guns for no reason.
96,"They do that, sir, to ward off the blacks."
97,"They were rotten drunk and firing at the night sky, lieutenant."
98,baby crying Finally.
99,Some of us are living the high life while I take care of their screaming babies!
100,You can take that dress off.
101,"You're a convict, not royalty."
102,"I'm taking it off now, damn you!"
103,I beg your pardon?
104,You can start on the boilers before dawn.
105,metal clanking Aidan.
106,Aidan!
107,"Can we go, love?"
108,And the little bird was so frightened.
109,She thought she was going to die out there in the forest all alone.
110,She called out in her sweet baby voice to see if her ma could hear her.
111,Her voice was so pure it carried for miles through the trees.
112,And suddenly out of nowhere..
113,...her ma came flying down and scooped her up in her breast.
114,And the little baby bird chirped with delight.
115,She held on tight through the trees till they came to a beautiful place where she and her ma and da could all live happily together.
116,The sun shone brightly and the air was clear.
117,She was home.
118,She was free.
119,And what did he say?
120, He'll send it when he's ready.
121, Christ's sake!
122,I'm demandin' it first thing in the mornin'.
123,"No, you can't order him to do anything. It won't work."
124,"He owes you your ticket, Clare."
125,You've served your time and then some.
126, What's that mark?
127, What?
128, There's another on your neck.
129, I fell.
130,Did he hurt you?
131,I'll kill him if he hurt you!
132,"Stop it will you, you fool."
133,I fell and hit my head on the stove.
134,We're leavin' tonight.
135,No.
136,We can go somewhere no one'll find us.
137,"We have a few coins saved, we'll work it out."
138,Aidan...
139,if I got caught without a ticket I'd be sent straight back to that prison and I'd lose you both.
140,I cannot do that.
141,It'd kill me.
142,He's heading up north soon...
143,we'll have to follow.
144,Do you want that?
145,Do you want to be chained to him forever Clare?
146,I'm meant to be looking after you now.
147,I'll ask him myself tomorrow.
148,I promise...
149,I won't lose my temper.
150,"I'll be the nicest, most politest man..."
151,who ever lived.
152,Alright?
153,"Alright, me missus?"
154,I love you Clare Carroll.
155,You're my life.
156,ravens cawing indistinct chatter indistinct chatter laughter What are you made of? Come on.
157," I can't, sergeant."
158, Drink. Drink. Drink.
159,Drink. Drink. Drink. Drink.
160,"Don't waste it, son."
161,"Salutations, lieutenant."
162,You've done well.
163,"Not long now, we'll be calling you captain."
164,What a bloody rigmarole.
165,Won't be bendin' over for the likes of him when I'm captain.
166,"gasps What? Give me a slice, sir!"
167,"I'm sorry, sir."
168,"I'm so... I'm sorry, I'm sorry."
169,"I'm sorry, I'm sorry."
170,I've had too much.
171,"laughter You've had five soldiers flogged and in the clink already, sergeant."
172,Do you want the rest of them in there?
173,"Get to bed, you tosspots!"
174,Don't drain the dregs.
175,Just get!
176,clamoring indistinct singing  Have you been drinking?
177, I'm just gonna talk to him.
178,No!
179,indistinct chatter Let her go.
180, Beg yours?
181, I asked you nice this mornin'.
182,Now I'm tellin' you.
183,Let her go.
184,"Hey, hey, hey, hey."
185,Watch your mouth.
186,"Well, let him speak."
187,She's been askin' for three months.
188,Every week you say you're gonna send the letter and every week you don't.
189,Why won't you let her go?
190,"Aidan, please. Aidan."
191,She's paid her dues and so have I.
192,Is that right?
193,She's my wife.
194,And she's my property so I'll do what I want with her.
195,"laughing Please, love."
196,Just walk away now.
197,No!
198,"grunts grunts groans In your office, lieutenant."
199,"What the hell were you thinking, fightin' an officer?"
200,Do you wanna ruin us?
201,"He's a troublemaker, sir, he and his wife."
202,And what is she to you?
203,"Nothin', captain."
204,Do you think I'm an idiot?
205,No.
206,The lieutenant governor finds moral indiscretion in his officers abhorrent.
207,I agree.
208,I don't tolerate any indiscretions.
209,I've spent enough time here now.
210,Noted your conduct and that of your soldiers.
211,I'm afraid I can't recommend you for the captaincy up north.
212,But I was told by the lieutenant colonel himself that he would put me forward to Major Bexley.
213,Pending my recommendation.
214,And I'm afraid I can't recommend you.
215,"Sir, I took on this post with the promise it would be one year."
216,"Three years later, I'm still here."
217,I've been handed the sorriest band of soldiers that ever sullied the British Army and still I've had consistent results.
218,"I've civilized the land got rid of the blacks, made it safe..."
219,"No one owes you anything, lieutenant!"
220,"There is no officer in this colony who's put in more work than me, no one who knows it better."
221,If an officer can't even control the convict detritus that surrounds him how on earth could he command a bigger post up north?
222,I've a long trip back.
223,"I'll travel north to Launceston, see Major Bexley meself and apply for the position in person."
224,If you insist.
225,"The post will be filled in four to five days, I'd say."
226,Four to five days?
227,"Well, no other officer knows the colony better than you."
228,Why don't you take your nag and ride up?
229,It's nigh on impossible to get a horse up that way from here.
230,Then take some men and walk it.
231,Fuck!
232,Fuck!
233,We're headed up north to Launceston first thing through the interior.
234,scoffs What?
235,Isn't that dangerous?
236,"Yes, it's fucking dangerous, you fatheaded lobcock!"
237,"But we're not ready yet, sir."
238,I haven't handed things over to the corporal.
239,"We don't have any supplies, no black tracker."
240,"Then get us ready, Ruse."
241,Do something useful for once.
242,Drink up. We're paying a visit.
243,I don't have a good feeling about this.
244,What else?
245,"I lose my ticket, go back to the pen, and you're left alone with him?"
246,"I'd rather us face the wild, take our chances."
247,It's freezing for her out there.
248,You remember how to pack this?
249,Where will we go?
250,Doesn't matter.
251,Away from here.
252,Let me feed her first.
253,She's starving.
254,"Alright, quickly."
255,"Shh, shh."
256,footsteps approach baby wailing Shh.
257,Going somewhere?
258,We don't want no trouble.
259,"That's just the way, isn't it?"
260,"You don't want trouble, but sometimes trouble wants you."
261, We're very sorry.
262, Not you!
263,baby crying Him.
264,Apologize.
265,I'm sorry.
266,No!
267,baby wailing No!
268,"Aidan, no!"
269,"baby wailing What, are you gonna shoot me now, you Irish cunt?"
270,You're nothing but the shit on my shoe.
271,"He's drunk, sir. He's very sorry for what he did. We both are."
272,"She's a beauty, your wife."
273,I've enjoyed her greatly.
274,laughs Did she not tell you?
275,"Oh, we've been fucking like mad since she pushed that brat out."
276,sobbing She loves it too.
277,Got the scratches on my back to prove it.
278,"Don't listen to him, love."
279,She begged me for it.
280,Says I'm the best she's ever had.
281,Get your hands off her!
282,You want to see how she likes it?
283,No. Aidan!
284,screams I'll fucking kill you!
285,No!
286,baby wailing screams No!
287,grunts I'll fucking kill you!
288, I'll fucking kill you!
289, No!
290, No!
291," Please, stop!"
292, No!
293, No!
294, Please!
295," Alright, I'm sorry!"
296,"I'm sorry! I'm sorry, please!"
297,screams  No!
298, No.
299,screams No!
300,No!
301,No!
302,You fuckin' snake!
303,sobbing No!
304,No!
305,I'll kill you!!!
306,I'll kill you!!!
307,baby wailing Help me!
308,groans grunting gunshot sobbing wailing You've wanted to try it.
309,So try it.
310,No!
311,No! My baby!
312,No! No!
313,No!
314,No!
315,moans crying baby wailing Shut it up.
316, No!
317," Shh, shh, shh."
318,She won't shut up. Hey.
319," Shh, shh."
320, My baby!
321," Be quiet, be quiet."
322," Shut it up, will ya?"
323, No!
324," Shh. Hey, be quiet."
325,No!
326,"Please, please, be quiet."
327, No! No! My baby!
328," Shut up, please. Shut up!"
329,She won't shut up.
330,"Please, please, be quiet!"
331, Shut it up or I will!
332, No!
333,No! No!
334,screams  Will you shut it up?
335," Please, shut up!"
336,Shut up! Shut up!
337, Do it now!
338, No!
339,"thud moaning You ruined it, Jago, you dolt."
340,We'll have to finish it.
341,What do you mean?
342,"Her, it."
343,No. I... I can't.
344,What are you made of?
345,Finish it.
346,Finish it!
347,instrumental music gasps sobbing screams No!
348,"What's wrong, love?"
349,"sobs Oh, no, no! Oh, dear."
350,You were meant to be here at sunup.
351,Where is he?
352,What have you done to the babe?
353,Where is the lieutenant?
354,Where is he?
355,He left at dawn with the sergeant and the young ensign.
356,To go where?
357, I don't have to tell...
358, To go where?
359,To Launceston.
360,"To take up that new post, he said."
361,They were goin' overland.
362,"sobs Clare, wait!"
363,Did your husband do this?
364,"No, damn you, I told you!"
365,Watch your mouth.
366,My husband is lying dead in a shack murdered by your officers.
367,You want me to take the word of a woman convict over that of an officer?
368,This is my word.
369,This is my proof!
370,Are you going to help me or not?
371,"I can write up a report, send it to Hobart."
372,Go to hell!
373,"Don't go in there, Luddy."
374,You don't need to see.
375,You coming with me?
376,I'm going after them.
377,I've only just got me ticket meself.
378,They'll put me back where I come from away from Luddy.
379,I can't.
380,Aidan would have died for you.
381,"Are you gonna leave him in a cold, dark grave while his murderers are free to do as they please?"
382," He was my friend, too, Clare."
383, Clare..
384, And we loved the little one.
385, Please.
386,I want you to bury them under that tree.
387,Put her in his arms so she's safe.
388,"Clare, what are you doing?"
389,Say a prayer.
390,Bless them for me.
391," Clare, you can't just.."
392," Please, Clare."
393,"Clare, wait!"
394," Don't go, love."
395, Stop!
396,"Stop! Whoa, whoa. Whoa."
397,What in Christ's name are you doing?
398,You don't even know where you're going!
399, I'll follow the paths.
400, What are you talking about?
401,It's murderous out there.
402,You'll die in a day!
403,Should I stay home and do needlework?
404,It's a fucking wilderness.
405,"At least take a guide, for God's sake."
406,There's a guide that I work with.
407,He's smart and knows the land.
408,"Those black ones, they know the way..."
409,I'm not traveling with a black.
410,End up in a pot of someone's dinner.
411,What are you trying to do to me?
412,"Clare, please."
413,I can't let you go out there on your own.
414,I couldn't live with meself.
415,barking Boy!
416,Fuck off!
417,Billy.
418,Billy!
419,I've got a job for ya.
420,Them soldiers come here already.
421,I told them to bugger off.
422,Uncle Charlie go with them instead.
423,I'm not helping you white bastards no more.
424, You never pay.
425, The job's for me.
426,I'm not workin' for no bloody white woman.
427,I'll give you two shilling.
428,One now and one when you get me to the soldiers that came by this morning.
429,You don't have two shillin'.
430,I'll cash this jewelry for the rest.
431,If you kill me before the job's done you won't find anyone who'll take these for coin.
432,So don't even think about it.
433,I seen you..
434,...at the boss bastard's house.
435, Where's your baby?
436, I don't have no baby.
437, What happened to your face?
438, Do you want the job or not?
439,My husband's traveling with those men.
440,"You get me to my husband, then take us both to Launceston."
441,"Alone, no soldiers."
442,I don't want no trouble.
443," For God's sake, boy."
444," Wait, wait."
445,"You give me one shilling now, we go tomorrow."
446,You take me now or I'll find someone who will.
447,You're not taking that horse with you. Too slow.
448, She's coming with us.
449, Then I'm taking the dogs.
450,No dogs!
451,Bloody dangerous riding with that.
452, Blow your head off.
453, You need to move.
454,"Move, boy!"
455,"Wait, will ya? Wait!"
456,"Go the wrong way, if you want."
457,Them soldiers went this way.
458," What's with that face, ensign?"
459," Sorry, lieutenant?"
460,You've been looking like a scared little girl all day.
461, Drop it.
462," Yes, sir."
463,"Move, ya cunts!"
464,"Good choice, Ruse. A skeleton, a simpleton and a midget."
465, Well done.
466," I had no choice, sir."
467,All the other convicts are off finishing the bridge.
468, We'd be faster without 'em.
469," All respect, sir."
470,"I can shine your boots, make a fire, fetch your water and run faster and work harder than them old farts."
471,"It appears the midget has some balls, lieutenant."
472,baby crying gunshot There they go! Did you see?
473, That's my black.
474, What do you mean yours?
475,"He's my guide, you fool!"
476,Are you soft in the head?
477,You're traveling alone with that?
478,"I've lost him now, thanks to you."
479,Them savages lit that fire.
480,They killed our sheep.
481,"They would have killed the wife and young'uns, too if we didn't come home early."
482,"Oh. Are you mad, woman?"
483,You cannot go out there on your own!
484,"There's a war on, you know."
485,"Aye, well, your funeral!"
486,flies buzzing rustling gasps Jesus Christ Almighty!
487,Don't sneak up on me like that.
488,What you gonna do?
489,Shoot me or hang me?
490,"Our people cleared that land so we could hunt, get food."
491,"Be quiet, boy."
492,Then you white devils come put sheeps on it.
493,Told us to get off our land.
494,Now we got no food.
495,You kill us.
496,I heard enough.
497,Damn you.
498,You get what you deserve.
