,dialog
0,That's your Uncle Ethan!
1,"Welcome home, Ethan."
2,You ain't much bigger than when I last saw you!
3,I'm Deborah.
4,There's Lucy over there.
5,And you're Lucy?
6,"Yeah, I'm Lucy. I'm mighty glad to see you, Uncle Ethan."
7,"She's got a fella. Kisses him, too!"
8,Go on with Lucy and help with supper.
9,"Deborah, you too!"
10,I was just gonna ask Uncle Ethan what he's gonna do with his saber.
11,"Well, I kind of figured to give it to you."
12,"Thanks. Thanks, Uncle Ethan."
13,How was California?
14,California? How should I know?
15,"Well, Mose Harper told us Mose Harper?"
16,Is that old goat still creekin' around?
17,Why doesn't somebody bury him?
18,"No, I ain't been to California."
19,I don't intend to go either.
20,Supper will be ready as soon as you wash up.
21,Let me take your coat.
22,"Welcome home, Ethan."
23,"Thanks, Aaron."
24,"Marty, it's Uncle Ethan!"
25,"Debbie, sit down."
26,"Good evening, Uncle Ethan."
27,"Welcome home, sir."
28,It's Martin. Martin Pawley.
29,"I'm sorry for bein' late, Aunt Martha."
30,A fella could mistake you for a halfbreed.
31,"Not quite, I'm an eighth Cherokee and the rest Welsh and English."
32,Least that's what they tell me.
33,"Go on, son."
34,It was Ethan who found you squallin' under a sage clump...
35,...after your folks had been massacred.
36,It just happened to be me.
37,No need to make more of it.
38,"Thank you, Lucy."
39,"Good night, Aunt Martha."
40,"Good night, Martin."
41,Uncle Aaron.
42,"Good night, Martin."
43,"Good night, Uncle Ethan."
44,Good night.
45,"Good night, Ma. 'Night, Pa."
46,"Uncle Ethan, will you tell us about the war?"
47,"The war ended three years ago, boy."
48,It did? So why didn't you come home before now?
49,"Ben, go on with Martin. March!"
50,Lucy's wearing the gold locket you gave her when she was a little girl.
51,She doesn't wear it much on account of it makes her neck green.
52,"Well, it does!"
53,"But, I wouldn't care if you gave me a gold locket..."
54,...if it made my neck green or not.
55,A gold locket!
56,"Lucy, where are my saddlebags?"
57,Look at my gold locket!
58,"Oh, it is pretty."
59,"Ethan, I think she's too young Oh, let her have it."
60,It doesn't amount to much.
61,"To bed, young lady!"
62,"Yes, Daddy."
63,I passed the Todd place comin' in.
64,What happened?
65,"He gave up, quit, went back to chopping cotton."
66,So did the Jamisons.
67,Without Martha....
68,She just wouldn't let a man quit.
69,"Ethan, I saw it in you before the war."
70,You wanted to clear out.
71,You stayed beyond any real reason. Why?
72,Are you asking me to clear out now?
73,"You're my brother, Ethan."
74,You're welcome to stay here as long as you have a mind to.
75,"Ain't that right, Martha?"
76,"Of course, it is."
77,I expect to pay my way.
78,There are 60 double eagles in there.
79,And twice that much here. Yankee dollars.
80,That's fresh minted.
81,There ain't a mark on it.
82,So?
83,Open up! It's Sam Clayton.
84,"Reverend, come on in!"
85,"Good morning, Sister Edwards."
86,"What is it, Reverend?"
87,Lars just said somebody busted into his corral last night...
88,...and ran off with his best cows.
89,"Yeah, next time I'll raise pigs, by golly!"
