,dialog
0,for 30 years of service for my company?
1,And they send some yoyo like you in here to try to tell me that I'm out of a job?
2,They should be telling you you're out of a job.
3,You have a lot of gall coming in here and firing your number one producer.
4,"And then you're going to go home tomorrow and make more money than you've ever made in your life, and I'm going to go home without a pay check. Fuck you."
5,I just...
6,I guess you leave me dumbfounded.
7,I don't know where this is coming from.
8,How am I supposed to go back as a man and explain this to my wife that I lost my job?
9,"On a stress level, I've heard that losing your job is like a death in the family."
10,"But personally, I feel more like the people I worked with were my family and I died."
11,I can't afford to be unemployed.
12,I have a house payment. I have children.
13,"I don't know how you can live with yourself, but I'm sure that you'll find a way while the rest of us are suffering."
14,"Who the fuck are you, man?"
15,Excellent question. Who the fuck am I?
16,Poor Steve has worked here for seven years.
17,He's never had a meeting with me before or passed me in the hall or told me a story in the break room.
18,And that's because I don't work here.
19,"I work for another company that lends me out to pussies like Steve's boss who don't have the balls to sack their own employees, and in some cases, for good reason."
20,Because people do crazy shit when they get fired.
21,Did I do something wrong?
22,"I mean, is there something I could do differently here?"
23,This is not an assessment of your productivity.
24,You gotta try not to take this personally.
25,"""Don't take it personally."" Steven, I want you to review this packet."
26,Take it seriously. I think you're gonna find a lot of good answers in here.
27,"I'm sure this is gonna be very helpful, a packet."
28,Thank you. A packet.
29,"Well, anybody who ever built an empire or changed the world sat where you are right now."
30,And it's because they sat there they were able to do it.
31,That's the truth.
32,I'm gonna need your keycard.
33,Great. Okay.
34,"Now, I want you to take the day, go get together your personal things, and then tomorrow, you get yourself some exercise."
35,"You go out for a jog, you give yourself some routines, and pretty soon you find your legs."
36,How do I get in touch with you?
37,"Don't worry, we'll be in touch with you soon."
38,This is just the beginning.
39,I'll never see Steve again.
40,Thank you.
41,To know me is to fly with me.
42,This is where I live.
43,"When I run my card, the system automatically prompts the desk clerk to greet me with this exact statement."
44,"Pleasure to see you again, Mr. Bingham."
45,"It's these kinds of systemized, friendly touches that keep my world in orbit."
46,"All the things you probably hate about traveling, the recycled air, the artificial lighting, the digital juice dispensers, the cheap sushi, are warm reminders that I'm home."
47,Do you want the cancer?
48, The what?
49, Do you want the cancer?
50,The cancer?
51,"The can, sir?"
52,"No. I'm fine, thank you."
53,How much does your life weigh?
54,Imagine for a second that you're carrying a backpack.
55,I want you to feel the straps on your shoulders.
56,Feel them?
57,Now I want you to pack it with all the stuff that you have in your life.
58,"You start with the little things, the things on shelves and in drawers, the knickknacks, the collectibles."
59,Feel the weight as that adds up.
60,"Then you start adding larger stuff, clothes, tabletop appliances, lamps, linens, your TV."
61,The backpack should be getting pretty heavy now.
62,And you go bigger.
63,"Your couch, bed, your kitchen table."
64,Stuff it all in there.
65,"Your car, get it in there."
66,"Your home, whether it's a studio apartment or a twobedroom house, I want you to stuff it all into that backpack."
67,Now try to walk.
68,"It's kind of hard, isn't it?"
69,This is what we do to ourselves on a daily basis.
70,We weigh ourselves down until we can't even move.
71,"And make no mistake, moving is living."
72,"Now, I'm gonna set that backpack on fire."
73,What do you want to take out of it?
74,Photos?
75,Photos are for people who can't remember.
76,Drink some ginkgo and let the photos burn.
77,"In fact, let everything burn and imagine waking up tomorrow with nothing."
78,"It's kind of exhilarating, isn't it?"
79,"Welcome back, Mr. Bingham."
80,Ryan Bingham's office.
81,You put me in a Dodge Stratus in Kansas City.
82,They were completely out of all fullsize sedans.
83, Did you try...
84, Yes.
85,I reminded them of your remarkable No.1 Gold Club status and years in the program.
86,They are literally moving mountains to see you in a Sebring.
87,Fair enough. Any other messages?
88,Your sister Kara called.
89,Needs to speak urgently about your sister's wedding.
90,I told her you were midair and not even I knew your final destination.
91, Well done.
92, And you got an invitation to speak at Goalquest in Vegas.
93,Goalquest 20?
94,"Every once in a while, I do speaking engagements, motivational kind of stuff."
95,But Goalquest?
96,We're talking major Tony Robbins shit.
97,It's got a hologram on it.
98,They're calling it Dos Equis.
99,"All right, I'll check in."
100, Hold on. I've got Craig Gregory for you.
101, Wait...
102,Fuck.
103,How is my little road warrior?
104,"Hey, 20 minutes from boarding into a world of bliss."
105,"Real good numbers out of Phoenix, Ry guy."
106,"Hey, you know that Big Auto is about to cut another 10K before the end of the month?"
107, No kidding.
108, Yeah. Christmas came early.
109,"I wish I could have you in about five places at once, but I do need you back here in Omaha by the end of week."
110, All right?
111, I thought you needed me everywhere.
112,"Well, you know, we got something real big here, a real game changer."
113,What are we talking about here?
114,"You'll see. Today I took my first crap in two weeks, hallelujah."
115, That's me hanging up on you.
116," Great, love that sound."
117,Are you satisfied with Maestro?
118,"Yeah, I am."
119,A little stingy with their miles.
120,I like Hertz.
121,"No, Hertz keeps its vehicles too long."
122,"If a car has over 20,000 miles, I won't drive it."
123,Maestro doesn't instant checkout.
124,I like to park and go.
125,Hertz doesn't guarantee navigation.
126,It's funny. You don't seem like a girl who needs directions.
127,I hate asking for directions.
128,That's why I get a nav.
129,"That new outfit, Colonial, isn't bad."
130, Is that a joke?
131, Yes.
132, Because their kiosk placement blows.
133, They never have available upgrades.
134,"Basically, it's a fleet of shitboxes."
135,I don't know how they're still in business.
136, I'm Ryan.
137, I'm Alex.
138,Maplewood card.
139,How dare you bring that into this palace?
140,"Hilton offers equal value and better food, but the Maplewood gives out warm cookies at checkin."
141,"They got you with the cookies, did they?"
142,Yeah. I'm a sucker for simulated hospitality.
143,"You know, there's an industry term for that."
144,"It's a mixture of ""faux"" and ""homey."" ""Faumey."" Oh, my God."
145,I wasn't sure this actually existed.
146,This is the American Airlines...
147,"It's a Concierge Key, yeah."
148," What is that, carbon fiber?"
149, Graphite.
150,"Oh, God, I love the weight."
151,I was pretty excited the day that bad boy came in.
152,Yeah. I'll say.
153,I put up pretty pedestrian numbers.
154,"Sixty thou a year, domestic."
155, That's not bad.
156, Don't patronize me.
157, What's your total?
158, It's a personal question.
159," Oh, please."
160, And we hardly know each other.
161,Come on. Show some hubris.
162,"Come on, impress me."
163, I bet it's huge.
164, You have no idea.
165,How big?
166,"What is it, this big?"
167, This big?
168, I don't want to brag.
169,Come on! Come on.
170,Let's just say I have a number in mind.
171,I haven't hit it yet.
172,This is pretty fucking sexy.
173,Hope it doesn't cheapen our relationship.
174,We're two people who get turned on by elite status.
175,I think cheap is our starting point.
176,There's nothing cheap about loyalty.
177,"So, we came up with this master plan, which was for me to put gauze, to put bandages on both my hands."
178,"Then we got on the plane, transatlantic, flying to Zürich."
179,"Walked up... Waited till it was dark, and walked up to the bathroom with her."
180,"Everybody was watching the movie, and I was like..."
181,"Opened up, went inside."
182,"She opened the door for me, and came in like she was gonna help me."
183,"And then, you know, we gave it our best shot. It wasn't great."
