,dialog
0,You may continue.
1,"Thank you, madam."
2,Madam.
3,"Pardon me, madam for trespassing in your estate and intruding in your privacy."
4,What do you want?
5,I come to deliver a confidential letter.
6,"This is very important, Madam."
7,Madam Sonia if you should ever meet Count Danilo let me tell you he is terrific.
8,What is this? Count Danilo?
9,Terrific?
10,That's what people said.
11,Danilo? Danilo?
12,"Yes, Count Danilo."
13,"Now, Madam, this is absolutely between you and me."
14,This Count Danilo is crazy to meet you.
15,He tried everything.
16,"In fact, he's desperate."
17,"I really feel sorry for the man, but you're such a widow."
18,"Pardon me, Madam, what I mean is you live in complete seclusion and the poor man has no chance to meet you socially."
19,"Well, I'm very sorry."
20,I never heard of the gentleman and I'm not interested.
21,"Oh, you will be, Madam."
22,The man is in such a state of man there is no telling what he may do.
23,Who is this Count Danilo?
24,Me.
25,Who wrote this letter?
26,I.
27,I don't understand.
28,What do you want?
29,An answer. Yes or... when.
30,If you don't leave immediately I shall report you to the king.
31,"Oh, please, please."
32,Let me stay only a little while and you may recommend me to the queen.
33,It's hard to believe that an officer of the royal guard...
34,"Dares to approach the richest, most powerful woman in the country..."
35,And behaves like a silly young cadet.
36,It's an outrage.
37,"Now, don't get excited, please."
38,I am...
39,"Unjust, that's what you are."
40,Put yourself in my position.
41,Imagine you saying all those lovely things to me and me wearing your mask.
42,Won't you spend sleepless nights wondering what I look like?
43,"Well, my situation is much worse."
44,I haven't slept for months.
45,Then I think it would be very wise if you leave immediately and go to bed.
46,And dream about you.
47,"No. No. You're cruel, Madam."
48,You're torturing me.
49,"Day by day, I've been watching you when you're riding your carriage in the street."
50,I come up here every night.
51,I suppose I'll have to call my servant.
52,They're all bribed.
53,Do you know I've been feeding your dogs with the finest imported salami just to get quite a glimpse of you and what do I see?
54,"Your lovely little hands, your dainty little feet and yet the most beautiful thing."
55,Stop it.
56,Tell me. You're eyes.
57,Are they blue or brown?
58,Are you pretty or beautiful?
59,Gorgeous.
60,No. This is no time for joking.
61,I have been in many situations but this is too much.
62,There's not a window in Marshovia that I haven't jumped out.
63,I've got around every kinds of band but here I'm block. By what?
64,By your piece of flimsy material.
65,"Oh, please. Have mercy."
66,"Leave the veil between us, Madam."
67,Be a nice girl.
68,"My dear Count, I'm very sorry to be the cause of your suffering."
69,"But, no... I..."
70,"But unfortunately, we are in Marshovia and I am a widow."
71,Why don't you throw away this old custom of ours?
72,And take off my veil.
73,Yes.
74,"I'd do it in a minute if there is any reason for it or the slightest temptation, but there isn't."
75,Maybe you can't see me very well?
76,"Oh, yes. In fact, too well."
77,I'll admit you're very funny but not terrific.
78,Not even carousal.
79,"Madam, I want you to understand once and for all."
80,Our romance is over.
81,Don't count on it any further.
82,I've tried to bring the moonlight into your eyes but you pull down the shade.
83,"Alright. Forget me, if you can."
84,Go back to your solitude.
85,Put on your loveliest negligee and wish yourself good night.
86,"And please, don't include me even in your dreams, will you?"
87,Good night.
88,Well? I'm afraid not again.
