,Epoch,Step,Loss,learning_rate,num_epochs,batch_size,num_classes,test_size,train_size,seed,train_class_proportion_not hate speech,train_class_proportion_hate speech,test_class_proportion_not hate speech,test_class_proportion_hate speech
0,1,1,0.7078157067298889,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
1,1,2,0.7014992237091064,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
2,1,3,0.6958585381507874,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
3,1,4,0.6890044212341309,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
4,1,5,0.6945593953132629,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
5,1,6,0.6689722537994385,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
6,1,7,0.6936044692993164,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
7,1,8,0.6617575287818909,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
8,1,9,0.6882935762405396,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
9,1,10,0.6728976964950562,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
10,1,11,0.6627331972122192,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
11,1,12,0.6613918542861938,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
12,1,13,0.628654420375824,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
13,1,14,0.6723659038543701,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
14,1,15,0.6323963403701782,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
15,1,16,0.6324156522750854,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
16,1,17,0.5910025835037231,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
17,1,18,0.6454825401306152,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
18,1,19,0.624085009098053,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
19,1,20,0.6108188629150391,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
20,1,21,0.6193629503250122,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
21,1,22,0.5988941788673401,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
22,1,23,0.5426430702209473,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
23,1,24,0.5743229389190674,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
24,1,25,0.5328384637832642,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
25,1,26,0.6121689677238464,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
26,1,27,0.5649169087409973,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
27,1,28,0.5074612498283386,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
28,1,29,0.4715277850627899,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
29,1,30,0.6024702787399292,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
30,1,31,0.5137353539466858,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
31,1,32,0.6348782777786255,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
32,1,33,0.48055264353752136,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
33,1,34,0.6125672459602356,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
